pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP00005,12,0,2004,SATYA NARAYAN GOUD,GEN,Andhra_Pradesh,NIRMAL,GEN,TDP,,45671,M,2,1,FALSE,FALSE,37.2,42413,34.54,35,,,1
AEAP10002,12,0,2004,AGURAO NAMAJI,GEN,Andhra_Pradesh,MAKTHAL,GEN,BJP,,53019,M,2,1,FALSE,FALSE,46.52,49587,43.51,65,,,1
AEAP10006,12,1,2005,Sugappa,,Andhra_Pradesh,Makthal,GEN,IND,,24799,M,2,1,FALSE,FALSE,25.08,21933,22.18,,,,1
AEAP10007,12,1,2005,Ganapathi Naidu.B.,,Andhra_Pradesh,Makthal,GEN,BSP,,2866,M,3,1,FALSE,FALSE,2.9,368,0.37,,,,1
AEAP10010,8,0,1985,L. MURALIDHARA RAO,,Andhra_Pradesh,RAMAYAMPET,GEN,IND,,1066,M,5,2,FALSE,FALSE,1.3,649,0.79,,,,2
AEAP10010,12,1,2005,L.Muralidhar Rao,,Andhra_Pradesh,Makthal,GEN,JP,IND,741,M,6,2,FALSE,FALSE,0.75,96,0.1,,,,2
AEAP10013,12,0,2004,URUNATH REDDY,GEN,Andhra_Pradesh,KODANGAL,GEN,INC,,61452,M,1,1,FALSE,FALSE,52.55,5965,5.1,50,,1,1
AEAP10014,12,0,2004,MT N M ANURADHA,GEN,Andhra_Pradesh,KODANGAL,GEN,TDP,,55487,F,2,1,FALSE,FALSE,47.45,0,0,62,,,1
AEAP10016,12,0,2004,ATNAM MAHENDER REDDY,GEN,Andhra_Pradesh,TANDUR,GEN,TDP,,56391,M,2,1,FALSE,FALSE,42.95,53769,40.95,60,,,1
AEAP10020,12,0,2004,ADHURA VENI BEGARI,SC,Andhra_Pradesh,VICARABAD,SC,TDP,,54646,F,2,1,FALSE,FALSE,45.1,50502,41.68,29,,,1
AEAP10034,12,0,2004,UMTOM RAM REDDY,GEN,Andhra_Pradesh,PARGI,GEN,TCP,,52161,M,2,1,FALSE,FALSE,38.34,33660,24.74,39,,,1
AEAP10035,12,0,2004,INGI REDDY HARIVARDHAN REDDY,GEN,Andhra_Pradesh,PARGI,GEN,TRS,,18501,M,3,1,FALSE,FALSE,13.6,15703,11.54,48,,,1
AEAP10036,12,0,2004,UDDAPULI NARSIMULU,SC,Andhra_Pradesh,PARGI,GEN,BSP,,2798,M,4,1,FALSE,FALSE,2.06,33,0.02,65,,,1
AEAP10039,12,0,2004,AMA BHOOPAL REDDY,GEN,Andhra_Pradesh,CHEVELLA,GEN,TDP,,55410,M,2,1,FALSE,FALSE,34.59,50021,31.23,31,,,1
AEAP10042,12,0,2004,ASKU NARSIMHA,SC,Andhra_Pradesh,IBRAHIMPATNAM,SC,CPM,,67288,M,1,1,FALSE,FALSE,49.84,12807,9.49,35,,1,1
AEAP10043,12,0,2004,ARRA RAVI KUMAR,SC,Andhra_Pradesh,IBRAHIMPATNAM,SC,TDP,,54481,M,2,1,FALSE,FALSE,40.36,50634,37.51,39,,,1
AEAP10046,12,0,2004,ANNE SUBHADRA,SC,Andhra_Pradesh,IBRAHIMPATNAM,SC,BSP,,1939,F,5,1,FALSE,FALSE,1.44,99,0.07,40,,,1
AEAP10051,12,0,2004,"R K,LAXMAN",GEN,Andhra_Pradesh,MUSHEERABAD,GEN,BJP,,53313,M,2,1,FALSE,FALSE,46.45,50573,44.07,48,,,1
AEAP10052,12,0,2004,EPURI SATYANARAYANA,SC,Andhra_Pradesh,MUSHEERABAD,GEN,BSP,,2740,M,3,1,FALSE,FALSE,2.39,1518,1.32,44,,,1
AEAP10053,12,0,2004,V PRAMOD REDDY,GEN,Andhra_Pradesh,MUSHEERABAD,GEN,JP,,1222,M,4,1,FALSE,FALSE,1.06,233,0.2,60,,,1
AEAP10062,12,1,2008,DR. K.LAXMAN,,Andhra_Pradesh,MUSHEERABAD,GEN,BJP,,32720,M,2,1,FALSE,FALSE,29.36,12853,11.53,,,,1
AEAP10064,12,1,2008,S. VEERAIAH,,Andhra_Pradesh,MUSHEERABAD,GEN,CPM,,16618,M,4,1,FALSE,FALSE,14.91,10808,9.7,,,,1
AEAP10072,12,0,2004,KISHAN REDDY,GEN,Andhra_Pradesh,HIMAYATNAGAR,GEN,BJP,,55338,M,1,1,FALSE,FALSE,49.83,31761,28.6,54,,1,1
AEAP10073,12,0,2004,OVIND GIRI,GEN,Andhra_Pradesh,HIMAYATNAGAR,GEN,TRS,,23577,M,2,1,FALSE,FALSE,21.23,7603,6.85,42,,,1
AEAP10075,12,0,2004,DURGA SINGH,GEN,Andhra_Pradesh,HIMAYATNAGAR,GEN,AIMIM,,11518,M,4,1,FALSE,FALSE,10.37,10258,9.24,60,,,1
AEAP10076,12,0,2004,KISHAN KUMAR YADAV,GEN,Andhra_Pradesh,HIMAYATNAGAR,GEN,JP,,1260,M,5,1,FALSE,FALSE,1.13,284,0.26,47,,,1
AEAP10077,12,0,2004,RAHMANDAM MURALI KRISHNA,GEN,Andhra_Pradesh,HIMAYATNAGAR,GEN,BSP,,976,M,6,1,FALSE,FALSE,0.88,448,0.4,50,,,1
AEAP10085,11,0,1999,MARRI SHASHIDHAR REDDY,,Andhra_Pradesh,SANATHNAGAR,GEN,INC,,43537,M,2,2,FALSE,FALSE,40.61,41189,38.42,,,1,2
AEAP10085,12,0,2004,ARRI SHASHIDHAR REDDY,GEN,Andhra_Pradesh,SANATHNAGAR,GEN,INC,INC,51710,M,1,2,FALSE,FALSE,53.44,9546,9.87,54,,1,2
AEAP10086,12,0,2004,RAJESHWAR,GEN,Andhra_Pradesh,SANATHNAGAR,GEN,TDP,,42164,M,2,1,FALSE,FALSE,43.58,40121,41.46,59,,,1
AEAP10090,12,0,2004,PADMA RAO,GEN,Andhra_Pradesh,SECUNDERABAD,GEN,TRS,,56997,M,1,1,FALSE,FALSE,48.35,3067,2.6,39,,1,1
AEAP10091,12,0,2004,ALASANI SRINIVAS YADAV,GEN,Andhra_Pradesh,SECUNDERABAD,GEN,TDP,,53930,M,2,1,FALSE,FALSE,45.75,50573,42.9,37,,,1
AEAP10092,12,0,2004,YELLANNA,SC,Andhra_Pradesh,SECUNDERABAD,GEN,BSP,,3357,M,3,1,FALSE,FALSE,2.85,2043,1.73,41,,,1
AEAP10098,12,1,2008,PITLA KRISHNA,,Andhra_Pradesh,SECUNDERABAD,GEN,INC,,31964,M,2,1,FALSE,FALSE,26.53,3708,3.08,,,,1
AEAP10114,12,0,2004,HANAMANTH,GEN,Andhra_Pradesh,KHAIRATABAD,GEN,BSP,,2131,M,4,1,FALSE,FALSE,0.54,770,0.2,55,,,1
AEAP10123,12,1,2008,P.VISHNVVARDHAN REDDY,,Andhra_Pradesh,KUAIRATABAD,GEN,INC,,254676,M,1,1,FALSE,FALSE,66.99,196269,51.63,,,1,1
AEAP10124,12,1,2008,K.SRINIVASA RAO,,Andhra_Pradesh,KUAIRATABAD,GEN,LSP,,58407,M,2,1,FALSE,FALSE,15.36,4273,1.12,,,,1
AEAP10125,12,1,2008,MOHD. KHAJA ARIFUDDIN,,Andhra_Pradesh,KUAIRATABAD,GEN,TRS,,54134,M,3,1,FALSE,FALSE,14.24,49881,13.12,,,,1
AEAP10126,12,1,2008,D.SARALA DEVI,,Andhra_Pradesh,KUAIRATABAD,GEN,CPM,,4253,F,4,1,FALSE,FALSE,1.12,386,0.1,,,,1
AEAP10131,12,0,2004,SAYANNA,SC,Andhra_Pradesh,SECUNDERABAD CANTONMENT,SC,TDP,,89684,M,1,1,FALSE,FALSE,51.54,15032,8.64,40,,1,1
AEAP10132,12,0,2004,AVULA ANJAIAH,SC,Andhra_Pradesh,SECUNDERABAD CANTONMENT,SC,TRS,,74652,M,2,1,FALSE,FALSE,42.9,70305,40.4,44,,,1
AEAP10134,12,0,2004,MARUTHI BIRAN,SC,Andhra_Pradesh,SECUNDERABAD CANTONMENT,SC,BSP,,3120,M,4,1,FALSE,FALSE,1.79,1994,1.15,41,,,1
