pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP10357,3,0,1962,BANDARI RAMULU,,Andhra_Pradesh,CHOPPADANDI,INC,,15749,M,1,1,FALSE,FALSE,49.45,7521,23.62,,,1,1
AEAP13183,3,0,1962,SALAPU CHINA APPALANAIDU,,Andhra_Pradesh,PARVADA,IND,,17234,M,1,1,FALSE,FALSE,49.55,7164,20.6,,,1,1
AEAP13467,3,0,1962,VANKA SATYANARAYANA,,Andhra_Pradesh,PENUGONDA,CPI,,25069,M,1,1,FALSE,FALSE,50.55,548,1.11,,,1,1
AEAP14167,3,0,1962,TAVANAM CHENCHAIAH,,Andhra_Pradesh,SANTHANUTHALAPADU,CPI,,18649,M,1,1,FALSE,FALSE,47.54,2991,7.62,,,1,1
AEAP16367,3,0,1962,JANNI MUTYALU,,Andhra_Pradesh,PACHIPENTA,SWA,,5459,M,2,1,FALSE,FALSE,30.33,1155,6.42,,,,1
AEAP16387,3,0,1962,BODDEPALI NARSIMHULU,,Andhra_Pradesh,KOTHURU,CPI,,10375,M,2,1,FALSE,FALSE,37.05,3787,13.52,,,,1
AEAP16411,3,0,1962,BHATTAM SRIRAMAMURTY,,Andhra_Pradesh,VIZIANAGARAM,INC,,35214,M,1,1,FALSE,FALSE,88.47,30623,76.93,,,1,1
AEAP16797,3,0,1962,KANUMURI SOMESWARA RAO,,Andhra_Pradesh,NIDUMOLU,INC,,19905,M,2,1,FALSE,FALSE,40.58,15952,32.52,,,,1
AEAP18157,3,0,1962,GOUTHU LATCHANNA,,Andhra_Pradesh,SOMPETA,SWA,,16609,M,1,1,FALSE,FALSE,43.6,1834,4.81,,,1,1
AEAP18929,3,0,1962,PALA VENKATASUBBAIAH,,Andhra_Pradesh,KODUR,INC,,8116,M,2,1,FALSE,FALSE,32.13,5215,20.64,,,,1
AEAP19207,3,0,1962,P. RAJARATHNA RAO,,Andhra_Pradesh,KODUMUR,IND,,16496,M,2,1,FALSE,FALSE,41.43,0,0,,,,1
AEAP19469,3,0,1962,J. ESHWARI BAI,,Andhra_Pradesh,YELLAREDDI,REP,,9045,F,2,1,FALSE,FALSE,40.97,0,0,,,,1
AEAP19569,3,0,1962,H. SITARAMA REDDY,,Andhra_Pradesh,ADONI,IND,,23264,M,1,1,FALSE,FALSE,52.16,4770,10.69,,,1,1
AEAP19599,3,0,1962,M. BAGA REDDY,,Andhra_Pradesh,ZAHIRABAD,INC,,18630,M,1,1,FALSE,FALSE,56.73,12441,37.89,,,1,1
AEAP20183,3,0,1962,THANGI SATYANARAYANA,,Andhra_Pradesh,SRIKAKULAM,SWA,,13903,M,3,1,FALSE,FALSE,30.84,13536,30.02,,,,1
AEAP20745,3,0,1962,GANAPA RAMASWAMI REDDY,,Andhra_Pradesh,PEDDAKURAPADU,INC,,17720,M,1,1,FALSE,FALSE,41.38,2276,5.31,,,1,1
AEAP20851,3,0,1962,POOLA SUBBAIAH,,Andhra_Pradesh,YERRAGONDIPALEM,CPI,,25304,M,1,1,FALSE,FALSE,59.41,10391,24.4,,,1,1
AEAP20863,3,0,1962,REBALA DASARATHARAMA REDDY,,Andhra_Pradesh,KOVUR,INC,,29914,M,1,1,FALSE,FALSE,50.44,523,0.88,,,1,1
AEAP21051,3,0,1962,K. RAMACHANDRA REDDY,,Andhra_Pradesh,RAMANNAPET,CPI,,23784,M,1,1,FALSE,FALSE,56.23,5268,12.45,,,1,1
AEAP21111,3,0,1962,K. VIJAYABHASKARA REDDY,,Andhra_Pradesh,YEMMIGANUR,INC,,14532,M,2,1,FALSE,FALSE,47.65,0,0,,,,1
AEAP21119,3,0,1962,K. SEETHAIAH GUPTA,,Andhra_Pradesh,BEGUM BAZAAR,INC,,17459,M,1,1,FALSE,FALSE,69.35,13270,52.71,,,1,1
AEAP21423,3,0,1962,P. RAMCHANDRA REDDY,,Andhra_Pradesh,SANGAREDDY,INC,,22074,M,1,1,FALSE,FALSE,61.77,13364,37.4,,,1,1
AEAP21631,3,0,1962,CHILUVERI PRABHAKAR,,Andhra_Pradesh,METPALLI,CPI,,6978,M,2,1,FALSE,FALSE,20.06,2730,7.85,,,,1
AEAP21831,3,0,1962,KANGALA BUTCHAYYA,,Andhra_Pradesh,BURGAMPAHAD,CPI,,22257,M,1,1,FALSE,FALSE,50.05,42,0.09,,,1,1
AEAP21863,3,0,1962,MAJJI TULASIDASS,,Andhra_Pradesh,SOMPETA,IND,,14775,M,2,1,FALSE,FALSE,38.79,8068,21.18,,,,1
AEAP21917,3,0,1962,THAMMINENI PAPARAO,,Andhra_Pradesh,NAGARIKATAKAM,INC,,13274,M,1,1,FALSE,FALSE,38.52,3082,8.94,,,1,1
AEAP22225,3,0,1962,KONDAMODALU RAMIREDDY,,Andhra_Pradesh,YELLAVARAM,SWA,,6264,M,2,1,FALSE,FALSE,33.4,3269,17.43,,,,1
AEAP22285,3,0,1962,KAZA RAMANATHAM,,Andhra_Pradesh,MUDINEPALLI,IND,,20224,M,2,1,FALSE,FALSE,37.26,16268,29.97,,,,1
AEAP22323,3,0,1962,YADAM CHENNAIAH,,Andhra_Pradesh,REPALLE,INC,,14998,M,2,1,FALSE,FALSE,34.51,2832,6.52,,,,1
AEAP22427,3,0,1962,BHAVANAM JAYAPRADHA,,Andhra_Pradesh,VINUKONDA,INC,,12987,F,2,1,FALSE,FALSE,28.71,2970,6.57,,,,1
AEAP22433,3,0,1962,KOTHURI VENKATESWARLU,,Andhra_Pradesh,NARASARAOPET,SWA,,17020,M,2,1,FALSE,FALSE,33.11,3435,6.68,,,,1
AEAP22483,3,0,1962,CHAGANTI ROSAIAH NAIDU,,Andhra_Pradesh,KONDAPI,INC,,22682,M,1,1,FALSE,FALSE,55.52,7705,18.86,,,1,1
AEAP22485,3,0,1962,KANDULA OBULA REDDI,,Andhra_Pradesh,MARKAPUR,INC,,25786,M,1,1,FALSE,FALSE,66.32,12693,32.65,,,1,1
AEAP22583,3,0,1962,P. VENKATESWARA CHOUDARI,,Andhra_Pradesh,DHARMAVARAM,INC,,20120,M,1,1,FALSE,FALSE,53.94,2939,7.88,,,1,1
AEAP22911,3,0,1962,T. ANJIAH,,Andhra_Pradesh,MUSHEERABAD,INC,,16844,M,1,1,FALSE,FALSE,54.22,8083,26.02,,,1,1
AEAP22981,3,0,1962,ISMAIL ZABIH,,Andhra_Pradesh,SULTAN BAZAR,IND,,1652,M,2,1,FALSE,FALSE,7.96,41,0.2,,,,1
AEAP22997,3,0,1962,T. N. SADA LAKSHMI,,Andhra_Pradesh,YELLAREDDI,INC,,13032,F,1,1,FALSE,FALSE,59.03,3987,18.06,,,1,1
AEAP23013,3,0,1962,MIR AHAMED ALI KHAN,,Andhra_Pradesh,MALAKPET,INC,,10166,M,1,1,FALSE,FALSE,44.19,2585,11.24,,,1,1
AEAP23017,3,0,1962,SULTAN SALAHUDDIN OWAISI,,Andhra_Pradesh,PATHERGATTI,IND,,13122,M,1,1,FALSE,FALSE,49,5141,19.2,,,1,1
AEAP23049,3,0,1962,MOHAMMAD ISMAIL,,Andhra_Pradesh,SAMALKOT,INC,,26332,M,1,1,FALSE,FALSE,53.46,3411,6.93,,,1,1
AEAP23169,3,0,1962,C. MADHAV REDDI,,Andhra_Pradesh,BOATH,INC,,15990,M,1,1,FALSE,FALSE,57.45,5754,20.67,,,1,1
AEAP23249,3,0,1962,JUWWADI NARSING RAO,,Andhra_Pradesh,SIRCILLA,INC,,15811,M,1,1,FALSE,FALSE,45.37,9108,26.13,,,1,1
AEAP23297,3,0,1962,KANDUKURI RAGHAVULU,,Andhra_Pradesh,JANGAO,CPI,,16350,M,2,1,FALSE,FALSE,46.01,13523,38.05,,,,1
AEAP23513,3,0,1962,GUJJU RAMUNAIDU,,Andhra_Pradesh,BHEEMUNIPATNAM,CPI,,9630,M,2,1,FALSE,FALSE,29.62,5716,17.58,,,,1
