Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
SWA,SWATANTRA PARTY
CPI,COMMUNIST PARTY OF INDIA
SOC,SOCIALIST
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
BJS,AKHIL BHARATIYA JANA SANGH
RPI,REPUBLICAN PARTY OF INDIA
SSP,SANGHATA SOCIALIST PARTY
STS,SAMPURNA TELANGANA PRAJA SAMITHI
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
BJP,BHARATIYA JANATA PARTY
TDP,TELUGU DESAM PARTY
ICJ,INDIAN CONGRESS (JAGJIVAN RAM)
BSP,BAHUJAN SAMAJ PARTY
MIM,ALL INDIA MAJLIS-E ITHEHAD-UL MUSLIMEEN
JD,JANATA DAL
JP,JANATA PARTY
SP,SAMAJWADI PARTY
MBT,MAJLIS BACHAO TAHREEK
AIMIM,ALL INDIA MAJLIS-E ITHEHAD-UL MUSLIMEEN
TRS,TELANGANA RASHTRA SAMITHI
PRAP,PRAJA RAJYAM PARTY
LSP,LOK SATTA PARTY
YSRCP,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY
NPT,NAVODYAM PARTY
