pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEAR100011,1,0,1978,TADAR TANIANG,,Arunachal_Pradesh,NYAPIN PALIN,PPA,,999,M,2,1,FALSE,FALSE,20.14,0,0,,,1
AEAR23847,1,0,1978,AKEN LEGO,,Arunachal_Pradesh,ROING,PPA,,2102,M,1,1,FALSE,FALSE,60.09,1172,33.5,,1,1
AEAR80998,1,0,1978,LIUM RONYA,,Arunachal_Pradesh,ALONG NORTH,PPA,,3394,M,1,1,FALSE,FALSE,51.13,1526,22.99,,1,1
AEAR81052,1,0,1978,CHOW TEWA MIEN,,Arunachal_Pradesh,NOMSAI CHOWKHAM,JNP,,4542,M,1,1,FALSE,FALSE,41.99,1506,13.92,,1,1
AEAR81344,1,0,1978,TADIK CHIJE,,Arunachal_Pradesh,MECHUKA,IND,,1903,M,1,1,FALSE,FALSE,47.79,784,19.69,,1,1
AEAR81345,1,0,1978,PASNAG WANGCHUK SONA,,Arunachal_Pradesh,MECHUKA,JNP,,960,M,3,1,FALSE,FALSE,24.11,0,0,,,1
AEAR81419,1,0,1978,WANGLAT LOWANGCHA,,Arunachal_Pradesh,KHONSA NORTH,PPA,,1401,M,2,1,FALSE,FALSE,27.52,372,7.31,,,1
AEAR81629,1,0,1978,DONGLO SONAM,,Arunachal_Pradesh,SEPPA,JNP,,4232,M,1,1,FALSE,FALSE,65.28,2583,39.84,,1,1
AEAR81689,1,0,1978,TOMO RIBA,,Arunachal_Pradesh,BASAR,PPA,,4109,M,1,1,FALSE,FALSE,59.93,1362,19.87,,1,1
AEAR81732,1,0,1978,TADE TACHC,,Arunachal_Pradesh,KOLORIANG,IND,,1048,M,1,1,FALSE,FALSE,68.54,718,46.96,,1,1
AEAR81741,1,0,1978,SOBENG TAYENG,,Arunachal_Pradesh,TEZU HAYULIANG,JNP,,4761,M,1,1,FALSE,FALSE,71.98,2908,43.97,,1,1
AEAR81785,1,0,1978,KARMA WANGCHU,,Arunachal_Pradesh,TAWANG-I,IND,,2313,M,1,1,FALSE,FALSE,65.17,1077,30.35,,1,1
AEAR81801,1,0,1978,KAMENG DOLO,,Arunachal_Pradesh,CHAYANGTAJO,JNP,,3396,M,1,1,FALSE,FALSE,57.51,887,15.02,,1,1
AEAR81827,1,0,1978,GRATI TAKKA,,Arunachal_Pradesh,ZIRO,IND,,2014,M,2,1,FALSE,FALSE,19.92,355,3.51,,,1
AEAR81849,1,0,1978,BAOTAMO,,Arunachal_Pradesh,RAGA-TALI,PPA,,2896,M,2,1,FALSE,FALSE,45,0,0,,,1
AEAR81859,1,0,1978,TADAK BASAR,,Arunachal_Pradesh,BASAR,JNP,,2747,M,2,1,FALSE,FALSE,40.07,0,0,,,1
AEAR81968,1,0,1978,NYARI WELLI,,Arunachal_Pradesh,SEPPA,PPA,,1649,F,2,1,FALSE,FALSE,25.44,1338,20.64,,,1
AEAR81989,1,0,1978,PADI YUBBE,,Arunachal_Pradesh,ZIRO,JNP,,4529,M,1,1,FALSE,FALSE,44.8,2515,24.88,,1,1
AEAR82003,1,0,1978,TARA PAYENG,,Arunachal_Pradesh,TOKSING TALIHA,PPA,,1908,M,1,1,FALSE,FALSE,32.58,132,2.25,,1,1
AEAR82011,1,0,1978,TALONG TAGGU,,Arunachal_Pradesh,ALONG NORTH,IND,,1868,M,2,1,FALSE,FALSE,28.14,492,7.41,,,1
AEAR82024,1,0,1978,KABANG BORANG,,Arunachal_Pradesh,MARIYANG MEBO,IND,,1587,M,2,1,FALSE,FALSE,25.59,690,11.13,,,1
AEAR82054,1,0,1978,NOKMEY NAMATI,,Arunachal_Pradesh,KHONSA NORTH,JNP,,1866,M,1,1,FALSE,FALSE,36.65,465,9.13,,1,1
AEAR82086,1,0,1978,TAME YANGFO,,Arunachal_Pradesh,CHAYANGTAJO,PPA,,2509,M,2,1,FALSE,FALSE,42.49,0,0,,,1
AEAR82095,1,0,1978,KHODA TANA,,Arunachal_Pradesh,DOIMUKH SAGALEE,IND,,1520,M,2,2,FALSE,FALSE,23.07,277,4.2,,,1
AEAR82095,1,0,1978,BUDA TANA,,Arunachal_Pradesh,DOIMUKH SAGALEE,PPA,IND,1219,M,4,2,FALSE,FALSE,18.5,761,11.55,,,1
AEAR82106,1,0,1978,NIDO TECHI,,Arunachal_Pradesh,RAGA-TALI,JNP,,3539,M,1,1,FALSE,FALSE,55,643,9.99,,1,1
AEAR82107,1,0,1978,TADAK DULOM,,Arunachal_Pradesh,DAPORIJO,JNP,,4981,M,1,1,FALSE,FALSE,58.87,1501,17.74,,1,1
AEAR82114,1,0,1978,TAPIK RINYA,,Arunachal_Pradesh,MECHUKA,PPA,,1119,M,2,1,FALSE,FALSE,28.1,159,3.99,,,1
AEAR82128,1,0,1978,TAGANG TAKI,,Arunachal_Pradesh,YINGKIONG PANGIN,IND,,2825,M,2,1,FALSE,FALSE,38.91,0,0,,,1
AEAR82137,1,0,1978,CHAU KHOUK MANPOONG,,Arunachal_Pradesh,NOMSAI CHOWKHAM,PPA,,3036,M,2,1,FALSE,FALSE,28.07,255,2.36,,,1
AEAR82145,1,0,1978,SAMCHOM NGEMU,,Arunachal_Pradesh,NOADEHING NAMPONG,IND,,962,M,2,1,FALSE,FALSE,27.52,69,1.97,,,1
AEAR82152,1,0,1978,JUNGPUM JUGLI,,Arunachal_Pradesh,NOADEHING NAMPONG,PPA,,1209,M,1,1,FALSE,FALSE,34.58,247,7.07,,1,1
