pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAR100001,5,0,1995,SOTAI KRI,,Arunachal_Pradesh,TEZU,BJP,,2769,M,2,5,FALSE,FALSE,32.52,1718,20.18,,,,5
AEAR100001,6,0,1999,SOTAI KRI,,Arunachal_Pradesh,LEKANG,BJP,BJP,4730,M,2,5,FALSE,FALSE,46.32,0,0,,,,5
AEAR100001,7,0,2004,SOTAI KRI,ST,Arunachal_Pradesh,LEKANG,BJP,BJP,1457,M,3,5,FALSE,FALSE,14.91,580,5.94,41,,,5
AEAR100001,8,0,2009,SOTAI KRI,ST,Arunachal_Pradesh,LEKANG,BJP,BJP,705,M,3,5,FALSE,FALSE,5.82,400,3.3,47,,,5
AEAR100001,9,0,2014,SOTAIKRI,ST,Arunachal_Pradesh,CHOWKHAM,BJP,BJP,2684,M,2,5,FALSE,FALSE,26.79,1882,18.79,51,,,5
AEAR100002,8,0,2009,WANGLONG RAJKUMAR,ST,Arunachal_Pradesh,NAMSANG,NCP,,2275,M,2,2,FALSE,FALSE,31.41,0,0,38,,,2
AEAR100002,9,0,2014,WANGLONG RAJKUMAR,ST,Arunachal_Pradesh,NAMSANG,BJP,NCP,2040,M,2,2,TRUE,FALSE,29.64,280,4.07,44,,,2
AEAR100003,8,0,2009,KARYA BAGANG,ST,Arunachal_Pradesh,CHAYANG TAJO,AITC,,3674,F,1,2,FALSE,FALSE,52.44,342,4.88,32,,2,2
AEAR100003,9,0,2014,KARYABAGANG,ST,Arunachal_Pradesh,CHAYANG TAJO,INC,AITC,4343,F,1,2,TRUE,TRUE,48.89,415,4.67,37,,2,2
AEAR100005,6,0,1999,WANGLIN LOWANGDONG,,Arunachal_Pradesh,BORDURIA- BAGAPANI,IND,,2276,M,2,4,FALSE,FALSE,49.86,0,0,,,3,4
AEAR100005,7,0,2004,WANGLIN LOWANGDONG,ST,Arunachal_Pradesh,BORDURIA- BOGAPANI,IND,IND,2909,M,1,4,FALSE,FALSE,59.51,930,19.03,48,,3,4
AEAR100005,8,0,2009,WANGLIN LOWANGDONG,ST,Arunachal_Pradesh,BORDURIA BOGAPANI,INC,IND,4034,M,1,4,FALSE,TRUE,67.89,2126,35.78,53,,3,4
AEAR100005,9,0,2014,WANGLIN LOWANGDONG,ST,Arunachal_Pradesh,BORDURIA BOGAPANI,INC,INC,2253,M,1,4,FALSE,TRUE,35.56,314,4.96,58,,3,4
AEAR100008,6,0,1999,LOKAM TASAR,,Arunachal_Pradesh,KOLORIANG,AC,,159,M,2,4,FALSE,FALSE,2.33,0,0,,,2,4
AEAR100008,7,0,2004,LOKAM TASAR,ST,Arunachal_Pradesh,KOLORIANG,IND,AC,3823,M,1,4,FALSE,FALSE,51.54,229,3.09,43,,2,4
AEAR100008,8,0,2009,LOKAM TASSAR,ST,Arunachal_Pradesh,KOLORIANG,INC,IND,5095,M,1,4,FALSE,TRUE,56.04,1099,12.09,37,,2,4
AEAR100008,9,0,2014,LOKAM TASSAR,ST,Arunachal_Pradesh,KOLORIANG,INC,INC,4697,M,2,4,FALSE,TRUE,48.37,4657,47.96,42,,2,4
AEAR100020,6,0,1999,TAPANG TALOH,,Arunachal_Pradesh,PANGIN,BJP,,3204,M,2,4,FALSE,FALSE,37.54,2046,23.97,,,3,4
AEAR100020,7,0,2004,TAPANG TALOH,ST,Arunachal_Pradesh,PANGIN,BJP,BJP,5163,M,1,4,FALSE,FALSE,54.7,888,9.41,38,,3,4
AEAR100020,8,0,2009,TAPANG TALOH,ST,Arunachal_Pradesh,PANGIN,INC,BJP,6826,M,1,4,TRUE,TRUE,62.79,2781,25.58,45,,3,4
AEAR100020,9,0,2014,TAPANGTALOH,ST,Arunachal_Pradesh,PANGIN,INC,INC,5652,M,1,4,FALSE,TRUE,52.13,606,5.59,49,,3,4
AEAR80943,8,0,2009,JAMBEY TASHI,ST,Arunachal_Pradesh,LUMLA,INC,,0,M,1,2,FALSE,FALSE,,0,,35,,2,2
AEAR80943,9,0,2014,JAMBEY TASHI,ST,Arunachal_Pradesh,LUMLA,INC,INC,4254,M,1,2,FALSE,TRUE,59.52,1499,20.97,39,,2,2
AEAR80947,8,1,2011,Pema Khandu,,Arunachal_Pradesh,MUKTO,INC,,0,,1,2,FALSE,FALSE,,0,,,,2,2
AEAR80947,9,0,2014,PEMAKHANDU,ST,Arunachal_Pradesh,MUKTO,INC,INC,1,M,1,2,FALSE,TRUE,100,1,100,34,,2,2
AEAR80948,8,0,2009,PHURPA TSERING,ST,Arunachal_Pradesh,DIRANG,PPA,,6618,M,1,2,FALSE,FALSE,56.55,1533,13.1,39,,2,2
AEAR80948,9,0,2014,PHURPA TSERING,ST,Arunachal_Pradesh,DIRANG,INC,PPA,1,M,1,2,TRUE,TRUE,100,1,100,42,,2,2
AEAR80950,9,0,2014,TSERING SONAM,ST,Arunachal_Pradesh,KALAKTANG,PPA,,3401,M,2,1,FALSE,FALSE,42.69,3001,37.67,32,,,1
AEAR80951,9,0,2014,DORJEEKHANDUTHONGON,ST,Arunachal_Pradesh,KALAKTANG,BJP,,400,M,3,1,FALSE,FALSE,5.02,344,4.32,51,,,1
AEAR80952,8,0,2009,KUMSI SIDISOW,ST,Arunachal_Pradesh,THRIZINO-BURAGAON,PPA,,8279,M,1,2,FALSE,FALSE,71.62,4998,43.24,27,,2,2
AEAR80952,9,0,2014,KUMSI SIDISOW,ST,Arunachal_Pradesh,THRIZINO-BURAGAON,INC,PPA,7873,M,1,2,TRUE,TRUE,72.11,5083,46.56,32,,2,2
AEAR80953,9,0,2014,GANDHI SAKRINSOW,ST,Arunachal_Pradesh,THRIZINO-BURAGAON,BJP,,2790,M,2,1,FALSE,FALSE,25.55,2535,23.22,33,,,1
AEAR80954,3,0,1984,JAPU DERU,,Arunachal_Pradesh,BOMDILA,PPA,,1894,M,1,7,FALSE,FALSE,36.03,157,2.99,,,5,7
AEAR80954,4,0,1990,JAPU DERU,,Arunachal_Pradesh,BOMDILA,INC,PPA,2839,M,1,7,TRUE,TRUE,58.57,831,17.14,,,5,7
AEAR80954,5,0,1995,JAPU DERU,,Arunachal_Pradesh,BOMDILA,INC,INC,3358,M,1,7,FALSE,TRUE,56.96,821,13.93,,,5,7
AEAR80954,6,0,1999,JAPU DERU,,Arunachal_Pradesh,BOMDILA,INC,INC,2515,M,1,7,FALSE,TRUE,44.68,360,6.4,,,5,7
