pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAS186942,10,0,1996,GIRINDRA MALLIK,,Assam,DHOLAI,SC,INC,,27032,M,1,2,FALSE,FALSE,35.49,3085,4.05,,,1,2
AEAS186942,11,0,2001,GIRINDRA MALLIK,,Assam,DHOLAI,SC,INC,INC,16241,M,3,2,FALSE,TRUE,21.46,9291,12.28,,,1,2
AEAS187017,6,0,1978,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,,20189,M,1,6,FALSE,FALSE,46.9,10927,25.38,,,3,6
AEAS187017,7,0,1983,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,IND,16561,M,2,6,FALSE,TRUE,34.44,15243,31.7,,,3,6
AEAS187017,8,0,1985,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,IND,42192,M,1,6,FALSE,FALSE,70.52,34589,57.81,,,3,6
AEAS187017,9,0,1991,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,IND,23314,M,1,6,FALSE,TRUE,34.97,5142,7.71,,,3,6
AEAS187017,10,0,1996,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,IND,16858,M,2,6,FALSE,TRUE,23.19,13587,18.69,,,3,6
AEAS187017,11,0,2001,DEWAN JOYNAL ABEDIN,,Assam,SALMARA SOUTH,GEN,IND,IND,27183,M,2,6,FALSE,FALSE,33.99,25250,31.57,,,3,6
AEAS187019,9,0,1991,NAZIBUL UMAR,,Assam,DHUBRI,GEN,INC,,11742,M,3,3,FALSE,FALSE,16.61,5692,8.05,,,2,3
AEAS187019,10,0,1996,NAZIBUL UMAR,,Assam,DHUBRI,GEN,INC,INC,30806,M,1,3,FALSE,FALSE,39.13,6904,8.77,,,2,3
AEAS187019,11,0,2001,NAZIBUL UMAR.,,Assam,DHUBRI,GEN,INC,INC,45113,M,1,3,FALSE,TRUE,51.21,17331,19.67,,,2,3
AEAS187052,10,0,1996,MOHARUDDIN MONDAL,,Assam,BILASIPARA WEST,GEN,IND,,257,M,11,2,FALSE,FALSE,0.37,53,0.08,,,,2
AEAS187052,11,0,2001,MOHAR UDDIN MONDAL,,Assam,BILASIPARA WEST,GEN,SAP,IND,799,M,7,2,FALSE,FALSE,1,230,0.29,,,,2
AEAS187112,8,0,1985,ABDUL HAI NAGARI,,Assam,ABHAYAPURI NORTH,GEN,INC,,1690,M,5,4,FALSE,FALSE,3.14,1058,1.97,,,,4
AEAS187112,9,0,1991,ABDUL HAI NAGORI,,Assam,ABHAYAPURI NORTH,GEN,INC,INC,13044,M,2,4,FALSE,FALSE,21.53,1006,1.66,,,,4
