pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEAS186789,14,0,2016,RAJIB BISWAS,SC,Assam,RATABARI,AIUDF,,23926,M,3,1,FALSE,FALSE,21.25,23018,20.44,37,,1
AEAS186801,14,0,2016,KRISHNENDU PAUL,GEN,Assam,PATHARKANDI,BJP,,46544,M,1,1,FALSE,FALSE,37.94,9268,7.55,42,1,1
AEAS186802,14,0,2016,DEBENDRA KUMAR SINHA,GEN,Assam,PATHARKANDI,AIUDF,,37276,M,2,1,FALSE,FALSE,30.38,5228,4.26,62,,1
AEAS186814,14,0,2016,SAHABUL ISLAM CHOUDHURY,GEN,Assam,KARIMGANJ NORTH,AIUDF,,34207,M,3,1,FALSE,FALSE,26.16,32503,24.85,47,,1
AEAS186827,14,0,2016,AZIZ AHMED KHAN,GEN,Assam,KARIMGANJ SOUTH,AIUDF,,58060,M,1,1,FALSE,FALSE,45.2,4416,3.44,38,1,1
AEAS186853,14,0,2016,ABDUL AZIZ,GEN,Assam,BADARPUR,AIUDF,,36178,M,2,1,FALSE,FALSE,32.15,484,0.43,48,,1
AEAS186864,14,0,2016,ANWAR HUSSAIN LASKAR,GEN,Assam,HAILAKANDI,AIUDF,,41647,M,1,1,FALSE,FALSE,36.86,2608,2.31,45,1,1
AEAS186865,14,0,2016,SOUMYAJIT DUTTA CHOUDHURY,GEN,Assam,HAILAKANDI,BJP,,39039,M,2,1,FALSE,FALSE,34.55,23406,20.71,38,,1
AEAS186867,14,0,2016,ANAM UDDIN LASKAR,GEN,Assam,HAILAKANDI,INC,,9287,M,4,1,FALSE,FALSE,8.22,8168,7.23,45,,1
AEAS186889,10,0,1996,RAJ KUMAR DAS,,Assam,KATLICHERRA,IND,,34,M,16,2,FALSE,FALSE,0.04,0,0,,,2
AEAS186889,14,0,2016,RAJ KUMAR DAS,GEN,Assam,KATLICHERRA,BJP,IND,32164,M,3,2,FALSE,FALSE,25.77,31233,25.02,51,,2
AEAS186891,11,0,2001,SUZAM UDDIN LASKAR,,Assam,KATLICHERRA,IND,,10891,M,4,4,FALSE,FALSE,12.51,10599,12.18,,1,3
AEAS186891,12,0,2006,SAMS UDDIN LASKAR,GEN,Assam,KATLICHERRA,IND,IND,516,M,11,4,FALSE,FALSE,0.55,87,0.09,25,1,3
AEAS186891,14,0,2016,SUZAM UDDIN LASKAR,GEN,Assam,KATLICHERRA,AIUDF,IND,50676,M,1,4,FALSE,FALSE,40.6,15084,12.08,49,1,3
AEAS186891,14,0,2016,SUZAM UDDIN LASKAR,GEN,Assam,KATLICHERRA,IND,AIUDF,782,M,6,4,FALSE,FALSE,0.63,27,0.02,26,1,3
AEAS186900,14,0,2016,NIZAM UDDIN CHOUDHURY,GEN,Assam,ALGAPUR,AIUDF,,50531,M,1,1,FALSE,FALSE,42.32,17754,14.87,43,1,1
AEAS186901,14,0,2016,KAUSHIK RAI,GEN,Assam,ALGAPUR,BJP,,32777,M,2,1,FALSE,FALSE,27.45,6850,5.74,39,,1
