pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAS186801,14,0,2016,KRISHNENDU PAUL,GEN,Assam,PATHARKANDI,BJP,,46544,M,1,2,FALSE,FALSE,37.94,9268,7.55,42,,2,2
AEAS186801,15,0,2021,KRISHNENDU PAUL,,Assam,PATHARKANDI,BJP,BJP,74846,M,1,2,FALSE,TRUE,49.66,4467,2.96,47,BJP+,2,2
AEAS186827,14,0,2016,AZIZ AHMED KHAN,GEN,Assam,KARIMGANJ SOUTH,AIUDF,,58060,M,1,2,FALSE,FALSE,45.2,4416,3.44,38,,1,2
AEAS186827,15,0,2021,AZIZ AHMED KHAN,,Assam,KARIMGANJ SOUTH,AGP,AIUDF,56422,M,2,2,TRUE,TRUE,37.54,55255,36.77,42,BJP+,1,2
AEAS186853,14,0,2016,ABDUL AZIZ,GEN,Assam,BADARPUR,AIUDF,,36178,M,2,2,FALSE,FALSE,32.15,484,0.43,48,,1,2
AEAS186853,15,0,2021,ABDUL AZIZ,,Assam,BADARPUR,AIUDF,AIUDF,74452,M,1,2,FALSE,FALSE,56.62,23948,18.21,52,INC+,1,2
AEAS186866,14,0,2016,ZAKIR HUSSAIN LASKAR,GEN,Assam,HAILAKANDI,IND,,15633,M,3,2,FALSE,FALSE,13.84,6346,5.62,45,,1,2
AEAS186866,15,0,2021,ZAKIR HUSSAIN LASKAR,,Assam,HAILAKANDI,AIUDF,IND,71057,M,1,2,FALSE,FALSE,55.15,23754,18.44,50,INC+,1,2
AEAS186891,11,0,2001,SUZAM UDDIN LASKAR,,Assam,KATLICHERRA,IND,,10891,M,4,3,FALSE,FALSE,12.51,10599,12.18,,,2,3
AEAS186891,14,0,2016,SUZAM UDDIN LASKAR,GEN,Assam,KATLICHERRA,AIUDF,IND,50676,M,1,3,FALSE,FALSE,40.6,15084,12.08,49,,2,3
AEAS186891,15,0,2021,SUZAM UDDIN LASKAR,,Assam,KATLICHERRA,AIUDF,AIUDF,79769,M,1,3,FALSE,TRUE,51.83,12971,8.43,53,INC+,2,3
AEAS186900,14,0,2016,NIZAM UDDIN CHOUDHURY,GEN,Assam,ALGAPUR,AIUDF,,50531,M,1,2,FALSE,FALSE,42.32,17754,14.87,43,,2,2
AEAS186900,15,0,2021,Nijam Uddin Choudhury,,Assam,ALGAPUR,AIUDF,AIUDF,66785,M,1,2,FALSE,TRUE,49.46,17604,13.04,47,INC+,2,2
AEAS186901,14,0,2016,KAUSHIK RAI,GEN,Assam,ALGAPUR,BJP,,32777,M,2,2,FALSE,FALSE,27.45,6850,5.74,39,,1,2
AEAS186901,15,0,2021,Kaushik Rai,,Assam,LAKHIPUR,BJP,BJP,55341,M,1,2,FALSE,FALSE,44.61,12700,10.24,44,BJP+,1,2
AEAS186931,14,0,2016,KARIM UDDIN BARBHUIYA,GEN,Assam,SONAI,AIUDF,,32109,M,3,2,FALSE,FALSE,26.01,29122,23.59,46,,1,2
AEAS186931,15,0,2021,KARIM UDDIN BARBHUIYA,,Assam,SONAI,AIUDF,AIUDF,71937,M,1,2,FALSE,FALSE,48.83,19654,13.34,51,INC+,1,2
AEAS186946,13,0,2011,MIHIR KANTI SHOME,GEN,Assam,UDHARBOND,IND,,11329,M,3,3,FALSE,FALSE,12.26,5720,6.19,45,,2,3
