pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms_Contested
AEBH104264,7,0,1977,LALCHAND MAHTO,Bihar,DUMRI,JNP,,16867,M,1,5,2,FALSE,FALSE,53.21,11630,36.69,,5
AEBH104264,8,0,1980,LALCHAND MAHTO,Bihar,DUMRI,JNP(SC),JNP,14092,M,2,5,2,TRUE,TRUE,31.1,6892,15.21,,5
AEBH104264,9,0,1985,LAL CHAND MAHTO,Bihar,DUMRI,LKD,JNP(SC),14109,M,2,5,2,TRUE,FALSE,26.35,7731,14.44,,5
AEBH104264,10,0,1990,LAL CHAND MAHTO,Bihar,DUMRI,JD,LKD,30718,M,1,5,2,TRUE,FALSE,36.98,11523,13.87,,5
AEBH104264,11,0,1995,LAL CHAND MAHTO,Bihar,DUMRI,SAP,JD,19698,M,3,5,2,TRUE,TRUE,18.56,10752,10.13,,5
AEBH104266,11,0,1995,DILIP KUMAR YADAV,Bihar,DHAMDAHA,JD,,32543,M,1,1,1,FALSE,FALSE,29,8923,7.95,,1
AEBH104268,11,0,1995,PRADIP KU. DAS,Bihar,KASBA,BJP,,31344,M,1,1,1,FALSE,FALSE,26.25,4871,4.08,,1
AEBR16634,11,0,1995,MADHU KORA,Bihar,JAGANATHPUR,BJP,,13732,F,2,1,0,FALSE,FALSE,21.26,664,1.03,,1
AEBR16676,11,0,1995,RAMESH SINGH MUNDA,Bihar,TAMAR,SAP,,17857,M,2,1,0,FALSE,FALSE,19.51,468,0.51,,1
AEBR16718,11,1,1996,Chandreshwar Prasad Singh,Bihar,Ranchi,BJP,,46513,M,1,1,1,FALSE,FALSE,40.31,6851,5.94,,1
AEBR16934,11,0,1995,VISHNU PR. KUSHWAHA,Bihar,DHANAHA,SAP,,13206,M,1,1,1,FALSE,FALSE,22.4,3106,5.27,,1
AEBR16936,11,0,1995,SHYAM NARAYAN PRASAD,Bihar,DHANAHA,JD,,9686,M,3,1,0,FALSE,FALSE,16.43,745,1.26,,1
AEBR16937,11,0,1995,MD. IBRAHIM ANSARI,Bihar,DHANAHA,BSP,,8941,M,4,1,0,FALSE,FALSE,15.16,4568,7.75,,1
AEBR16940,11,0,1995,GAJENDRA DHAR MISHRA,Bihar,DHANAHA,BJP,,2758,M,7,1,0,FALSE,FALSE,4.68,1023,1.74,,1
AEBR16941,11,0,1995,RAMDEI,Bihar,DHANAHA,INC,,1735,F,8,1,0,FALSE,FALSE,2.94,524,0.89,,1
AEBR16942,11,0,1995,UMA YADAV,Bihar,DHANAHA,BPP,,1211,M,9,1,0,FALSE,FALSE,2.05,590,1,,1
AEBR16952,11,0,1995,SURESH RAM,Bihar,BAGHA,BJP,,11264,M,3,1,0,FALSE,FALSE,10.11,5919,5.32,,1
AEBR16953,11,0,1995,ANIL RAM,Bihar,BAGHA,CVP,,5345,M,4,1,0,FALSE,FALSE,4.8,3431,3.08,,1
AEBR16960,11,0,1995,ANIL KUMAR RANJAN,Bihar,BAGHA,INC,,844,M,11,1,0,FALSE,FALSE,0.76,7,0.01,,1
AEBR16965,11,0,1995,JITENDRA BHARTI,Bihar,BAGHA,BPP,,298,M,16,1,0,FALSE,FALSE,0.27,63,0.06,,1
AEBR16980,11,0,1995,RAM PRASAD YADAV,Bihar,RAMNAGAR,JD,,25554,M,1,1,1,FALSE,FALSE,28.06,12683,13.92,,1
AEBR16987,11,0,1995,HARIBANSH SINGH,Bihar,RAMNAGAR,SAP,,2383,M,8,1,0,FALSE,FALSE,2.62,402,0.44,,1
