pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBH104265,10,0,1990,VIJAY PD. GUPTA,,Bihar,SUGAULI,IND,,8950,M,5,5,FALSE,FALSE,9.38,4097,4.3,,2,5
AEBH104265,12,0,2000,VIJAY PRASAD GUPTA,,Bihar,SUGAULI,KSP,IND,39499,M,1,5,FALSE,FALSE,33.15,506,0.42,,2,5
AEBH104265,13,0,2005,VIJAYPRASAD GUPTA,GEN,Bihar,SUGAULI,RJD,KSP,22281,M,1,5,TRUE,TRUE,20.13,633,0.57,50,2,5
AEBH104265,14,0,2005,VIJAY PRASAD GUPTA,GEN,Bihar,SUGAULI,RJD,RJD,29264,M,2,5,FALSE,TRUE,26.44,4908,4.43,50,2,5
AEBH104265,15,0,2010,VIJAY PRASAD GUPTA,GEN,Bihar,SUGAULI,RJD,RJD,26642,M,2,5,FALSE,FALSE,23.5,15720,13.87,53,2,5
AEBH104266,11,0,1995,DILIP KUMAR YADAV,,Bihar,DHAMDAHA,JD,,32543,M,1,5,FALSE,FALSE,29,8923,7.95,,2,5
AEBH104266,12,0,2000,DILIP KUMAR YADAV,,Bihar,DHAMDAHA,RJD,JD,16387,M,3,5,TRUE,TRUE,12.91,2567,2.02,,2,5
AEBH104266,13,0,2005,DILEEP KUMAR YADAV,GEN,Bihar,DHAMDAHA,RJD,RJD,31284,M,2,5,FALSE,FALSE,29.54,16665,15.74,42,2,5
AEBH104266,14,0,2005,DILIP KUMAR YADAV,GEN,Bihar,DHAMDAHA,RJD,RJD,39175,M,1,5,FALSE,FALSE,39.42,3597,3.62,41,2,5
AEBH104266,15,0,2010,DILIP KUMAR YADAV,GEN,Bihar,DHAMDAHA,RJD,RJD,19554,M,3,5,FALSE,TRUE,13.38,10406,7.12,47,2,5
AEBH104268,11,0,1995,PRADIP KU. DAS,,Bihar,KASBA,BJP,,31344,M,1,5,FALSE,FALSE,26.25,4871,4.08,,3,5
AEBH104268,12,0,2000,PRADIP KR. DAS,,Bihar,KASBA,BJP,BJP,32222,M,1,5,FALSE,TRUE,24.54,5669,4.32,,3,5
AEBH104268,13,0,2005,PRADIP KUMAR DAS,GEN,Bihar,KASBA,BJP,BJP,29721,M,2,5,FALSE,TRUE,23.68,13293,10.59,49,3,5
AEBH104268,14,0,2005,PRADIP KUMAR DAS,GEN,Bihar,KASBA,BJP,BJP,49113,M,1,5,FALSE,FALSE,38.73,6009,4.74,49,3,5
AEBH104268,15,0,2010,PRADIP KUMAR DAS,GEN,Bihar,KASBA,BJP,BJP,58570,M,2,5,FALSE,TRUE,43.74,54559,40.75,52,3,5
AEBH104273,13,0,2005,ASHOK KUMAR SINGH,GEN,Bihar,RAFIGANJ,LJP,,13128,M,3,3,FALSE,FALSE,13.75,2688,2.82,28,1,3
AEBH104273,14,0,2005,ASHOK KUMAR SINGH,GEN,Bihar,RAFIGANJ,SP,LJP,2198,M,5,3,TRUE,FALSE,2.74,354,0.44,28,1,3
AEBH104273,15,0,2010,ASHOK KUMAR SINGH,GEN,Bihar,RAFIGANJ,JD(U),SP,58501,M,1,3,TRUE,FALSE,49.58,23685,20.07,33,1,3
AEBH104276,15,0,2010,SADANAND SINGH,GEN,Bihar,KAHALGAON,INC,,44936,M,1,1,FALSE,FALSE,33.97,8935,6.75,65,1,1
AEBH105988,14,0,2005,PRAMOD SINGH CHANDRAVANSHI,GEN,Bihar,OBRA,JD(U),,23315,M,3,2,FALSE,FALSE,20.91,7481,6.71,26,,2
AEBH105988,15,0,2010,PRAMOD SINGH CHADRAVANSHI,GEN,Bihar,OBRA,JD(U),JD(U),36014,M,2,2,FALSE,FALSE,27.65,17551,13.47,37,,2
AEBH105991,15,0,2010,MAHESHWAR SINGH,GEN,Bihar,KESARIA,LJP,,12010,M,3,1,FALSE,FALSE,12.71,2685,2.84,55,,1
AEBH105993,15,0,2010,SANJAY RAM,SC,Bihar,BATHNAHA,INC,,8631,M,3,1,FALSE,FALSE,7.73,4014,3.59,35,,1
AEBH105996,15,0,2010,DR. IZHAR AHMAD,GEN,Bihar,GAURA BAURAM,JD(U),,33258,M,1,1,FALSE,FALSE,36.76,10602,11.72,49,1,1
AEBH106000,15,0,2010,MADAN SAHNI,GEN,Bihar,BAHADURPUR,JD(U),,27320,M,1,1,FALSE,FALSE,23.65,643,0.56,43,1,1
AEBH106002,15,0,2010,RAJESH KUMAR SINGH,GEN,Bihar,HATHUA,RJD,,27861,M,2,1,FALSE,FALSE,23.29,19932,16.66,39,,1
AEBH106006,15,0,2010,RAGHUPATI SINGH,GEN,Bihar,MAHNAR,INC,,4679,M,5,1,FALSE,FALSE,3.93,1439,1.21,58,,1
AEBH106007,15,0,2010,ABHASH KUMAR JHA,GEN,Bihar,SARAIRANJAN,INC,,8652,M,3,1,FALSE,FALSE,7.29,4166,3.51,39,,1
AEBH106011,15,0,2010,RIT LAL RAY,GEN,Bihar,DANAPUR,IND,,41506,M,2,1,FALSE,FALSE,33.19,30011,24,49,,1
AEBH106015,15,0,2010,SUDHAKAR SINGH,GEN,Bihar,RAMGARH,BJP,,18551,M,3,1,FALSE,FALSE,15.06,1217,0.99,34,,1
AEBH106018,15,0,2010,MURARI PRASAD GAUTAM,SC,Bihar,CHENARI,INC,,21390,M,3,1,FALSE,FALSE,16.87,12279,9.68,31,,1
AEBH106021,15,0,2010,LALAN RAM,SC,Bihar,KUTUMBA,JD(U),,42559,M,1,1,FALSE,FALSE,45.54,13910,14.88,36,1,1
AEBH106023,15,0,2010,JYOTI DEVI,SC,Bihar,BARACHATTI,JD(U),,57550,F,1,1,FALSE,FALSE,50.18,23746,20.7,45,1,1
AEBH106025,15,0,2010,SINDHU KUMAR PASWAN,SC,Bihar,SIKANDRA,INC,,7499,M,4,1,FALSE,FALSE,7.22,3795,3.66,27,,1
AEBR10016,13,0,2005,LAL BABU RAY,GEN,Bihar,MARHAURA,IND,,29424,M,1,3,FALSE,FALSE,36.84,10967,13.73,34,2,3
AEBR10016,14,0,2005,LAL BABU RAY,GEN,Bihar,MARHAURA,IND,IND,35628,M,1,3,FALSE,TRUE,42.14,22499,26.61,34,2,3
AEBR10016,15,0,2010,LAL BABU RAY,GEN,Bihar,MARHAURA,JD(U),IND,20750,M,2,3,FALSE,TRUE,20.88,6408,6.45,47,2,3
AEBR10087,13,0,2005,CHHOTELAL RAI,GEN,Bihar,PARSA,JD(U),,33525,M,2,3,FALSE,FALSE,39.97,26052,31.06,48,2,3
AEBR10087,14,0,2005,CHHOTE LAL RAI,GEN,Bihar,PARSA,JD(U),JD(U),41284,M,1,3,FALSE,FALSE,48.02,10373,12.07,47,2,3
AEBR10087,15,0,2010,CHHOTELAL RAI,GEN,Bihar,PARSA,JD(U),JD(U),44828,M,1,3,FALSE,TRUE,44.32,4689,4.64,51,2,3
AEBR10209,13,0,2005,ASHOK KUMAR SINGH,GEN,Bihar,PARU,BJP,,34060,M,2,3,FALSE,FALSE,32.22,23312,22.05,36,2,3
AEBR10209,14,0,2005,ASHOK KUMAR SINGH,GEN,Bihar,PARU,BJP,BJP,43569,M,1,3,FALSE,FALSE,42.68,3080,3.02,36,2,3
AEBR10209,15,0,2010,ASHOK KUMAR SINGH,GEN,Bihar,PAROO,BJP,BJP,53609,M,1,3,FALSE,TRUE,43.18,19027,15.33,36,2,3
AEBR10257,13,0,2005,MANOJ KUMAR SINGH,GEN,Bihar,KURHANI,JD(U),,29531,M,1,3,FALSE,FALSE,28.45,5952,5.73,32,3,3
AEBR10257,14,0,2005,MANOJ KUMAR SINGH,GEN,Bihar,KURHANI,JD(U),JD(U),43714,M,1,3,FALSE,TRUE,41.72,8390,8.01,32,3,3
AEBR10257,15,0,2010,MANOJ KUMAR SINGH,GEN,Bihar,KURHANI,JD(U),JD(U),36757,M,1,3,FALSE,TRUE,28.28,1570,1.21,40,3,3
AEBR10260,13,0,2005,BINOD CHAUDHARY,GEN,Bihar,KURHANI,IND,,9064,M,4,2,FALSE,FALSE,8.73,5460,5.26,42,,2
AEBR10260,15,0,2010,BINOD CHAUDHARY,GEN,Bihar,KURHANI,INC,IND,9896,M,4,2,FALSE,FALSE,7.61,3084,2.37,42,,2
AEBR10422,13,0,2005,SUNIL KUMAR ALIAS PINTU,GEN,Bihar,SITAMARHI,BJP,,51447,M,1,3,FALSE,FALSE,47.49,23764,21.93,43,3,3
AEBR10422,14,0,2005,SUNIL KUMAR ALIAS PINTU,GEN,Bihar,SITAMARHI,BJP,BJP,50973,M,1,3,FALSE,TRUE,46.06,21253,19.21,44,3,3
AEBR10422,15,0,2010,SUNIL KUMAR ALIAS PINTU,GEN,Bihar,SITAMARHI,BJP,BJP,51664,M,1,3,FALSE,TRUE,43.59,5221,4.4,49,3,3
AEBR10587,13,0,2005,DEO NARAIN MANDAL,GEN,Bihar,LAUKAHA,INC,,13683,M,3,2,FALSE,FALSE,15.54,1467,1.67,46,,2
AEBR10587,15,0,2010,DEV NARAIAN MANDAL,GEN,Bihar,LAUKAHA,INC,INC,15019,M,4,2,FALSE,FALSE,10.93,8584,6.25,52,,2
AEBR11095,13,0,2005,PARMANAND RISHIDEV,SC,Bihar,RANIGANJ,BJP,,31468,M,1,3,FALSE,FALSE,27.87,7288,6.45,42,2,3
AEBR11095,14,0,2005,PARMANAND RISHIDEV,SC,Bihar,RANIGANJ,IND,BJP,4188,M,4,3,FALSE,TRUE,3.9,1743,1.62,41,2,3
AEBR11095,15,0,2010,PARMANAND RISHIDEO,SC,Bihar,RANIGANJ,BJP,IND,65111,M,1,3,FALSE,FALSE,49.63,23653,18.03,48,2,3
AEBR11186,13,0,2005,MD. MASHAWAR ALAM,GEN,Bihar,BAHADURGANJ,NCP,,2016,M,12,2,FALSE,FALSE,1.91,219,0.21,44,,2
AEBR11186,15,0,2010,MOHAMMAD MASWAR ALAM,GEN,Bihar,BAHADURGANJ,JD(U),NCP,26752,M,2,2,TRUE,FALSE,23.79,17690,15.73,51,,2
AEBR11288,13,0,2005,MANOJ KUMAR,SC,Bihar,KORHA,JMM,,3744,M,4,2,FALSE,FALSE,3.48,822,0.76,28,,2
