pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBH104268,11,0,1995,PRADIP KU. DAS,Bihar,KASBA,BJP,,31344,M,1,6,FALSE,FALSE,26.25,4871,4.08,,3,6
AEBH104268,12,0,2000,PRADIP KR. DAS,Bihar,KASBA,BJP,BJP,32222,M,1,6,FALSE,TRUE,24.54,5669,4.32,,3,6
AEBH104268,13,0,2005,PRADIP KUMAR DAS,Bihar,KASBA,BJP,BJP,29721,M,2,6,FALSE,TRUE,23.68,13293,10.59,49,3,6
AEBH104268,14,0,2005,PRADIP KUMAR DAS,Bihar,KASBA,BJP,BJP,49113,M,1,6,FALSE,FALSE,38.73,6009,4.74,49,3,6
AEBH104268,15,0,2010,PRADIP KUMAR DAS,Bihar,KASBA,BJP,BJP,58570,M,2,6,FALSE,TRUE,43.74,54559,40.75,52,3,6
AEBH104268,16,0,2015,PRADIP KUMAR DAS,Bihar,KASBA,BJP,BJP,79839,M,2,6,FALSE,FALSE,43.75,75062,41.13,57,3,6
AEBH104273,13,0,2005,ASHOK KUMAR SINGH,Bihar,RAFIGANJ,LJP,,13128,M,3,4,FALSE,FALSE,13.75,2688,2.82,28,2,4
AEBH104273,14,0,2005,ASHOK KUMAR SINGH,Bihar,RAFIGANJ,SP,LJP,2198,M,5,4,TRUE,FALSE,2.74,354,0.44,28,2,4
AEBH104273,15,0,2010,ASHOK KUMAR SINGH,Bihar,RAFIGANJ,JD(U),SP,58501,M,1,4,TRUE,FALSE,49.58,23685,20.07,33,2,4
AEBH104273,16,0,2015,ASHOK KUMAR SINGH,Bihar,RAFIGANJ,JD(U),JD(U),62897,M,1,4,FALSE,TRUE,39.47,9525,5.98,37,2,4
AEBH104276,15,0,2010,SADANAND SINGH,Bihar,KAHALGAON,INC,,44936,M,1,2,FALSE,FALSE,33.97,8935,6.75,65,2,2
AEBH104276,16,0,2015,SADANAND SINGH,Bihar,KAHALGAON,INC,INC,64981,M,1,2,FALSE,TRUE,36.68,21229,11.98,70,2,2
AEBH104283,16,0,2015,TARKESHWAR SINGH,Bihar,BANIAPUR,BJP,,53900,M,2,1,FALSE,FALSE,35.4,40355,26.5,57,,1
AEBH106031,16,0,2015,RENU DEVI,Bihar,NARKATIAGANJ,BJP,,41151,F,2,1,FALSE,FALSE,26.8,1951,1.27,34,,1
AEBH106038,16,0,2015,SUNIL KUMAR,Bihar,SITAMARHI,RJD,,81557,M,1,1,FALSE,FALSE,49.62,14722,8.96,39,1,1
AEBH106039,16,0,2015,MD. NASIR AHAMAD,Bihar,BELSAND,LJP,,28210,M,2,1,FALSE,FALSE,23.03,16844,13.75,32,,1
AEBH106053,16,0,2015,ANIL KUMAR ORAON,Bihar,MANIHARI,LJP,,48024,M,2,1,FALSE,FALSE,30.12,41015,25.72,28,,1
AEBH106085,16,0,2015,MITHILESH KUMAR NISHAD,Bihar,BELDAUR,LJP,,49691,M,2,1,FALSE,FALSE,29.72,34087,20.39,37,,1
AEBH106091,16,0,2015,SWEETY SIMA HEMBRAM,Bihar,KATORIA,RJD,,54760,F,1,1,FALSE,FALSE,41.35,10337,7.81,36,1,1
AEBH106117,16,0,2015,SHARIM ALI,Bihar,BELAGANJ,HAMS,,40726,M,2,1,FALSE,FALSE,28.3,32612,22.66,39,,1
AEBH106120,16,0,2015,ARJUN RAM,Bihar,RAJAULI,BJP,,65934,M,2,1,FALSE,FALSE,42.81,60393,39.21,53,,1
