pid,Assembly_No,Poll_No,Year,Candidate,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,No_Terms,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEBR26211,5,0,1969,JANAK YADAV,Bihar,CHAPRA,PSP,,18747,M,1,1,1,FALSE,FALSE,32.34,1009,1.74,,1,1
AEBR29282,5,0,1969,CHANDRADEO PRASAD HIMANSU,Bihar,RAJGIR,CPI,,12347,M,3,1,0,FALSE,FALSE,21.87,11391,20.17,,,1
AEBR30932,5,0,1969,BABU LAL,Bihar,RAJAULI,BJS,,20241,M,1,1,1,FALSE,FALSE,44.95,5272,11.71,,1,1
AEBR31703,5,0,1969,GHANSHYAM MAHTO,Bihar,ICHAGARH,FBL,,9712,M,1,1,1,FALSE,FALSE,35.43,1805,6.58,,1,1
AEBR40905,5,0,1969,NAJMUDDIN,Bihar,BAHADURGANJ,INC,,22848,M,1,1,1,FALSE,FALSE,67.94,12068,35.89,,1,1
AEBR41236,5,0,1969,CHATURBHUJ PRASAD SINGH,Bihar,BELHAR,SSP,,11529,M,1,1,1,FALSE,FALSE,24.46,1853,3.93,,1,1
AEBR42335,5,0,1969,CHHATRU RAM MAHTO,Bihar,JARIDIH,BJS,,6495,M,2,1,0,FALSE,FALSE,24.64,2339,8.87,,,1
AEBR44067,5,0,1969,MAHANTH MAHADEVA NAND GIRI,Bihar,BARHARA,IND,,18512,M,1,1,1,FALSE,FALSE,37.11,915,1.83,,1,1
AEBR44793,5,0,1969,MARKANDESHWAR SINGH,Bihar,DHANAHA,INC,,15510,M,2,1,0,FALSE,FALSE,41.82,12568,33.89,,,1
AEBR44794,5,0,1969,RAM NAGINA PRASAD YADAV,Bihar,DHANAHA,BJS,,2942,M,3,1,0,FALSE,FALSE,7.93,1977,5.33,,,1
AEBR44795,5,0,1969,ANANT PRASAD,Bihar,DHANAHA,CPM,,965,M,4,1,0,FALSE,FALSE,2.6,0,0,,,1
AEBR44800,5,0,1969,LAXMI PRASAD,Bihar,BAGAHA,BKD,,293,M,5,1,0,FALSE,FALSE,0.93,0,0,,,1
AEBR44801,5,0,1969,NARAYAN VIKRAM SHAH,Bihar,RAMNAGAR,INC,,19350,M,1,1,1,FALSE,FALSE,44.91,4533,10.52,,1,1
AEBR44802,5,0,1969,CHANDRA MOHJAN PRASAD RAI,Bihar,RAMNAGAR,BJS,,14817,M,2,1,0,FALSE,FALSE,34.39,8314,19.3,,,1
AEBR44803,5,0,1969,JAGDISH PANDEY,Bihar,RAMNAGAR,LTC,,6503,M,3,1,0,FALSE,FALSE,15.09,5028,11.67,,,1
AEBR44807,5,0,1969,SITA RAM PRASAD,Bihar,SHIKARPUR,BJS,,14579,M,1,1,1,FALSE,FALSE,44.94,4214,12.99,,1,1
AEBR44808,5,0,1969,DINA NATH CHANDRA,Bihar,SHIKARPUR,INC,,10365,M,2,1,0,FALSE,FALSE,31.95,6189,19.08,,,1
AEBR44809,5,0,1969,BHOLE RAM TUFANI,Bihar,SHIKARPUR,PSP,,4176,M,3,1,0,FALSE,FALSE,12.87,1853,5.71,,,1
AEBR44810,5,0,1969,VIDYA KISHORE VIDALANKAR,Bihar,SHIKARPUR,SWA,,2323,M,4,1,0,FALSE,FALSE,7.16,1328,4.09,,,1
AEBR44813,5,0,1969,HARGUN PRASAD SHAHI,Bihar,SIKTA,LTC,,20224,M,2,1,0,FALSE,FALSE,39.79,15886,31.25,,,1
AEBR44814,5,0,1969,MAHANT DHANRAJ PURI,Bihar,SIKTA,BJS,,4338,M,3,1,0,FALSE,FALSE,8.53,981,1.93,,,1
AEBR44816,5,0,1969,SHATRU MARDAN SAHI,Bihar,LAURIA,SWA,,16648,M,1,1,1,FALSE,FALSE,45.91,6642,18.32,,1,1
AEBR44817,5,0,1969,ASHWINI KUMAR MITRA,Bihar,LAURIA,INC,,10006,M,2,1,0,FALSE,FALSE,27.59,2374,6.55,,,1
AEBR44818,5,0,1969,LAKSHMI PRASAD,Bihar,LAURIA,BJS,,7632,M,3,1,0,FALSE,FALSE,21.05,6340,17.48,,,1
AEBR44819,5,0,1969,ZUVAR ALAM ZAFARI,Bihar,LAURIA,SSP,,1292,M,4,1,0,FALSE,FALSE,3.56,825,2.28,,,1
AEBR44820,5,0,1969,SOVARAN BAITHA,Bihar,LAURIA,BKD,,467,M,5,1,0,FALSE,FALSE,1.29,250,0.69,,,1
AEBR44821,5,0,1969,SUBH NARAYAN PRASAD,Bihar,LAURIA,LTC,,217,M,6,1,0,FALSE,FALSE,0.6,0,0,,,1
AEBR44822,5,0,1969,VIR SINGH,Bihar,CHANPATIA,SSP,,11655,M,1,1,1,FALSE,FALSE,34.24,3383,9.94,,1,1
