Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
PSP,PRAJA SOCIALIST PARTY
CPI,COMMUNIST PARTY OF INDIA
SWA,SWATANTRA PARTY
JS,JAN SANGH
SOC,SOCIALIST
JP,JANATA PARTY
SSP,SAMYUKTA SOCIALIST PARTY
BJS,AKHIL BHARATIYA JANA SANGH
JKD,JAN KRANTI DAL
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
RPI,REPUBLICAN PARTY OF INDIA
BKD,BAHUJAN KRANTI DAL
LTC,LOK TANTRIK CONGRESS
JAP,JANATA PARTY
SHD,SARVHARA DAL
FBL,ALL INDIA FORWARD BLOC
SUC,SOCIALIST UNITY CENTRE OF INDIA
PHJ,BIHAR PRANT HUL JHARKHAND
SOP,SAMYUKTA SOCIALIST PARTY/ SOCIALIST PARTY
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
HSD,HINDUSTANI SHOSHIT DAL
JKP,ALL INDIA JHARKHAND PARTY
HJS,PROGRESSIVE HULL JHARKHAND PARTY (SHIBU GROUP)
JNP,JANATA PARTY
SSD,SHOSHIT SAMAJ DAL
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(SC),JANATA PARTY (SECULAR)- CH CHARAN SINGH
JNP(JP),JANATA PARTY (JP)
BJP,BHARATIYA JANATA PARTY
INC(U),INDIAN NATIONAL CONGRESS (U)
JNP(SR),JANATA PARTY (SECULAR) RAJ NARAIN
BSP,BAHUJAN SAMAJ PARTY
JMM,JHARKHAND MUKTI MORCHA
LKD,LOK DAL
ICS,INDIAN CONGRES (SOCIALIST)
JD,JANATA DAL
IPF,INDIAN PEOPLES FRONT
SOP(L),SOCIALIST PARTY (LOHIA)
MCOR,MARXIST CO-ORDINATION
SAP,SAMATA PARTY
BPP,BHARATIYA PRAGATISHEEL PARTY
CVP,CHAMPARAN VIKAS PARTY
SP,SAMAJWADI PARTY
CPI(ML)(L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
JMM(S),JHARKHAND MUKTI MORCHA (SOREN)
JMM(M),JHARKHAND MUKTI MORCHA (MARDI)
JPP,JHARKHAND PEOPLE'S PARTY
KSP,KOSAL PARTY
RJD,RASHTRIYA JANATA DAL
NCP,NATIONALIST CONGRESS PARTY
JD(U),JANATA DAL (UNITED)
MCO,MARXIST CO-ORDINATION
UGDP,UNITED GOANS DEMOCRATIC PARTY
LJP,LOK JAN SHAKTI PARTY
AJVD,AKHIL JAN VIKAS DAL
BLSP,RASHTRIYA LOK SAMTA PARTY
HAMS,HINDUSTANI AWAM MORCHA (SECULAR)
