pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AECG0000007,4,0,2018,CHHABILAL RATRE,,Chhattisgarh,SARAIPALI,SC,BSP,,1849,M,4,1,FALSE,FALSE,1.17,756,0.48,,,,1
AECG100190,1,1,2007,Komal Janghel,,Chhattisgarh,Khairagarh,GEN,BJP,,57949,M,1,4,FALSE,FALSE,52.21,15987,14.4,,,2,4
AECG100190,2,0,2008,KOMAL JANGHEL,GEN,Chhattisgarh,KHAIRAGARH,GEN,BJP,BJP,62437,M,1,4,FALSE,TRUE,50.83,19544,15.91,45,,2,4
AECG100190,3,0,2013,KOMAL JANGHEL,GEN,Chhattisgarh,KHAIRAGARH,GEN,BJP,BJP,67943,M,2,4,FALSE,TRUE,44.64,63300,41.58,53,,2,4
AECG100190,4,0,2018,KOMAL JANGHEL,,Chhattisgarh,KHAIRAGARH,GEN,BJP,BJP,60646,M,2,4,FALSE,FALSE,35.57,28835,16.91,,,2,4
AECG2166,3,0,2013,TOKHAN SAHU,GEN,Chhattisgarh,LORMI,GEN,BJP,,52302,M,1,2,FALSE,FALSE,39.75,6241,4.74,44,,1,2
AECG2166,4,0,2018,TOKHAN SAHU,,Chhattisgarh,LORMI,GEN,BJP,BJP,42189,M,2,2,FALSE,TRUE,29.56,25520,17.88,,,1,2
AECG2734,3,0,2013,RAJMAHANT SATYANARAYAN SONWANI,SC,Chhattisgarh,SAJA,GEN,BHBP,,323,M,9,2,FALSE,FALSE,0.2,0,0,67,,,2
AECG2734,4,0,2018,RAJMAHANT SANWLA RAM DAHRE,,Chhattisgarh,AHIWARA,SC,BJP,BHBP,57048,M,2,2,TRUE,FALSE,35.35,51204,31.73,,,,2
AECG2937,3,0,2013,HEMANT POYAM,ST,Chhattisgarh,CHITRAKOT,ST,BSP,,2929,M,6,2,FALSE,FALSE,2.45,398,0.33,32,,,2
AECG2937,4,0,2018,HEMANT POYAM,,Chhattisgarh,ANTAGARH,ST,BSP,BSP,1243,M,6,2,FALSE,FALSE,1.04,158,0.13,,,,2
AECG81598,4,0,2018,KRISHANA PRASAD CHERVA,,Chhattisgarh,BHARATPUR-SONHAT,ST,BSP,,9689,M,4,1,FALSE,FALSE,7.28,6329,4.75,,,,1
AECG81607,4,0,2018,DR. VINAY JAISWAL,,Chhattisgarh,MANENDRAGARH,GEN,INC,,35819,M,1,1,FALSE,FALSE,36.59,4074,4.16,,,1,1
AECG81613,4,0,2018,LAKHAN LAL SHRIVASTAVA (PANI WALE BABA),,Chhattisgarh,MANENDRAGARH,GEN,JCC(J),,12907,M,3,1,FALSE,FALSE,13.19,1343,1.37,,,,1
AECG81617,4,0,2018,AMBICA SINGH DEO,,Chhattisgarh,BAIKUNTHPUR,GEN,INC,,48885,F,1,1,FALSE,FALSE,37.73,5339,4.12,,,1,1
AECG81619,4,0,2018,BIHARI LAL RAJWADE,,Chhattisgarh,BAIKUNTHPUR,GEN,JCC(J),,9236,M,4,1,FALSE,FALSE,7.13,6606,5.1,,,,1
AECG81632,4,0,2018,PANKAJ TIWARI,,Chhattisgarh,PREMNAGAR,GEN,JCC(J),,11842,M,4,1,FALSE,FALSE,6.9,7784,4.54,,,,1
AECG81646,4,0,2018,SURENDRA CHOUDHARY,,Chhattisgarh,BHATGAON,GEN,JCC(J),,9067,M,4,1,FALSE,FALSE,5.26,5100,2.96,,,,1
AECG81664,4,0,2018,DR. NARENDRA PRATAP SINGH,,Chhattisgarh,PRATAPPUR,ST,JCC(J),,5977,M,4,1,FALSE,FALSE,3.43,236,0.14,,,,1
AECG81673,4,0,2018,RAMKISHUN SINGH,,Chhattisgarh,RAMANUJGANJ,ST,BJP,,31664,M,2,1,FALSE,FALSE,20.45,2423,1.56,,,,1
AECG81678,4,0,2018,MOHAN SINGH,,Chhattisgarh,RAMANUJGANJ,ST,JCC(J),,10354,M,4,1,FALSE,FALSE,6.69,5663,3.66,,,,1
AECG81687,4,0,2018,MITKOO BHAGAT,,Chhattisgarh,SAMRI,ST,BSP,,6587,M,3,1,FALSE,FALSE,4.05,337,0.21,,,,1
AECG81697,4,0,2018,DR. PRITAM RAM,,Chhattisgarh,LUNDRA,ST,INC,,77773,M,1,1,FALSE,FALSE,51.21,22179,14.6,,,1,1
AECG81698,4,0,2018,MAYA BHAGAT,,Chhattisgarh,LUNDRA,ST,BSP,,1804,F,6,1,FALSE,FALSE,1.19,5,0,,,,1
AECG81713,4,0,2018,SITA RAM DAS,,Chhattisgarh,AMBIKAPUR,GEN,BSP,,1322,M,6,1,FALSE,FALSE,0.74,247,0.14,,,,1
AECG81727,3,0,2013,PARAS NATH RAJWADE,GEN,Chhattisgarh,BHATGAON,GEN,INC,,67339,M,1,2,FALSE,FALSE,41.54,7368,4.55,49,,2,2
AECG81727,4,0,2018,PARAS NATH RAJWADE,,Chhattisgarh,BHATGAON,GEN,INC,INC,74623,M,1,2,FALSE,TRUE,43.29,15734,9.13,,,2,2
AECG81744,4,0,2018,GAGANMATI BHAGAT,,Chhattisgarh,JASHPUR,ST,BSP,,2081,F,9,1,FALSE,FALSE,1.22,195,0.11,,,,1
AECG81745,4,0,2018,GOVIND RAM BHAGAT,,Chhattisgarh,JASHPUR,ST,BJP,,63937,M,2,1,FALSE,FALSE,37.53,53291,31.28,,,,1
AECG81756,4,0,2018,BENJAMIN MINJ,,Chhattisgarh,KUNKURI,ST,BSP,,1970,M,4,1,FALSE,FALSE,1.3,128,0.08,,,,1
AECG81758,4,0,2018,U. D. MINJ,,Chhattisgarh,KUNKURI,ST,INC,,69896,M,1,1,FALSE,FALSE,46.16,4293,2.83,,,1,1
AECG81772,4,0,2018,M. S. PAINKARA,,Chhattisgarh,PATHALGAON,ST,JCC(J),,3915,M,4,1,FALSE,FALSE,2.26,1296,0.75,,,,1
AECG81781,4,0,2018,CHAKRADHAR SINGH SIDAR,,Chhattisgarh,LAILUNGA,ST,INC,,81770,M,1,1,FALSE,FALSE,50.08,24483,15,,,1,1
AECG81789,4,0,2018,PRAKASH SHAKRAJEET NAIK,,Chhattisgarh,RAIGARH,GEN,INC,,69062,M,1,1,FALSE,FALSE,36.06,14580,7.61,,,1,1
AECG81795,4,0,2018,VIBHAS SINGH THAKUR,,Chhattisgarh,RAIGARH,GEN,JCC(J),,5823,M,5,1,FALSE,FALSE,3.04,3608,1.88,,,,1
AECG81806,4,0,2018,ARVIND KHATKER,,Chhattisgarh,SARANGARH,SC,BSP,,31083,M,3,1,FALSE,FALSE,16.02,28741,14.81,,,,1
