pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEGA82273,1,0,1989,NAIK RAVI SITARAM,,Goa,MARCAIM,GEN,MAG,,6561,M,1,2,FALSE,FALSE,43.3,1651,10.89,,,1,2
AEGA82273,2,0,1994,NAIK RAVI SITARAM,,Goa,MARCAIM,GEN,INC,MAG,7075,M,2,2,TRUE,TRUE,41.18,6879,40.04,,,1,2
AEGA82278,1,0,1989,SIRODKAR SUBHAS ANKUSH,,Goa,SIRODA,GEN,INC,,6046,M,1,2,FALSE,FALSE,42.18,285,1.99,,,2,2
AEGA82278,2,0,1994,SHIRODKAR SUBHASH ANKUSH,,Goa,SIRODA,GEN,INC,INC,6257,M,1,2,FALSE,TRUE,37.65,103,0.62,,,2,2
AEGA82349,1,0,1989,FALEIRO LUIZINHO JOA-QUIM (UNCONTESTED ELECTED),,Goa,NAVELIM,GEN,INC,,0,M,1,2,FALSE,FALSE,,0,,,,2,2
AEGA82349,2,0,1994,LUIZINHO FALEIRO,,Goa,NAVELIM,GEN,INC,INC,8178,M,1,2,FALSE,TRUE,51.98,2882,18.32,,,2,2
AEGA82583,1,0,1989,ALIMNO CHURCHIL BRAZ,,Goa,BENAULIM,GEN,INC,,9196,M,1,2,FALSE,FALSE,70.44,5554,42.54,,,2,2
AEGA82583,2,0,1994,CHURCHIL BRAZ ALEMAO,,Goa,BENAULIM,GEN,UGDP,INC,8587,M,1,2,TRUE,TRUE,63.28,4022,29.64,,,2,2
AEGA82599,1,0,1989,VALIP PRAKASH SHANKAR,,Goa,QUEPEM,GEN,MAG,,9229,M,1,2,FALSE,FALSE,63.06,4310,29.45,,,2,2
AEGA82599,2,0,1994,PRAKASH SHANKAR VELIP,,Goa,QUEPEM,GEN,MAG,MAG,7579,M,1,2,FALSE,TRUE,47.14,3244,20.18,,,2,2
AEGA82645,1,0,1989,NAIK VINAYAK VITTHAL,,Goa,TIVIM,GEN,MAG,,6797,M,1,2,FALSE,FALSE,48.18,2033,14.41,,,1,2
AEGA82645,2,0,1994,NAIK VINAYAK VITHAL,,Goa,TIVIM,GEN,MAG,MAG,3672,M,2,2,FALSE,TRUE,22.77,2718,16.85,,,1,2
AEGA82858,2,1,1996,Agnelo Fernandes,,Goa,Benaulim,GEN,INC,,5970,M,2,1,FALSE,FALSE,44.91,5753,43.28,,,,1
AEGA82904,1,0,1989,CARMO RAFAEL ANDRE JOSE PEGADO,,Goa,SANTO. ANDRE,GEN,IND,,5097,M,1,2,FALSE,FALSE,40.29,1370,10.83,,,2,2
AEGA82904,2,0,1994,PEGADO CARMO RAFAEL,,Goa,ST. ANDRE,GEN,INC,IND,6433,M,1,2,FALSE,TRUE,44.95,2377,16.61,,,2,2
AEGA82915,2,0,1994,KUTTIKAR KRISHNA SAJU,,Goa,CUMBARJUA,GEN,INC,,6738,M,1,1,FALSE,FALSE,42.93,310,1.98,,,1,1
AEGA82926,1,0,1989,GADEKAR KAMALKANT KRISHNA,,Goa,MAEM,GEN,CPI,,378,M,4,2,FALSE,FALSE,3.37,203,1.81,,,,2
AEGA82926,2,0,1994,GADEKAR KAMALAKANT KRISHNA,,Goa,MAEM,GEN,CPM,CPI,1379,M,4,2,TRUE,FALSE,11.04,452,3.62,,,,2
AEGA82934,2,0,1994,HALDANKAR NARAHARI TUKARAM,,Goa,VALPOI,GEN,BJP,,4853,M,1,1,FALSE,FALSE,43.86,958,8.66,,,1,1
AEGA82947,1,0,1989,JALMI KASHINATH GOVIND,,Goa,PRIOL,GEN,MAG,,11766,M,1,2,FALSE,FALSE,72.55,7753,47.81,,,2,2
AEGA82947,2,0,1994,JALMI DR. KASHINATH GOVIND,,Goa,PRIOL,GEN,MAG,MAG,7982,M,1,2,FALSE,TRUE,45.1,1342,7.58,,,2,2
AEGA82957,1,0,1989,SHAIKH HASSAN HAROON,,Goa,MORMUGAO,GEN,INC,,5394,M,1,2,FALSE,FALSE,37.47,212,1.47,,,1,2
AEGA82957,2,0,1994,SHAIKH HASSAN HAROON,,Goa,MORMUGAO,GEN,INC,INC,5544,M,2,2,FALSE,TRUE,31.41,2308,13.08,,,1,2
AEGA82975,2,0,1994,ALEIXO SEQUEIRA,,Goa,LOUTOLIM,GEN,INC,,6846,M,1,1,FALSE,FALSE,54.35,1669,13.25,,,1,1
AEGA83025,2,0,1994,MARATHE SADASHIV VAMAN,,Goa,SANVORDEM,GEN,INC,,5580,M,2,1,FALSE,FALSE,35.24,4528,28.59,,,,1
AEGA83061,2,0,1994,PARAB SANGEETA GOPAL,,Goa,MANDREM,GEN,INC,,6989,F,1,1,FALSE,FALSE,50.12,633,4.54,,,1,1
AEGA83086,1,0,1989,SIRSAT SURENDRA V.,,Goa,MAPUSA,GEN,MAG,,5769,M,1,2,FALSE,FALSE,43.92,2157,16.42,,,2,2
AEGA83086,2,0,1994,SHIRSAT SURENDRA VASANT,,Goa,MAPUSA,GEN,MAG,MAG,6972,M,1,2,FALSE,TRUE,50.37,484,3.5,,,2,2
AEGA83108,2,0,1994,ASNODKER ULHAS GOPAL,,Goa,ALDONA,GEN,BJP,,7792,M,2,1,FALSE,FALSE,43.78,6424,36.09,,,,1
AEGA83208,2,0,1994,GRACIAS RADHARAO SOCRATES,,Goa,LOUTOLIM,GEN,UGDP,,5177,M,2,1,FALSE,FALSE,41.1,4915,39.02,,,,1
AEGA83272,2,0,1994,JADHAV CHANDRAKANT SAKHARAM,,Goa,MANDREM,GEN,BSP,,290,M,3,1,FALSE,FALSE,2.08,86,0.62,,,,1
AEGA83277,2,0,1994,KOTKAR PARSHURAM NAGESH,,Goa,PERNEM,GEN,MAG,,8198,M,1,1,FALSE,FALSE,63.1,4279,32.93,,,1,1
AEGA83282,2,0,1994,ADV. PRAKASH MAHADEV GOVEKAR,,Goa,PERNEM,GEN,UGDP,,98,M,6,1,FALSE,FALSE,0.75,20,0.15,,,,1
AEGA83285,1,0,1989,MANDREKAR DEU GUNAJI,,Goa,DARGALIM,SC,MAG,,6544,M,1,2,FALSE,FALSE,74.52,5425,61.78,,,2,2
AEGA83285,2,0,1994,MANDREKAR DEU GUNAJI,,Goa,DARGALIM,SC,MAG,MAG,5915,M,1,2,FALSE,TRUE,62.12,3346,35.14,,,2,2
AEGA83286,1,0,1989,BANDEKAR SHAMBHU BHAU,,Goa,DARGALIM,SC,INC,,1119,M,2,2,FALSE,FALSE,12.74,311,3.54,,,,2
AEGA83286,2,0,1994,BANDEKAR SHAMBHU BHAU,,Goa,DARGALIM,SC,INC,INC,2569,M,2,2,FALSE,FALSE,26.98,2163,22.72,,,,2
AEGA83288,2,0,1994,GAONKAR PRADEEP SHANKAR,,Goa,DARGALIM,SC,BSP,,365,M,4,1,FALSE,FALSE,3.83,143,1.5,,,,1
AEGA83289,2,0,1994,SHIRODKAR SHAMSUNDER NARAYAN,,Goa,DARGALIM,SC,UGDP,,222,M,5,1,FALSE,FALSE,2.33,177,1.86,,,,1
AEGA83295,2,0,1994,REDKAR DASHARATH MAHADEV,,Goa,TIVIM,GEN,BSP,,73,M,5,1,FALSE,FALSE,0.45,22,0.14,,,,1
AEGA83298,2,0,1994,NATEKAR GURUDAS BHALCHANDRA,,Goa,MAPUSA,GEN,INC,,6488,M,2,1,FALSE,FALSE,46.88,6282,45.39,,,,1
AEGA83308,2,0,1994,NAIK BHALCHANDRA GANESH,,Goa,SIOLIM,GEN,BSP,,199,M,5,1,FALSE,FALSE,1.2,122,0.74,,,,1
AEGA83312,2,0,1994,CARDOZ LEBART TOMAZIN,,Goa,CALANGUTE,GEN,INC,,7716,M,1,1,FALSE,FALSE,50.57,3970,26.02,,,1,1
AEGA83314,2,0,1994,NAIK RAVINDRA BHIKARO,,Goa,CALANGUTE,GEN,MAG,,2592,M,3,1,FALSE,FALSE,16.99,1547,10.14,,,,1
AEGA83316,2,0,1994,HARMALKAR NAMDEV SHANKAR,,Goa,CALANGUTE,GEN,BSP,,61,M,5,1,FALSE,FALSE,0.4,19,0.12,,,,1
AEGA83321,2,0,1994,KALANGUTKAR DILIP SONU,,Goa,SALIGAO,GEN,SHS,,5184,M,2,1,FALSE,FALSE,36.41,2815,19.77,,,,1
AEGA83325,2,0,1994,SANTOSH VASANT MORAJKAR,,Goa,SALIGAO,GEN,BSP,,31,M,6,1,FALSE,FALSE,0.22,0,0,,,,1
AEGA83326,2,0,1994,D'SA FATIMA JOSEPH PHILIP,,Goa,ALDONA,GEN,INC,,8303,F,1,1,FALSE,FALSE,46.65,511,2.87,,,1,1
AEGA83330,2,0,1994,MIRAJKAR SHOBHA MIRAJI,,Goa,ALDONA,GEN,BSP,,86,F,5,1,FALSE,FALSE,0.48,55,0.31,,,,1
