Party,Expanded_Party_Name
INC,CONGRESS
SWA,SWATANTRA
IND,INDEPENDENT
CPI,COMMUNIST PARTY OF INDIA
JS,JAN SANGH
REP,RASHTRIYA EKTA PARTY
PSP,PRAGATI SHEEL PARTY
HLC,ALL PRATY HILL LEADERS CONFERENCE
SOC,SOCIALIST
RRP,AKHIL BHARATI RAMRAJYA PARISHAD
JP,JANATA PARTY
HMS,AKHIL BHARAT HINDU MAHASABHA
NJP,NUTAN MAHA GUJARAT JANTA PARISHA
ML,MUSLIM LEAGUE
RSP,REVOLUTIONARY SOCIALIST PARTY
FB,FORWARD BLOCK
DMK,DRAVIDA MUMMETRA KAZHAGAM
PWP,PEASANT WORKER PARTY
LSS,LOK SEVAK SANGH
GP,GANTANTRA PARISHAD
HLS,HARYANA LOK SAMITI
AD,AKALI DAL
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
RPI,PREPUBLICAN PARTY OF INDIA
SSP,SAMYUKTA SOCIALIST PARTY
BJS,AKHIL BHARATIYA JAN SANGH
AHL,ALL PARTY HILL LEADERS CONFERENCE
JKD,JAN EKTA DAL
UGS,UNITED GOANS -  SEQVERIA GROUP
JKN,JAMMU & KASHMIR CONFERENCE
MUL,MUSLIM LEAGE
KEC,KERALA CONGRESS
NNO,NAGALAN NATIONALIST ORGANISATION
ADS,AKALI DAL - SANT FATEH SINGH GROUP
FBL,ALL INDIA FORWARD BLOC
BAC,BANGLA CONGRESS
NCO,INDIAN NATIONAL CONGRESS (ORG)
RPK,REPUBLICAN PARTY OF INDIA (KHOBRAGADE)
TPS,TELANGANA PRAJA SAMITHI
BKD,BAHUJAN KISAN DAL
JKP,ALL INDIA JHARKHAND PARTY
VHP,VISHAL HARYANA
MAG,MAHARASHTRAWADI GOMANTAK
SAD,SHIROMANI AKALI DAL
SHS,SHIV SENA
RPG,REPUBLICAN PARTY OF INDIA
MRP,MANIPUR PEOPLES PARTY
UFN,UNITED FRONT OF NAGALAND
UTC,UTKAL CONGRESS
BLD,BHARATIYA LOK DAL
KCP,KARNATAKA CONGRESS PARTY
UDF,UNITED DEMOCRATIC FRONT
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
INC(I),INDIAN NATIOANL CONGRESS (I)
JNP,JAN PARISHAD
JNP(S),JANTA PARTY (SECULAR)
INC(U),INDIAN NATIONAL CONGRESS (U)
BSP,BAHUJAN SAMAJ PARTY
SJP,SAMAJWADI JANATA PARTY
LKD,LOK DAL
TDP,TELUGU DESAM
ICS,INDIAN CONGRESS (SOCIALIST)
BJP,BHARATIYA JANATA PARTY
JMM,JHARKHAND MUKTI MORCHA
ICJ,INDIAN CONGRESS (J)
KCJ,KERALA CONGRESS (J)
PTC,PLAINS TRIBALS COUNCIL OF ASSAM
ICS(SCS),INDIAN CONGRESS (SOCIALIST- SARAT CHANDRA SINHA)
JD,JANATA DAL
MIM,ALL INDIA MAJLIST-E-ITTEHADUL MUSLIMEEN
IPF,INDIAN PEOPLES FRONT
M-COR,MARXIST (CO-ORDINATION)
SAD(M),SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)
KCM,KERALA CONGRESS (M)
MNF,MIZO NATIONAL FRONT
NPC,NAGALAND PEOPLES COUNCIL
PMK,PATTALI MAKKAL KATCHI
GNLF,GORKHA NATIONAL LIBERATION FRONT
AGP,ASOM GANA PARISAD
ADC,AUTONOMOUS STATE DEMAND COMMITTEE
JD(S),JANATA DAL  (SECULAR)
RPI(A),REPUBLICAN PARTY OF INDIA (A)
JD(G),JANATA DAL (GUJRAT)
HVP,HARYANA VIKAS PARTY
NPP,NAGALAND PEOPLES PARTY
SP,SAMAJWADI PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
CPI(ML)(L),COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)
SAP,SAMATA PARTY
IUML,INDIAN UNION MUSLIM LEAGUE
AIMIM,ALL INDIA MAJLIS-E-ITTEHADUL MUSLIMEEN
ASDC,AUTONOMOUS STATE DEMAND COMMITTEE
UMFA,"UNITED MINORITIES FRONT, ASSAM"
UGDP,UNITED GOANS DEMOCRATIC PARTY
KEC(M),KERALA CONGRESS  (M)
