pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEGJ000096,6,0,1985,KUSVAHA GIRIRAJKUMARI,,Gujarat,DABHOI,GEN,INC,,22713,F,1,1,FALSE,FALSE,48.06,3974,8.41,,,1,1
AEGJ000116,6,0,1985,MORI PRATAP SINGH,,Gujarat,KODINAR,GEN,JNP,,20762,M,2,1,FALSE,FALSE,37.95,14624,26.73,,,,1
AEGJ000127,6,0,1985,PATEL MANGUBHAI CHHAGANBHAI,,Gujarat,NAVSARI,ST,BJP,,10782,M,2,1,FALSE,FALSE,22.48,9442,19.69,,,,1
AEGJ000160,6,0,1985,MANHARLAL POPATLAL CHAVDA,,Gujarat,DEESA,GEN,DDP,,277,M,7,1,FALSE,FALSE,0.53,0,0,,,,1
AEGJ100179,6,1,1985,J.SINGH,,Gujarat,SAYAJIGANJ,GEN,IND,,31274,,1,1,FALSE,FALSE,48.61,8365,13,,,1,1
AEGJ100180,6,1,1985,P.C.SHIRISHBHAI,,Gujarat,SAYAJIGANJ,GEN,INC,,22909,,2,1,FALSE,FALSE,35.61,17727,27.56,,,,1
AEGJ100181,6,1,1985,P.R.HARIBHAI,,Gujarat,SAYAJIGANJ,GEN,JNP,,5182,,3,1,FALSE,FALSE,8.06,1980,3.08,,,,1
AEGJ100188,6,1,1987,R.M.CHHAGANSINH,,Gujarat,MODASA,GEN,INC,,23127,,1,1,FALSE,FALSE,43.29,8371,15.67,,,1,1
AEGJ100189,6,1,1987,P.D.SHANKARBHAI,,Gujarat,MODASA,GEN,JNP,,14756,,2,1,FALSE,FALSE,27.62,1921,3.6,,,,1
AEGJ100190,6,1,1987,P.N.DEVJIBHAI,,Gujarat,MODASA,GEN,BJP,,12835,,3,1,FALSE,FALSE,24.03,11530,21.58,,,,1
AEGJ100196,6,1,1988,V.R.NATHABHAI,,Gujarat,DWARKA,GEN,INC,,19847,,1,1,FALSE,FALSE,42.28,7607,16.21,,,1,1
AEGJ100197,6,1,1988,G.K.DEVA,,Gujarat,DWARKA,GEN,JNP,,12240,,2,1,FALSE,FALSE,26.08,2587,5.51,,,,1
AEGJ100208,6,1,1988,S.D.SAMANTBHAI,,Gujarat,MALIYA,GEN,BJP,,41503,,1,1,FALSE,FALSE,63.94,19805,30.51,,,1,1
AEGJ100209,6,1,1988,P.J.MALDEBHAI,,Gujarat,MALIYA,GEN,INC,,21698,,2,1,FALSE,FALSE,33.43,20581,31.71,,,,1
AEGJ100210,6,1,1988,S.M.BADHABHAI,,Gujarat,MALIYA,GEN,RPI,,1117,,3,1,FALSE,FALSE,1.72,781,1.2,,,,1
AEGJ1004,1,0,1962,PRABHATSINH JORSINH PARMAR,,Gujarat,SAVLI,GEN,PSP,,10762,M,2,4,FALSE,FALSE,27.18,2292,5.79,,,1,4
AEGJ1004,2,0,1967,P.J. PARMAR,,Gujarat,SAVLI,GEN,PSP,PSP,13276,M,2,4,FALSE,FALSE,32.29,2181,5.31,,,1,4
AEGJ1004,4,0,1975,PARMAR PRABHATSINH JORSINH,,Gujarat,SAVLI,GEN,INC,PSP,31636,M,1,4,TRUE,FALSE,52.69,20844,34.72,,,1,4
