Party,Expanded_Party_Name
SWA,SWATANTRA
INC,INDIA NATIONAL CONGRESS
NJP,NUTAN MAHA GUJARAT JANTA PARISHAD
PSP,PRAJA SOCIALIST PARTY
CPI,COMMUNIST PARTY OF INDIA
BJS,AKHIL BHARAT JANA SANGH
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
KLP,KISAN MAZDOOR LOK PAKSHA
BLD,BHARATIYA LOK DAL
RMP,RASHTRIYA MAJDOOR PAKSHA
SP,SAMAJWADI PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(JP),JANATA PARTY
BJP,BHARATIYA JANATA PARTY
JNP(SC),JANATA PARTY (SECULAR)- CH. CHARAN SINGH
JNP,JANATA PARTY
YVP,YUVA VIKAS PARTY
JD,JANATA DAL
AIRJP,ALL INDIA RASHTRIYA JANATA PARTY
NCP,NATIONAL CONGRESS PARTY
JD(U),JANATA DAL (UNITED)
BJNKP,BHARATIYA JANKRANTI PARTY
GPP,GUJARAT PARIVARTAN PARTY
BTP,BHARTIYA TRIBAL PARTY
