pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEHP1076,3,0,1972,SALIG RAM,,Himachal_Pradesh,JASWAN,GEN,INC,,5668,M,1,1,FALSE,FALSE,50.11,2224,19.66,,,1,1
AEHP1269,3,0,1972,KUNJ LAL,,Himachal_Pradesh,KULU,GEN,BJS,,4946,M,2,1,FALSE,FALSE,27.71,3277,18.36,,,,1
AEHP1271,3,0,1972,LAL CHAND PRARTHI,,Himachal_Pradesh,KULU,GEN,INC,,9116,M,1,1,FALSE,FALSE,51.08,4170,23.37,,,1,1
AEHP1608,3,0,1972,DHARAM SINGH,,Himachal_Pradesh,MEWA,SC,INC,,7173,M,1,1,FALSE,FALSE,52.93,3069,22.65,,,1,1
AEHP1870,3,0,1972,PRAKASH CHAND,,Himachal_Pradesh,JASWAN,GEN,IND,,357,M,5,1,FALSE,FALSE,3.16,86,0.76,,,,1
AEHP195,2,0,1967,D.DASS,,Himachal_Pradesh,GANGATH,SC,SWA,,2821,M,2,3,FALSE,FALSE,23.37,659,5.46,,,,2
AEHP195,3,0,1972,DURGA DASS,,Himachal_Pradesh,GEHARWIN,SC,BJS,SWA,292,M,3,3,TRUE,FALSE,3.1,0,0,,,,2
AEHP195,3,0,1972,DURGA DASS,,Himachal_Pradesh,GANGATH,SC,BJS,BJS,1361,M,3,3,FALSE,FALSE,9.99,1252,9.19,,,,2
AEHP2086,3,0,1972,KHUSHI RAM,,Himachal_Pradesh,GAGRET,SC,IND,,265,M,5,1,FALSE,FALSE,1.86,0,0,,,,1
AEHP2315,3,0,1972,KEWAL SINGH,,Himachal_Pradesh,NURPUR,GEN,IND,,7079,M,1,1,FALSE,FALSE,49.8,1130,7.95,,,1,1
AEHP240,2,0,1967,L.DATT,,Himachal_Pradesh,SUNDERNAGAR,GEN,INC,,4660,M,1,2,FALSE,FALSE,42.1,695,6.28,,,1,2
AEHP240,3,0,1972,LACHMI DATT,,Himachal_Pradesh,SUNDERNAGAR,GEN,INC,INC,5286,M,2,2,FALSE,TRUE,24.56,1445,6.71,,,1,2
AEHP246,2,0,1967,H.SINGH,,Himachal_Pradesh,GOPALPUR,GEN,IND,,6206,M,1,2,FALSE,FALSE,50.68,1243,10.15,,,1,2
AEHP246,3,0,1972,HARI SINGH,,Himachal_Pradesh,GOPALPUR,GEN,INC,IND,4435,M,2,2,FALSE,TRUE,30.54,3678,25.32,,,1,2
AEHP2599,3,0,1972,BACHITTAR SIGH,,Himachal_Pradesh,GEHARWIN,SC,LRP,,4132,M,2,2,FALSE,FALSE,43.87,3840,40.77,,,,1
AEHP2599,3,0,1972,BACHITER SINGH,,Himachal_Pradesh,GOPALPUR,GEN,IND,LRP,88,M,5,2,FALSE,FALSE,0.61,0,0,,,,1
AEHP270,3,0,1972,THAKUR SEN NEGI,,Himachal_Pradesh,KINNAUR,ST,LRP,,12896,M,1,1,FALSE,FALSE,71.42,7735,42.84,,,1,1
AEHP271,3,0,1972,GYAN SINGH,,Himachal_Pradesh,KINNAUR,ST,INC,,5161,M,2,1,FALSE,FALSE,28.58,0,0,,,,1
AEHP272,3,0,1972,NEK RAM NEGI,,Himachal_Pradesh,RAMPUR,SC,INC,,7980,M,1,1,FALSE,FALSE,73.22,6827,62.64,,,1,1
AEHP2721,3,0,1972,DHARAM CHAND,,Himachal_Pradesh,CHAUNTRA,SC,IND,,1108,M,2,1,FALSE,FALSE,12.92,498,5.8,,,,1
AEHP273,3,0,1972,BASANT RAM,,Himachal_Pradesh,RAMPUR,SC,NCO,,1153,M,2,1,FALSE,FALSE,10.58,120,1.1,,,,1
AEHP274,3,0,1972,NINZOO RAM,,Himachal_Pradesh,RAMPUR,SC,LRP,,1033,M,3,1,FALSE,FALSE,9.48,301,2.76,,,,1
AEHP275,3,0,1972,SAILOO,,Himachal_Pradesh,RAMPUR,SC,IND,,732,M,4,1,FALSE,FALSE,6.72,0,0,,,,1
AEHP276,3,0,1972,AMRIT SINGH RATHORE,,Himachal_Pradesh,ROHRU,GEN,INC,,4588,M,1,1,FALSE,FALSE,45.33,552,5.45,,,1,1
AEHP277,3,0,1972,SATYA DEV BUSHAHRI,,Himachal_Pradesh,ROHRU,GEN,NCO,,4036,M,2,1,FALSE,FALSE,39.88,2539,25.09,,,,1
AEHP278,3,0,1972,BALBIR SINGH DHAWAN,,Himachal_Pradesh,ROHRU,GEN,IND,,1497,M,3,1,FALSE,FALSE,14.79,0,0,,,,1
AEHP279,3,0,1972,RAM LAL,,Himachal_Pradesh,JUBBAL KOTKHAI,GEN,INC,,15201,M,1,1,FALSE,FALSE,93.83,14441,89.14,,,1,1
AEHP280,3,0,1972,PREM SINGH MEHTA,,Himachal_Pradesh,JUBBAL KOTKHAI,GEN,BJS,,760,M,2,1,FALSE,FALSE,4.69,520,3.21,,,,1
AEHP281,3,0,1972,PADAM SINGH JHINA,,Himachal_Pradesh,JUBBAL KOTKHAI,GEN,IND,,240,M,3,1,FALSE,FALSE,1.48,0,0,,,,1
AEHP282,3,0,1972,KEWAL RAM CHAUHAN,,Himachal_Pradesh,CHOPAL,GEN,INC,,8717,M,1,1,FALSE,FALSE,82.56,7682,72.75,,,1,1
AEHP283,3,0,1972,SHYAM SINGH,,Himachal_Pradesh,CHOPAL,GEN,IND,,1035,M,2,1,FALSE,FALSE,9.8,228,2.16,,,,1
AEHP286,3,0,1972,BELI RAM BHALAIK,,Himachal_Pradesh,KUMARSAIN,GEN,INC,,7218,M,2,1,FALSE,FALSE,49.18,7094,48.33,,,,1
AEHP288,3,0,1972,LAL CHAND STOKES,,Himachal_Pradesh,THEOG,GEN,INC,,7003,M,1,1,FALSE,FALSE,49.86,2773,19.75,,,1,1
AEHP289,3,0,1972,MEHER SINGH CHAUHAN,,Himachal_Pradesh,THEOG,GEN,IND,,4230,M,2,1,FALSE,FALSE,30.12,1566,11.15,,,,1
AEHP290,3,0,1972,TARA DUTT,,Himachal_Pradesh,THEOG,GEN,IND,,2664,M,3,1,FALSE,FALSE,18.97,2517,17.92,,,,1
AEHP292,3,0,1972,SHONKIA RAM KASHYAP,,Himachal_Pradesh,KASUMPTI,SC,INC,,7437,M,1,1,FALSE,FALSE,78.43,6007,63.35,,,1,1
AEHP293,3,0,1972,PHULMA DEVI,,Himachal_Pradesh,KASUMPTI,SC,BJS,,1430,F,2,1,FALSE,FALSE,15.08,964,10.17,,,,1
AEHP294,3,0,1972,HERU RAM,,Himachal_Pradesh,KASUMPTI,SC,IND,,466,M,3,1,FALSE,FALSE,4.91,317,3.34,,,,1
AEHP295,3,0,1972,PURAN CHAND,,Himachal_Pradesh,KASUMPTI,SC,NCO,,149,M,4,1,FALSE,FALSE,1.57,0,0,,,,1
AEHP296,3,0,1972,HIRA SINGH PAL,,Himachal_Pradesh,ARKI,GEN,LRP,,3876,M,1,1,FALSE,FALSE,33.06,610,5.2,,,1,1
AEHP297,3,0,1972,BALI RAM THAKUR,,Himachal_Pradesh,ARKI,GEN,INC,,3266,M,2,1,FALSE,FALSE,27.86,1067,9.1,,,,1
AEHP299,3,0,1972,KAMESHWAR PANDIT,,Himachal_Pradesh,ARKI,GEN,CPI,,1777,M,4,1,FALSE,FALSE,15.16,1171,9.99,,,,1
AEHP300,3,0,1972,KARAM CHAND,,Himachal_Pradesh,ARKI,GEN,IND,,606,M,5,3,FALSE,FALSE,5.17,0,0,,,,1
AEHP300,3,0,1972,KARM CHAND,,Himachal_Pradesh,DHARAMSALA,GEN,IND,IND,147,M,8,3,FALSE,FALSE,1.44,0,0,,,,1
AEHP300,3,0,1972,KARM CHAND,,Himachal_Pradesh,BAIJNATH,GEN,IND,IND,174,M,4,3,FALSE,FALSE,1.57,0,0,,,,1
AEHP300473,3,0,1972,DALIP SINGH,,Himachal_Pradesh,GARLI,SC,INC,,4033,M,1,1,FALSE,FALSE,36.09,263,2.35,,,1,1
AEHP300705,3,0,1972,HARI DASS,,Himachal_Pradesh,ARKI,GEN,NCO,,2199,M,3,1,FALSE,FALSE,18.76,422,3.6,,,,1
AEHP300706,3,0,1972,HARI DASS,,Himachal_Pradesh,DOON,GEN,NCO,,1728,M,3,1,FALSE,FALSE,10.64,213,1.31,,,,1
AEHP300936,3,0,1972,KISHORI LAL,,Himachal_Pradesh,CHAMBA,GEN,BJS,,7314,M,1,1,FALSE,FALSE,44.42,244,1.48,,,1,1
AEHP300938,3,0,1972,KISHORI LAL,,Himachal_Pradesh,KUMARSAIN,GEN,CPI,,124,M,3,1,FALSE,FALSE,0.84,0,0,,,,1
AEHP301228,3,0,1972,NAWAL THAKUR,,Himachal_Pradesh,KULU,GEN,IND,,1669,M,3,1,FALSE,FALSE,9.35,446,2.5,,,,1
AEHP301397,3,0,1972,RADHA RAMAN SHASTRI,,Himachal_Pradesh,CHOPAL,GEN,IND,,807,M,3,1,FALSE,FALSE,7.64,0,0,,,,1
AEHP301494,3,0,1972,RAM CHAND,,Himachal_Pradesh,BHARMOUR,ST,LRP,,1138,M,2,1,FALSE,FALSE,11.35,804,8.02,,,,1
AEHP301595,3,0,1972,RANJIT SINGH,,Himachal_Pradesh,KUTLEHAR,GEN,LRP,,6493,M,2,1,FALSE,FALSE,37.66,0,0,,,,1
AEHP301804,3,0,1972,SITA RAM,,Himachal_Pradesh,GHUMARWIN,GEN,INC,,8370,M,1,1,FALSE,FALSE,65.44,5103,39.9,,,1,1
AEHP302,3,0,1972,DAROPTI DEVI,,Himachal_Pradesh,SOLAN,SC,INC,,4105,F,2,1,FALSE,FALSE,38.72,3240,30.56,,,,1
AEHP303,3,0,1972,ITWARI LAL,,Himachal_Pradesh,SOLAN,SC,BJS,,865,M,3,1,FALSE,FALSE,8.16,482,4.55,,,,1
AEHP304,3,0,1972,KISHAN DASS,,Himachal_Pradesh,SOLAN,SC,IND,,383,M,4,1,FALSE,FALSE,3.61,223,2.1,,,,1
AEHP307,3,0,1972,LAXAMAN SINGH,,Himachal_Pradesh,DOON,GEN,IND,,3597,M,2,1,FALSE,FALSE,22.15,1869,11.51,,,,1
AEHP309,3,0,1972,RAM PARTAP CHANDEL,,Himachal_Pradesh,DOON,GEN,IND,,1515,M,4,1,FALSE,FALSE,9.33,1084,6.68,,,,1
AEHP310,3,0,1972,SARBAN SINGH,,Himachal_Pradesh,DOON,GEN,BJS,,431,M,5,1,FALSE,FALSE,2.65,0,0,,,,1
