pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEHR100212,1,1,1967,HARI SINGH,,Haryana,BAHADURGARH,GEN,INC,,15401,M,2,3,FALSE,FALSE,33.82,14439,31.71,,,1,3
AEHR100212,2,0,1968,HARI SINGH,,Haryana,HANSI,GEN,INC,INC,13608,M,1,3,FALSE,FALSE,46.28,4245,14.44,,,1,3
AEHR100212,3,0,1972,HARI SINGH,,Haryana,HANSI,GEN,INC,INC,11143,M,2,3,FALSE,TRUE,27.61,3074,7.62,,,1,3
AEHR1005,3,0,1972,CHIMAN LAL,,Haryana,PEHOWA,GEN,BJS,,6375,M,3,1,FALSE,FALSE,13.03,2360,4.82,,,,1
AEHR1009,3,0,1972,BHAGAT RAM S/O HANSA,,Haryana,KALAYAT,SC,NCO,,17032,M,1,1,FALSE,FALSE,44.22,1220,3.17,,,1,1
AEHR1010,3,0,1972,BHAGAT RAM S/O JAMNI,,Haryana,KALAYAT,SC,INC,,15812,M,2,1,FALSE,FALSE,41.06,12416,32.24,,,,1
AEHR1012,3,0,1972,MAN SINGH,,Haryana,KALAYAT,SC,CPI,,2097,M,4,1,FALSE,FALSE,5.44,1921,4.99,,,,1
AEHR1014,3,0,1972,GAURI SHANKAR,,Haryana,NARWANA,GEN,NCO,,17482,M,1,1,FALSE,FALSE,36.16,1749,3.62,,,1,1
AEHR1015,3,0,1972,TEK CHAND,,Haryana,NARWANA,GEN,BAS,,15733,M,2,1,FALSE,FALSE,32.54,4647,9.61,,,,1
AEHR1016,3,0,1972,BRINDER SINGH,,Haryana,NARWANA,GEN,INC,,11086,M,3,1,FALSE,FALSE,22.93,9119,18.86,,,,1
AEHR1017,3,0,1972,SURENDER NATH,,Haryana,NARWANA,GEN,CPI,,1967,M,4,1,FALSE,FALSE,4.07,828,1.71,,,,1
AEHR1019,3,0,1972,RATTI RAM,,Haryana,NARWANA,GEN,RPI,,603,M,6,1,FALSE,FALSE,1.25,270,0.56,,,,1
AEHR1024,3,0,1972,TILAK RAJ,,Haryana,JIND,GEN,SOP,,185,M,4,1,FALSE,FALSE,0.36,0,0,,,,1
AEHR1025,3,0,1972,FATEH SINGH,,Haryana,JULANA,GEN,INC,,30033,M,1,1,FALSE,FALSE,65.54,14245,31.09,,,1,1
AEHR1026,3,0,1972,RAM SINGH,,Haryana,JULANA,GEN,NCO,,15788,M,2,1,FALSE,FALSE,34.46,0,0,,,,1
AEHR1027,3,0,1972,DHAJA RAM,,Haryana,SAFIDON,GEN,INC,,19570,M,1,1,FALSE,FALSE,45.86,108,0.25,,,1,1
AEHR1031,3,0,1972,LAXMI DATT,,Haryana,SAFIDON,GEN,SOP,,628,M,5,1,FALSE,FALSE,1.47,0,0,,,,1
AEHR1032,3,0,1972,UMED,,Haryana,MEHAM,GEN,IND,,19654,M,1,1,FALSE,FALSE,44.94,612,1.4,,,1,1
AEHR104,1,0,1967,R. SINGH,,Haryana,RAJAUND,SC,INC,,16992,M,1,3,FALSE,FALSE,41.81,6060,14.91,,,2,3
AEHR104,2,0,1968,RAJ SINGH,,Haryana,MEHAM,GEN,INC,INC,16479,M,1,3,FALSE,TRUE,48.95,226,0.67,,,2,3
AEHR104,3,0,1972,RAJ SINGH,,Haryana,MEHAM,GEN,INC,INC,19042,M,2,3,FALSE,TRUE,43.54,14496,33.15,,,2,3
