Party,Expanded_Party_Name
IND,INDEPENDENTS
INC,INDIAN NATIONAL CONGRESS
BJS,BHARATIYA JAN SANGH
RPI,REPUBLIC PARTY OF INDIA
SWA,SWATANTRA PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
VHP,VISHAL HARYANA PARTY
BKD,BHARATIYA KRANTI DAL
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
BAS,AKHIL BHARTIYA ARYA SABHA
JNP,JANATA PARTY
LKD,LOK DAL
BJP,BHARATIYA JANATA PARTY
HVP,HARYANA VIKAS PARTY
JP,JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
JD,JANATA DAL
SAP,SOCIAL ACTION PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
INLD,INDIAN NATIONAL LOK DAL
NCP,NATIONALIST CONGRESS PARTY
HJCBL,HARYANA JANHIT CONGRESS (BL)
SAD,SHIROMANI AKALI DAL
HALP,HARYANA LOKHIT PARTY
JNJP,JANNAYAK JANTA PARTY
