pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEBH104264,1,0,2005,LALCHAND MAHTO,GEN,Jharkhand,DUMRI,GEN,RJD,,23774,M,2,4,FALSE,FALSE,23.58,6803,6.75,45,,,4
AEBH104264,2,0,2009,LALCHAND MAHTO,GEN,Jharkhand,DUMRI,GEN,IND,RJD,19084,M,3,4,FALSE,FALSE,19.26,15184,15.32,55,,,4
AEBH104264,3,0,2014,LALCHAND MAHTO,GEN,Jharkhand,DUMRI,GEN,BJP,IND,45503,M,2,4,FALSE,FALSE,26.29,28773,16.62,62,,,4
AEBH104264,4,0,2019,LALCHAND MAHTO,GEN,Jharkhand,DUMRI,GEN,JD(U),BJP,5219,M,5,4,TRUE,FALSE,2.74,2328,1.22,64,,,4
AEBH104979,4,0,2019,Ketabuddin Sekh,GEN,Jharkhand,RAJMAHAL,GEN,JMM,,24619,M,3,1,FALSE,FALSE,11.7,20793,9.88,36,,,1
AEBH104980,4,0,2019,Pradip Kumar Singh,GEN,Jharkhand,RAJMAHAL,GEN,BSP,,3826,M,4,1,FALSE,FALSE,1.82,1209,0.57,43,,,1
AEBH104981,4,0,2019,Gopal Chandra Mandal,GEN,Jharkhand,RAJMAHAL,GEN,IND,,2617,M,5,1,FALSE,FALSE,1.24,3,0,53,,,1
AEBH104982,4,0,2019,Nitya Nand Gupta,GEN,Jharkhand,RAJMAHAL,GEN,IND,,2614,M,6,1,FALSE,FALSE,1.24,1193,0.57,39,,,1
AEBH104983,4,0,2019,Rajkishor Yadav,GEN,Jharkhand,RAJMAHAL,GEN,IND,,1421,M,7,1,FALSE,FALSE,0.68,73,0.03,46,,,1
AEBH104984,4,0,2019,Pranjit Kumar,GEN,Jharkhand,RAJMAHAL,GEN,IND,,1348,M,8,1,FALSE,FALSE,0.64,447,0.21,52,,,1
AEBH104985,4,0,2019,Ravindra Prasad Sah,GEN,Jharkhand,RAJMAHAL,GEN,IND,,901,M,9,1,FALSE,FALSE,0.43,39,0.02,40,,,1
AEBH104986,4,0,2019,NASIMA KHANAM,GEN,Jharkhand,RAJMAHAL,GEN,AIMIM,,862,F,10,1,FALSE,FALSE,0.41,41,0.02,44,,,1
AEBH104987,4,0,2019,Nand Lal Sah,GEN,Jharkhand,RAJMAHAL,GEN,IND,,809,M,12,1,FALSE,FALSE,0.38,210,0.1,50,,,1
AEBH104988,4,0,2019,Col. Bhagwan Yadav,GEN,Jharkhand,RAJMAHAL,GEN,RPPRINAT,,599,M,13,1,FALSE,FALSE,0.28,5,0,64,,,1
AEBH104989,4,0,2019,Rajkumar Yadav,GEN,Jharkhand,RAJMAHAL,GEN,JVM,,594,M,14,1,FALSE,FALSE,0.28,17,0.01,48,,,1
AEBH104990,4,0,2019,Ajay Kuamr Das,GEN,Jharkhand,RAJMAHAL,GEN,IND,,577,M,15,1,FALSE,FALSE,0.27,23,0.01,35,,,1
AEBH104991,4,0,2019,Sheo Prasad Thakur,GEN,Jharkhand,RAJMAHAL,GEN,IND,,554,M,16,1,FALSE,FALSE,0.26,2,0,77,,,1
AEBH104992,4,0,2019,Ramsagar Singh,GEN,Jharkhand,RAJMAHAL,GEN,RJBP,,552,M,17,1,FALSE,FALSE,0.26,32,0.02,52,,,1
AEBH104993,4,0,2019,Sanjay Kumar Mandal(Bachu),GEN,Jharkhand,RAJMAHAL,GEN,LJP,,520,M,18,1,FALSE,FALSE,0.25,113,0.05,46,,,1
AEBH104994,4,0,2019,Rameshwar Mandal,GEN,Jharkhand,RAJMAHAL,GEN,PPID,,407,M,19,1,FALSE,FALSE,0.19,73,0.03,62,,,1
AEBH104995,4,0,2019,Sanjay Kr. Pandey,GEN,Jharkhand,RAJMAHAL,GEN,SHS,,334,M,20,1,FALSE,FALSE,0.16,28,0.01,54,,,1
AEBH104996,4,0,2019,Binod Kumar Yadav,GEN,Jharkhand,RAJMAHAL,GEN,IND,,306,M,21,1,FALSE,FALSE,0.15,44,0.02,41,,,1
AEBH104997,4,0,2019,Saddam Hussain Advocate,GEN,Jharkhand,RAJMAHAL,GEN,IND,,262,M,22,1,FALSE,FALSE,0.12,42,0.02,27,,,1
AEBH104998,4,0,2019,Rajesh Mandal,GEN,Jharkhand,RAJMAHAL,GEN,IND,,220,M,23,1,FALSE,FALSE,0.1,25,0.01,34,,,1
AEBH104999,4,0,2019,Md Nawab Sheakh,GEN,Jharkhand,RAJMAHAL,GEN,RKSP,,195,M,24,1,FALSE,FALSE,0.09,0,0,47,,,1
AEBH105000,4,0,2019,Lukas Hansda,ST,Jharkhand,BORIO,ST,JD(U),,2181,M,6,1,FALSE,FALSE,1.34,221,0.14,47,,,1
AEBH105001,4,0,2019,Lakhan Pahadiya,ST,Jharkhand,BORIO,ST,BSP,,1960,M,7,1,FALSE,FALSE,1.2,376,0.23,30,,,1
AEBH105002,4,0,2019,Manoj Tudu,ST,Jharkhand,BORIO,ST,PPID,,1584,M,8,1,FALSE,FALSE,0.97,149,0.09,34,,,1
AEBH105003,4,0,2019,Tala Hansda,ST,Jharkhand,BORIO,ST,IND,,1435,M,9,1,FALSE,FALSE,0.88,80,0.05,45,,,1
AEBH105004,4,0,2019,Babu Ram Murmu,ST,Jharkhand,BORIO,ST,JVM,,1355,M,10,1,FALSE,FALSE,0.83,147,0.09,67,,,1
AEBH105005,4,0,2019,Paulus Murmu,ST,Jharkhand,BORIO,ST,IND,,1208,M,11,1,FALSE,FALSE,0.74,9,0.01,41,,,1
