Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
BJP,BHARATIYA JANATA PARTY
RJD,RASHTRIYA JANATA DAL
NCP,NATIONALIST CONGRESS PARTY
AJSU,ALL JHARKHAND STUDENTS UNION
BSP,BAHUJAN SAMAJ PARTY
JMM,JHARKHAND MUKTI MORCHA
CPI,COMMUNIST PARTY OF INDIA
JD(U),JANATA DAL (UNITED)
CPI(ML)(L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
UGDP,UNITED GOANS DEMOCRATIC PARTY
AIFB,ALL INDIA FORWARD BLOC
JKP,JHARKHAND PARTY
MCO,MARXIST CO-ORDINATION
JP,JANATA PARTY
AJSUP,AJSU PARTY
JVM,JHARKHAND VIKAS MORCHA (PRAJATANTRIK)
NSAM,NAVJAWAN SANGHARSH MORCHA
JHJAM,JHARKHAND JANADIKHAR MANCH
JBSP,JAI BHARAT SAMANTA PARTY
RAKAP,RASHTRIYA KALYAN PAKSHA
CPI(M (L)L),COMMUNIST PARTY OF INDIA (MARXIST-LENINIST) (LIBERATION)
