pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEJK104548,2,0,1967,M. M. SYEED,,Jammu_&_Kashmir,BIJIBEHARA,GEN,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEJK104791,1,0,1962,SHAIK MOHAMMAD ABDULLAH,,Jammu_&_Kashmir,ZADIBAL,GEN,NC,,14093,M,1,2,FALSE,FALSE,83.76,11361,67.52,,,2,2
AEJK104791,2,0,1967,S. ABDULLAH,,Jammu_&_Kashmir,ZADIBAL,GEN,JKN,NC,3599,M,1,2,TRUE,TRUE,52.1,1625,23.52,,,2,2
AEJK105495,2,0,1967,M. YOUNAS,,Jammu_&_Kashmir,KARNAH,GEN,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEJK105496,2,0,1967,M. S. TANTRAY,,Jammu_&_Kashmir,KUPWARA,GEN,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEJK105499,2,0,1967,A. K. KHAN,,Jammu_&_Kashmir,BANDIPORA,GEN,JKN,,8288,M,2,1,FALSE,FALSE,37.36,7124,32.11,,,,1
AEJK105501,2,0,1967,A. G. LONE,,Jammu_&_Kashmir,HANDWARA,GEN,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEJK105502,2,0,1967,A. G. MIR,,Jammu_&_Kashmir,HARLI,GEN,INC,,11226,M,1,1,FALSE,FALSE,67.42,5801,34.84,,,1,1
AEJK105503,2,0,1967,G. RASOOL,,Jammu_&_Kashmir,HARLI,GEN,IND,,5425,M,2,1,FALSE,FALSE,32.58,0,0,,,,1
AEJK105504,2,0,1967,G. R. KAR,,Jammu_&_Kashmir,REFIABAD,GEN,INC,,8951,M,1,1,FALSE,FALSE,57.85,2430,15.71,,,1,1
AEJK105505,2,0,1967,J. SINGH,,Jammu_&_Kashmir,REFIABAD,GEN,JKN,,6521,M,2,1,FALSE,FALSE,42.15,0,0,,,,1
AEJK105506,2,0,1967,SHAMAS-UD-DIN,,Jammu_&_Kashmir,BARAMULLA,GEN,JKN,,9180,M,1,1,FALSE,FALSE,58.28,2608,16.56,,,1,1
AEJK105507,2,0,1967,H. SINGH,,Jammu_&_Kashmir,BARAMULLA,GEN,INC,,6572,M,2,1,FALSE,FALSE,41.72,0,0,,,,1
