Party,Expanded_Party_Name
JKPDP,JAMMU & KASHMIR PEOPLES DEMOCRATIC PARTY
JKN,JAMMU & KASHMIR NATIONAL CONFERENCE
INC,INDIAN NATIONAL CONGRESS
JPC,JAMMU & KASHMIR PEOPLE CONFERENCE
BJP,BHARATIYA JANATA PARTY
JKNPP,JAMMU & KASHMIR NATIONAL PANTHERS PARTY
IND,INDEPENDENT
BSP,BAHUJAN SAMAJ PARTY
JKDPN,JAMMU & KASHMIR DEMOCRATIC PARTY NATIONALIST
JKPDF,JAMMU & KASHMIR PEOPLE DEMOCRATIC FRONT(SECULAR)
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
PDF,PEOPLE'S DEMOCRATIC FRONT
JKAL,JAMMU AND KASHMIR AWAMI LEAGUE
PDP,PEOPLES DEMOCRATIC PARTY
DM,DEMOCRATIC MOVEMENT
JD,JANATA DAL
JPP,JAMMU & KASHMIR PANTHERS PARTY
AIIC(T),ALL INDIA INDIRA CONGRESS (TIWARI)
JKP,JAMMU & KASHMIR PEOPLES CONFERENCE
JNP,JANATA PARTY
JMI,JAMAIT-I-ISLAMI
BJS,BHARATIYA JAN SANGH
NC,NATIONAL CONFERENCE
PP,PRAJA PARISHAD
