pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEKA1002,5,0,1994,SHIVALINGAPPA PATIL NARIBOL,,Karnataka,JEWARGI,KCP,,26785,M,2,1,FALSE,FALSE,35.53,18995,25.2,,,,1
AEKA1026,5,0,1994,SHARANABASSAPPA DARSHANAPUR,,Karnataka,SHAHAPUR,JD,,40984,M,1,1,FALSE,FALSE,46.42,13826,15.66,,,1,1
AEKA1035,3,0,1985,A. B. MALAKA REDDY,,Karnataka,YADGIR,INC,,24374,M,2,3,FALSE,FALSE,43.86,23247,41.83,,,2,3
AEKA1035,4,0,1989,MALAKREDDY LAXMANREDDY,,Karnataka,YADGIR,INC,INC,36053,M,1,3,FALSE,FALSE,59.65,19815,32.79,,,2,3
AEKA1035,5,0,1994,MALAKARADDY LAKSHMAREDDY,,Karnataka,YADGIR,INC,INC,26359,M,1,3,FALSE,TRUE,38.74,6724,9.88,,,2,3
AEKA1045,4,0,1989,BABU RAO CHINCHANSUR,,Karnataka,CHITAPUR,INC,,30786,M,1,2,FALSE,FALSE,50.38,11069,18.12,,,2,2
AEKA1045,5,0,1994,BABURAO B. CHINCHANSUR,,Karnataka,CHITAPUR,INC,INC,25355,M,1,2,FALSE,TRUE,36.32,826,1.18,,,2,2
AEKA105788,1,0,1978,G. SHANKARA GOUD,,Karnataka,HOSPET,JNP,,26754,M,2,4,FALSE,FALSE,41.39,25397,39.29,,,2,4
AEKA105788,2,0,1983,G. SHANKAR GOUD,,Karnataka,HOSPET,INC,JNP,29572,M,1,4,TRUE,FALSE,42.88,9191,13.33,,,2,4
AEKA105788,3,0,1985,G. SHANKAR GOUD,,Karnataka,HOSPET,INC,INC,27452,M,2,4,FALSE,TRUE,37.49,0,0,,,2,4
AEKA105788,5,0,1994,G. SHANK ARGOUD,,Karnataka,HOSPET,BJP,INC,48249,M,1,4,TRUE,FALSE,48.06,18261,18.19,,,2,4
AEKA105804,1,0,1978,NAGAMMA C. KESHAVAMURTY,,Karnataka,MAYAKONDA,INC(I),,28277,F,1,4,FALSE,FALSE,47.04,5721,9.52,,,2,4
AEKA105804,2,0,1983,NAGAMMA C. KESHAVAMURTHY,,Karnataka,DAVANGERE,INC,INC(I),14555,F,3,4,TRUE,TRUE,19.22,8760,11.57,,,2,4
AEKA105804,4,0,1989,NAGAMMA KESHAVAMURTHY,,Karnataka,MAYAKONDA,INC,INC,31869,F,1,4,FALSE,FALSE,36.72,10728,12.36,,,2,4
AEKA105804,5,0,1994,C. NAGAMMA KESHAVAMURTHY,,Karnataka,MAYAKONDA,INC,INC,22799,F,2,4,FALSE,TRUE,22.83,5814,5.82,,,2,4
AEKA105817,1,0,1978,G.H. ASWATHA REDDY,,Karnataka,JAGALUR,JNP,,23555,M,1,5,FALSE,FALSE,40.12,59,0.1,,,4,5
AEKA105817,2,0,1983,G. H. ASWATHA REDDY,,Karnataka,JAGALUR,INC,JNP,37998,M,1,5,TRUE,TRUE,58.72,13166,20.35,,,4,5
AEKA105817,3,0,1985,G. H. ASWATHREDDY,,Karnataka,JAGALUR,INC,INC,35365,M,1,5,FALSE,TRUE,49.58,1616,2.27,,,4,5
