Party,Expanded_Party_Name
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP,JANATA PARTY
INC,INDIAN NATIONAL CONGRESS
CPI,COMMUNIST PARTY OF INDIA
RPI,REPUBLICAN PARTY OF INDIA
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
MUL,MUSLIM LEAGUE
BJP,BHARATIYA JANATA PARTY
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
JD,JANATA DAL
JNP(JP),JANATA PARTY (JP)
KRS,KARNATAKA RAJYA RYOTA SANGHA
BRP,BHARATIYA RASHTRIYA PARTY
BSP,BAHUJAN SAMAJ PARTY
KCP,KANNADA CHALAVALI VATAL PAKSHA
KCVP,KANNADA CHALAVALI VATAL PAKSHA
KRRS,KARNATAKA RAJYA RYOTA SANGHA
SP,SAMAJWADI PARTY
INL,INDIAN NATIONAL LEAGUE
JD(S),JANATA DAL (SECULAR)
JD(U),JANATA DAL (UNITED)
KNDP,KANNADA NADU PARTY
SKP,SARVODAYA KARNATAKA PAKSHA
KJP,KARNATAKA JANTHA PAKSHA
BSRCP,BADAVARA SHRAMIKARA RAITARA
KMP,KARNATAKA MAKKALA PAKSHA
KPJP,KARNATAKA PRAGNYAVANTHA JANATHA PARTY
