pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEKL100250,15,0,2016,M.RAJAGOPALAN,GEN,Kerala,TRIKARIPUR,CPM,,79286,M,1,2,FALSE,FALSE,50.93,16959,10.89,55,,2,2
AEKL100250,16,0,2021,M RAJAGOPALAN,,Kerala,TRIKARIPUR,CPM,CPM,86151,M,1,2,FALSE,TRUE,53.71,26137,16.29,60,LDF,2,2
AEKL100313,15,0,2016,ADV. A N SHAMSEER,GEN,Kerala,THALASSERY,CPM,,70741,M,1,2,FALSE,FALSE,53.32,34117,25.72,39,,2,2
AEKL100313,16,0,2021,Adv. A. N. SHAMSEER,,Kerala,THALASSERY,CPM,CPM,81810,M,1,2,FALSE,TRUE,61.52,36801,27.67,44,LDF,2,2
AEKL100335,14,0,2011,ADV.SUNNY JOSEPH,GEN,Kerala,PERAVOOR,INC,,56151,M,1,3,FALSE,FALSE,48.07,3440,2.94,58,,3,3
AEKL100335,15,0,2016,ADV. SUNNY JOSEPH,GEN,Kerala,PERAVOOR,INC,INC,65659,M,1,3,FALSE,TRUE,48.1,7989,5.85,63,,3,3
AEKL100335,16,0,2021,Adv. Sunny Joseph,,Kerala,PERAVOOR,INC,INC,66706,M,1,3,FALSE,TRUE,46.93,3172,2.23,68,UDF,3,3
AEKL100346,15,0,2016,O R KELU,ST,Kerala,MANANTHAVADY,CPM,,62436,M,1,2,FALSE,FALSE,42.88,1307,0.9,46,,2,2
AEKL100346,16,0,2021,O.R.KELU,,Kerala,MANANTHAVADY,CPM,CPM,72536,M,1,2,FALSE,TRUE,47.54,9282,6.08,51,LDF,2,2
AEKL100347,14,0,2011,P.K.JAYALAKSHMI,ST,Kerala,MANANTHAVADY,INC,,62996,F,1,3,FALSE,FALSE,50.78,12734,10.27,28,,1,3
AEKL100347,15,0,2016,P K JAYALAKSHMI,ST,Kerala,MANANTHAVADY,INC,INC,61129,F,2,3,FALSE,TRUE,41.99,44899,30.84,35,,1,3
AEKL100347,16,0,2021,P.K.Jayalakshmi,,Kerala,MANANTHAVADY,INC,INC,63254,F,2,3,FALSE,FALSE,41.46,50112,32.84,40,UDF,1,3
AEKL100376,15,0,2016,MANAYATH CHANDRAN,GEN,Kerala,VADAKARA,JD(U),,39700,M,2,2,FALSE,FALSE,30.64,19196,14.81,60,,,2
AEKL100376,16,0,2021,MANAYATH CHANDRAN,,Kerala,VADAKARA,LJD,JD(U),57602,M,2,2,TRUE,FALSE,42.15,47377,34.66,65,LDF,,2
AEKL100386,15,0,2016,PARAKKAL ABDULLA,GEN,Kerala,KUTTIADI,IUML,,71809,M,1,2,FALSE,FALSE,45.5,1157,0.73,57,,1,2
AEKL100386,16,0,2021,PARAKKAL ABDULLA,,Kerala,KUTTIADI,IUML,IUML,79810,M,2,2,FALSE,TRUE,47.01,70671,41.63,61,UDF,1,2
AEKL100398,14,0,2011,E.K.VIJAYAN,GEN,Kerala,NADAPURAM,CPI,,72078,M,1,3,FALSE,FALSE,49.22,7546,5.15,58,,3,3
AEKL100398,15,0,2016,E. K. VIJAYAN,GEN,Kerala,NADAPURAM,CPI,CPI,74742,M,1,3,FALSE,TRUE,45.87,4759,2.92,63,,3,3
AEKL100398,16,0,2021,E. K. VIJAYAN,,Kerala,NADAPURAM,CPI,CPI,83293,M,1,3,FALSE,TRUE,47.46,4035,2.3,68,LDF,3,3
AEKL100408,15,0,2016,N.SUBRAMANIAN,GEN,Kerala,QUILANDY,INC,,57224,M,2,2,FALSE,FALSE,37.24,35137,22.87,59,,,2
AEKL100408,16,0,2021,N. Subramaniyan,,Kerala,QUILANDY,INC,INC,67156,M,2,2,FALSE,FALSE,41.43,49601,30.6,63,UDF,,2
AEKL100468,13,0,2006,ADVOCATE P T A RAHIM,GEN,Kerala,KODUVALLY,IND,,65302,M,1,4,FALSE,FALSE,48.07,7506,5.52,57,,4,4
AEKL100468,14,0,2011,ADV.P.T.A.RAHIM,GEN,Kerala,KUNNAMANGALAM,IND,IND,66169,M,1,4,FALSE,TRUE,44.06,3269,2.18,62,,4,4
AEKL100468,15,0,2016,ADV. P.T.A. RAHIM,GEN,Kerala,KUNNAMANGALAM,IND,IND,77410,M,1,4,FALSE,TRUE,42.92,11205,6.21,67,,4,4
AEKL100468,16,0,2021,ADV. P. T. A RAHIM,,Kerala,KUNNAMANGALAM,IND,IND,85138,M,1,4,FALSE,TRUE,43.93,10276,5.3,72,,4,4
AEKL100477,15,0,2016,KARAT RAZACK,GEN,Kerala,KODUVALLY,IND,,61033,M,1,2,FALSE,FALSE,44.42,573,0.42,51,,1,2
AEKL100477,16,0,2021,KARAT RAZACK,,Kerala,KODUVALLY,IND,IND,65992,M,2,2,FALSE,TRUE,43.66,56494,37.38,55,,1,2
AEKL100495,15,0,2016,T.V. IBRAHIM,GEN,Kerala,KONDOTTY,IUML,,69668,M,1,2,FALSE,FALSE,46.58,10654,7.12,50,,2,2
AEKL100495,16,0,2021,T V IBRAHIM,,Kerala,KONDOTTY,IUML,IUML,82759,M,1,2,FALSE,TRUE,50.42,17666,10.76,55,UDF,2,2
AEKL100505,14,0,2011,P.K.BASHEER,GEN,Kerala,ERANAD,MUL,,58698,M,1,3,FALSE,FALSE,51.29,11246,9.83,51,,3,3
AEKL100505,15,0,2016,P.K BASHEER,GEN,Kerala,ERANAD,IUML,MUL,69048,M,1,3,TRUE,TRUE,50.83,12893,9.49,55,,3,3
AEKL100505,16,0,2021,P.K. Basheer,,Kerala,ERANAD,IUML,IUML,78076,M,1,3,FALSE,TRUE,54.49,22546,15.74,61,UDF,3,3
