pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEKL105042,3,0,1965,BHASKARAN PILLAI,,Kerala,AROOR,KC,,10183,M,3,2,FALSE,FALSE,19.97,3639,7.14,,,1
AEKL105042,3,0,1965,BHASKARA PILLAI,,Kerala,ERAVIPURAM,IND,KC,672,M,5,2,FALSE,FALSE,1.29,0,0,,,1
AEKL105145,3,0,1965,E. CHANDRASEKHARAN NAIR,,Kerala,KOTTARAKARA,CPI,,19395,M,2,1,FALSE,FALSE,33.36,9343,16.07,,,1
AEKL105660,3,0,1965,K. KARUNAKARAN,,Kerala,MALA,CON,,18044,M,1,1,FALSE,FALSE,39.77,4762,10.5,,1,1
AEKL105826,3,0,1965,K. NARAYANA KURUP,,Kerala,VAZHOOR,KC,,20629,M,1,1,FALSE,FALSE,48.87,11018,26.1,,1,1
AEKL105837,3,0,1965,T. K. RAMAKRISHNAN,,Kerala,THRIPPUNITHURA,CPM,,24387,M,1,1,FALSE,FALSE,47.27,2371,4.6,,1,1
AEKL105888,3,0,1965,K. K. BALAKRISHNAN,,Kerala,CHELAKARA,CON,,17283,M,1,1,FALSE,FALSE,43.97,106,0.27,,1,1
AEKL106010,3,0,1965,R. BALAKRISHNA PILLAI,,Kerala,KOTTARAKARA,KC,,27534,M,1,1,FALSE,FALSE,47.35,8139,14,,1,1
AEKL106553,3,0,1965,V. V. RAGHAVAN,,Kerala,OLLUR,CPI,,6077,M,3,1,FALSE,FALSE,12,3267,6.45,,,1
AEKL106681,3,0,1965,SIVAN PILLAI,,Kerala,PURUR,CPI,,6480,M,3,2,FALSE,FALSE,13.99,5737,12.39,,,1
AEKL106681,3,0,1965,SIVAN PILLAI,,Kerala,VAZHOOR,CPM,CPI,2940,M,4,2,TRUE,FALSE,6.97,1998,4.73,,,1
AEKL107601,3,0,1965,K. AVUKADERKUTTY NAHA,,Kerala,TIRURANGADI,ML,,20836,M,1,1,FALSE,FALSE,41.23,1242,2.46,,1,1
AEKL108639,3,0,1965,JANARDHANAN NAIR,,Kerala,NEYYATHIKARA,CPI,,4343,M,4,1,FALSE,FALSE,9.21,0,0,,,1
AEKL108737,3,0,1965,K. V. SURENDRANATH,,Kerala,NEMON,CPI,,2881,M,4,1,FALSE,FALSE,7.18,1986,4.95,,,1
AEKL108831,3,0,1965,P. RAMUNNI KURUP,,Kerala,PERINGALAM,SSP,,34580,M,1,1,FALSE,FALSE,63.59,14783,27.19,,1,1
AEKL108837,3,0,1965,E.P. KRISHNAN NAMBIAR,,Kerala,IRIKKUR,CPM,,27284,M,1,1,FALSE,FALSE,57.33,10251,21.54,,1,1
AEKL108891,3,0,1965,T.P. KUNHALANKUTTY,,Kerala,TIRURANGADI,CON,,19594,M,2,1,FALSE,FALSE,38.77,9490,18.78,,,1
AEKL108909,3,0,1965,E.P. GOPALAN,,Kerala,SREEKRISHNAPURAM,CPI,,4581,M,3,1,FALSE,FALSE,14.39,3572,11.22,,,1
AEKL108935,3,0,1965,K. V. NARAYANAN,,Kerala,KUZNALMANNAM,CPI,,1872,M,3,1,FALSE,FALSE,5.01,0,0,,,1
AEKL108958,3,0,1965,K. P. PRABHAKARAN,,Kerala,MANALUR,CPI,,12703,M,3,1,FALSE,FALSE,23.57,9827,18.23,,,1
AEKL109104,3,0,1965,KURIAN VARKEY,,Kerala,KANJIRAPALLY,KC,,18206,M,1,1,FALSE,FALSE,37.55,738,1.52,,1,1
AEKL109406,3,0,1965,A.V. KUNHAMBU,,Kerala,PAYYANNUR,CPM,,29537,M,1,1,FALSE,FALSE,60.6,12475,25.59,,1,1
AEKL109422,3,0,1965,N.E. BALARAM,,Kerala,KUTHUPARAMBA,CPI,,3876,M,3,1,FALSE,FALSE,7.43,2513,4.82,,,1
AEKL109439,3,0,1965,M.K KELU,,Kerala,MEPPAYUR,CPM,,23998,M,1,1,FALSE,FALSE,45.04,8443,15.85,,1,1
AEKL109501,3,0,1965,E.T. KUNHAN,,Kerala,TRITHALA,CPM,,21815,M,1,1,FALSE,FALSE,56.99,6009,15.7,,1,1
AEKL109508,3,0,1965,P.P. KRISHNAN,,Kerala,OTAPALAM,CPM,,20802,M,1,1,FALSE,FALSE,52.31,8242,20.72,,1,1
AEKL109517,3,0,1965,R. KRISHNAN,,Kerala,ALATHUR,CPM,,26328,M,1,1,FALSE,FALSE,62.5,13856,32.89,,1,1
AEKL109611,3,0,1965,B. WELLINGDON,,Kerala,KALPETTA,IND,,17549,M,1,2,FALSE,FALSE,43.93,6362,15.93,,1,1
AEKL109611,3,0,1965,B. WELLINGTON,,Kerala,MANALUR,IND,IND,15310,M,2,2,FALSE,FALSE,28.41,2607,4.84,,1,1
AEKL109710,3,0,1965,O.V. LUKOSE,,Kerala,MADAYI,KC,,1073,M,4,1,FALSE,FALSE,2.03,0,0,,,1
AEKL109717,3,0,1965,C. G. SADASIVAN,,Kerala,AROOR,CPI,,6544,M,4,1,FALSE,FALSE,12.83,0,0,,,1
AEKL109748,3,0,1965,G. P. THAMPI,,Kerala,THIRUVALLA,CPI,,2398,M,4,1,FALSE,FALSE,4.61,0,0,,,1
AEKL109792,3,0,1965,V. BHARATHAN,,Kerala,PUNALOOR,CPM,,6252,M,4,1,FALSE,FALSE,13.55,0,0,,,1
AEKL109852,3,0,1965,P. K. CHATHAN,,Kerala,IRINJALAKUDA,CPI,,11104,M,3,1,FALSE,FALSE,21.9,4803,9.47,,,1
AEKL109898,3,0,1965,SATHYANESAN,,Kerala,NEYYATHIKARA,CPM,,15177,M,2,1,FALSE,FALSE,32.18,5538,11.74,,,1
AEKL110072,3,0,1965,T. K. KRISHNAN,,Kerala,KUNNAMKULAM,CPM,,26448,M,1,1,FALSE,FALSE,46.7,1094,1.93,,1,1
AEKL110095,3,0,1965,P. GANGADHARAN,,Kerala,PALLURUTHY,CPM,,22717,M,1,1,FALSE,FALSE,45.06,3566,7.07,,1,1
AEKL110112,3,0,1965,C. P. POULOSE,,Kerala,PERUMBAVOOR,KC,,12874,M,2,1,FALSE,FALSE,26.57,311,0.64,,,1
AEKL110113,3,0,1965,"M, K. KRISHNAN",,Kerala,KUNNATHUNAD,CPM,,20834,M,2,1,FALSE,FALSE,43.15,16018,33.17,,,1
AEKL110127,3,0,1965,M. M. THOMAS,,Kerala,KARIMANOOR,IND,,11650,M,2,1,FALSE,FALSE,30.64,2887,7.59,,,1
AEKL110131,3,0,1965,G. VARATHAN,,Kerala,DEVICOLAM,CPM,,16472,M,1,1,FALSE,FALSE,41.46,989,2.49,,1,1
AEKL110134,3,0,1965,K. T. JACOB,,Kerala,UDUMBANCHOLA,CPI,,17374,M,1,1,FALSE,FALSE,37.5,1747,3.77,,1,1
AEKL110138,3,0,1965,K. I. RAJAN,,Kerala,PERMADE,CPM,,12345,M,1,1,FALSE,FALSE,31.43,3510,8.94,,1,1
AEKL110150,3,0,1965,K. J. CHACKO,,Kerala,CHANGANACHERRY,KC,,21134,M,1,1,FALSE,FALSE,42.8,4241,8.59,,1,1
AEKL110153,3,0,1965,E. M. GEORGE,,Kerala,PUTHUPALLY,CPM,,15571,M,1,1,FALSE,FALSE,33.44,1835,3.94,,1,1
AEKL110156,3,0,1965,M. K. GEORGE,,Kerala,KOTTAYAM,CPM,,17880,M,1,1,FALSE,FALSE,37.83,3484,7.37,,1,1
AEKL110161,3,0,1965,M. M. JOSEPH,,Kerala,ETTUMANOOR,KC,,23400,M,1,1,FALSE,FALSE,46.37,8222,16.29,,1,1
AEKL110165,3,0,1965,J. A. CHACKO,,Kerala,AKALAKUNNAM,KC,,22913,M,1,1,FALSE,FALSE,52.45,9158,20.96,,1,1
AEKL110168,3,0,1965,K. M. GEORGE,,Kerala,KOTHAMANGALAM,KC,,18744,M,1,2,FALSE,FALSE,36.14,546,1.05,,1,1
AEKL110168,3,0,1965,K. M. GEORGE,,Kerala,KONNI,KC,KC,14972,M,2,2,FALSE,FALSE,30.73,93,0.19,,1,1
AEKL110171,3,0,1965,K. M. MANI,,Kerala,PALAI,KC,,25833,M,1,1,FALSE,FALSE,51.51,9585,19.11,,1,1
AEKL110178,3,0,1965,P. S. SRINIVASAN,,Kerala,VAIKOM,CPI,,14975,M,3,1,FALSE,FALSE,28.47,8481,16.12,,,1
AEKL110208,3,0,1965,E. J. JACOB,,Kerala,THIRUVALLA,KC,,27809,M,1,1,FALSE,FALSE,53.47,14910,28.67,,1,1
AEKL110209,3,0,1965,P. K. MATHEW,,Kerala,ARANMULA,SSP,,7098,M,3,1,FALSE,FALSE,14.72,5004,10.38,,,1
AEKL110239,3,0,1965,V. I. IDICULLA,,Kerala,PATHANAMTHITTA,KC,,24574,M,1,1,FALSE,FALSE,45.21,5352,9.85,,1,1
AEKL110249,3,0,1965,P. M. SAMUEL,,Kerala,PUNALOOR,KC,,11510,M,3,1,FALSE,FALSE,24.94,5258,11.39,,,1
AEKL110272,3,0,1965,T. K. DIVAKARAN,,Kerala,QUILON,IND,,13499,M,2,1,FALSE,FALSE,28.11,2452,5.11,,,1
AEKL110282,3,0,1965,P. RAVINDRAN,,Kerala,CHANTHANOOR,CPI,,16694,M,2,1,FALSE,FALSE,33.27,7889,15.72,,,1
AEKL110324,3,0,1965,MAHABALA BHANDARY,,Kerala,MANJESHWAR,CON,,20983,M,1,1,FALSE,FALSE,51.89,5844,14.45,,1,1
AEKL110327,3,0,1965,E. ABDUL KADER,,Kerala,KASARGOD,IND,,21923,M,1,1,FALSE,FALSE,47.39,2139,4.62,,1,1
AEKL110328,3,0,1965,K.A. SHETTY,,Kerala,KASARGOD,CON,,19784,M,2,1,FALSE,FALSE,42.77,17449,37.72,,,1
AEKL110329,3,0,1965,B.V. KUNHAMBU,,Kerala,KASARGOD,CPI,,2335,M,3,1,FALSE,FALSE,5.05,115,0.25,,,1
AEKL110331,3,0,1965,N.K. BALAKRISHNAN,,Kerala,HOSDRUG,SSP,,30558,M,1,1,FALSE,FALSE,59.15,13442,26.02,,1,1
AEKL110332,3,0,1965,M.KUNHIKANNAN NAMBIAR,,Kerala,HOSDRUG,CON,,17116,M,2,1,FALSE,FALSE,33.13,14636,28.33,,,1
AEKL110334,3,0,1965,K. MADHAVAN,,Kerala,HOSDRUG,CPI,,1507,M,4,1,FALSE,FALSE,2.92,0,0,,,1
AEKL110335,3,0,1965,V.V. KUNHAMBOO,,Kerala,NILESWAR,CPM,,30547,M,1,1,FALSE,FALSE,58.71,16372,31.47,,1,1
AEKL110336,3,0,1965,K.V. KUNHAMBU,,Kerala,NILESWAR,CON,,14175,M,2,1,FALSE,FALSE,27.25,6871,13.21,,,1
AEKL110337,3,0,1965,P.K. YOOSUF,,Kerala,NILESWAR,ML,,7304,M,3,1,FALSE,FALSE,14.04,0,0,,,1
AEKL110338,3,0,1965,C. KANNAN,,Kerala,EDAKKAD,CPM,,30716,M,1,1,FALSE,FALSE,57.11,7644,14.21,,1,1
AEKL110339,3,0,1965,P.P. LAKSHMANAN,,Kerala,EDAKKAD,CON,,23072,M,2,1,FALSE,FALSE,42.89,0,0,,,1
AEKL110340,3,0,1965,K.M. ABOOBACKER,,Kerala,CANNANORE,IND,,31448,M,1,1,FALSE,FALSE,52.99,6926,11.67,,1,1
AEKL110341,3,0,1965,P. MADHAVAN,,Kerala,CANNANORE,CON,,24522,M,2,1,FALSE,FALSE,41.32,21145,35.63,,,1
AEKL110342,3,0,1965,K.P. GOPALAN,,Kerala,CANNANORE,CPI,,3377,M,3,1,FALSE,FALSE,5.69,0,0,,,1
AEKL110343,3,0,1965,K.P.R. GOPALAN,,Kerala,MADAYI,CPM,,26784,M,1,1,FALSE,FALSE,50.66,11750,22.22,,1,1
AEKL110344,3,0,1965,P. GOPALAN,,Kerala,MADAYI,CON,,15034,M,2,1,FALSE,FALSE,28.44,5055,9.56,,,1
AEKL110345,3,0,1965,V.K.V. ABDUL AZEEZ,,Kerala,MADAYI,ML,,9979,M,3,1,FALSE,FALSE,18.87,8906,16.85,,,1
AEKL110348,3,0,1965,V.K. KUNHIKRISHNAN NAIR,,Kerala,PAYYANNUR,CON,,17062,M,2,1,FALSE,FALSE,35,14919,30.61,,,1
AEKL110349,3,0,1965,K. KUNBAMBU,,Kerala,PAYYANNUR,CPI,,2143,M,3,1,FALSE,FALSE,4.4,0,0,,,1
AEKL110350,3,0,1965,K.P. RAGHAVA PODUVAL,,Kerala,TALIPARAMBA,CPM,,29430,M,1,1,FALSE,FALSE,52.92,6792,12.21,,1,1
AEKL110351,3,0,1965,N.C. VARGHESE,,Kerala,TALIPARAMBA,CON,,22638,M,2,1,FALSE,FALSE,40.7,20625,37.09,,,1
AEKL110352,3,0,1965,A.K. PODUVAL,,Kerala,TALIPARAMBA,CPI,,2013,M,3,1,FALSE,FALSE,3.62,479,0.86,,,1
AEKL110355,3,0,1965,A. NARAYANANA NAMBISSAN,,Kerala,IRIKKUR,CON,,17033,M,2,1,FALSE,FALSE,35.79,13763,28.92,,,1
AEKL110356,3,0,1965,T.C. NARAYANAN NAMBIAR,,Kerala,IRIKKUR,CPI,,3270,M,3,1,FALSE,FALSE,6.87,0,0,,,1
AEKL110357,3,0,1965,K.K. ABU,,Kerala,KUTHUPARAMBA,SSP,,26498,M,1,1,FALSE,FALSE,50.81,6082,11.66,,1,1
AEKL110358,3,0,1965,M.P. MOIDU HAJEE,,Kerala,KUTHUPARAMBA,CON,,20416,M,2,1,FALSE,FALSE,39.15,16540,31.71,,,1
AEKL110361,3,0,1965,P. GOPALAN,,Kerala,TELLICHERRY,CPM,,27981,M,1,1,FALSE,FALSE,50.83,8215,14.92,,1,1
AEKL110362,3,0,1965,P. NANU,,Kerala,TELLICHERRY,CON,,19766,M,2,1,FALSE,FALSE,35.91,12468,22.65,,,1
AEKL110365,3,0,1965,N. MADUSUDHANAN NAMBIAR,,Kerala,PERINGALAM,CON,,19797,M,2,1,FALSE,FALSE,36.41,0,0,,,1
AEKL110366,3,0,1965,K.K. ANNAN,,Kerala,NORTH WYNAD,IND,,18078,M,1,1,FALSE,FALSE,50.08,7617,21.1,,1,1
AEKL110367,3,0,1965,M.V. RAJAN,,Kerala,NORTH WYNAD,CON,,10461,M,2,1,FALSE,FALSE,28.98,2905,8.05,,,1
AEKL110369,3,0,1965,M. KRISHNAN,,Kerala,BADAGARA,SSP,,35197,M,1,1,FALSE,FALSE,68.12,21935,42.45,,1,1
AEKL110370,3,0,1965,T. KRISHNAN,,Kerala,BADAGARA,CON,,13262,M,2,1,FALSE,FALSE,25.67,11151,21.58,,,1
AEKL110371,3,0,1965,M. KUMARAN,,Kerala,BADAGARA,CPI,,2111,M,3,1,FALSE,FALSE,4.09,1011,1.96,,,1
AEKL110373,3,0,1965,C.H. KANARAN,,Kerala,NADAPURAM,CPM,,26224,M,1,1,FALSE,FALSE,46.23,11642,20.52,,1,1
AEKL110374,3,0,1965,K.P. PADMANABHAN,,Kerala,NADAPURAM,CON,,14582,M,2,1,FALSE,FALSE,25.7,697,1.23,,,1
AEKL110375,3,0,1965,P. KUNHIMUHAMMED,,Kerala,NADAPURAM,ML,,13885,M,3,1,FALSE,FALSE,24.48,11846,20.88,,,1
AEKL110376,3,0,1965,T. KUNHIKRISHNAN NAMBIAR,,Kerala,NADAPURAM,CPI,,2039,M,4,1,FALSE,FALSE,3.59,0,0,,,1
AEKL110378,3,0,1965,K. GOPALAN,,Kerala,MEPPAYUR,CON,,15555,M,2,1,FALSE,FALSE,29.19,1828,3.43,,,1
AEKL110379,3,0,1965,M. HAKKIMJI SAHEB,,Kerala,MEPPAYUR,ML,,13727,M,3,1,FALSE,FALSE,25.76,0,0,,,1
AEKL110380,3,0,1965,K.B. MENON,,Kerala,QUILANDY,SSP,,33910,M,1,1,FALSE,FALSE,55.8,9007,14.82,,1,1
AEKL110381,3,0,1965,E. RAJAGOPALAN NAIR,,Kerala,QUILANDY,CON,,24903,M,2,1,FALSE,FALSE,40.98,23708,39.01,,,1
AEKL110383,3,0,1965,K. KUNHIKRISHNAN NAIR,,Kerala,QUILANDY,CPI,,761,M,4,1,FALSE,FALSE,1.25,0,0,,,1
AEKL110384,3,0,1965,V.V. DAKSHINA MOOTRHY VARIAR,,Kerala,PERAMBRA,CPM,,25065,M,1,1,FALSE,FALSE,46.74,8860,16.52,,1,1
AEKL110385,3,0,1965,K.T. KUNHIRAMAN NAYAR,,Kerala,PERAMBRA,CON,,16205,M,2,1,FALSE,FALSE,30.22,7913,14.76,,,1
AEKL110389,3,0,1965,A.K. APPU,,Kerala,BALUSSERI,SSP,,29593,M,1,1,FALSE,FALSE,54.75,6186,11.44,,1,1
AEKL110390,3,0,1965,O.K. GOVINDAN,,Kerala,BALUSSERI,CON,,23407,M,2,1,FALSE,FALSE,43.3,22354,41.36,,,1
AEKL110392,3,0,1965,V. KUTTIKRISHNAN NAIR,,Kerala,KUNNAMANGALAM,SSP,,30360,M,1,1,FALSE,FALSE,64.94,17182,36.75,,1,1
AEKL110393,3,0,1965,P.K. IMBICHI AHAMMED HAJI,,Kerala,KUNNAMANGALAM,CON,,13178,M,2,1,FALSE,FALSE,28.19,10925,23.37,,,1
AEKL110397,3,0,1965,JOSEPH PULIKKANAEL,,Kerala,KALPETTA,IND,,11187,M,2,1,FALSE,FALSE,28,1221,3.06,,,1
AEKL110398,3,0,1965,JACOB THOMAS,,Kerala,KALPETTA,CON,,9966,M,3,1,FALSE,FALSE,24.95,8720,21.83,,,1
AEKL110400,3,0,1965,M. RAMUNNI,,Kerala,SOUTH WYNAD,SSP,,20256,M,1,1,FALSE,FALSE,54.25,5180,13.87,,1,1
