Party,Expanded_Party_Name
CON,INDIAN NATIONAL CONGRESS
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
CPI,COMMUNIST PARTY OF INDIA
SSP,SAMYUKTA SOCIALIST PARTY
ML,MUSLIM LEAGUE
KC,KERALA CONGRESS
INC,INDIAN NATIONAL CONGRESS
MUL,MUSLIM LEAGUE
KEC,KERALA CONGRESS
PSP,PRAJA SOCIALIST PARTY
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
RSP,REVOLUTIONARY SOCIALIST PARTY
ISP,ISP
KSP,KERALA SOCIALIST PARTY
BLD,BHARTIYA LOK DAL
MLO,MUSLIM LEAGUE (OPPOSITION)
KCP,KERALA CONGRESS (PILLAI GROUP)
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
KEC(J),KERALA CONGRESS (I)
KEC(J),KERALA CONGRESS (JACOB)
JNP,JANATA PARTY
IML,ALL INDIA MUSLIM LEAGUE
BJP,BHARATIYA JANATA PARTY
ICS,INDIAN CONGRESS (SOCIALIST)
NDP,NATIONAL DEMOCRATIC PARTY
IC(S),INDIAN CONGRESS (SOCIALIST)
ICS(SCS),INDIAN CONGRESS (SOCIALIST - SARAT CHANDRA SINHA
LKD,LOK DAL
BSP,BAHUJAN SAMAJ PARTY
CPM(K),COMMUNIST MARXIST PARTY OF INDIA
JD,JANATA DAL
KEC(M),KERALA CONGRESS (M)
CMPKSC,COMMUNIST MARXIST PARTY KERALA STATE COMMITTEE
INL,INDIAN NATIONAL LEAGUE
JPSS,JANADHIPATHIYA SAMREKSHNA SAMITI
KEC(B),KERALA CONGRESS (B)
JD(S),JANATA DAL (SECULAR)
NCP,NATIONALIST CONGRESS PARTY
RSPK(B),REVOLUTIONARY SOCIALIST PARTY OF KERALA (BOLSHEVIK)
DIC,DEMOCRATIC INDIRA CONGRESS (KARUNAKARAN)
C(S),CONGRESS (SECULAR)
KCS,KERALA CONGRESS SECULAR
SDPI,SOCIAL DEMOCRATIC PARTY OF INDIA
SJD,SOCIALIST JANTA (DEMOCRATIC)
KRSP,KERALA REVOLUTIONARY SOCIALIST PARTY(BABY JOHN)
IUML,INDIAN UNION MUSLIM LEAGUE
NSC,NATIONAL SECULAR CONFERENCE
