pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAS197393,2,0,1978,DISINGH SHALLAM,,Meghalaya,JOWAI,ST,IND,,1742,M,2,2,FALSE,FALSE,24.88,301,4.3,,,,2
AEAS197393,3,0,1983,DISINGH SHALLAM,,Meghalaya,JOWAI,ST,HPD,IND,648,M,5,2,FALSE,FALSE,7.56,227,2.65,,,,2
AEAS197408,2,0,1978,WILLIAMSON A. SANGMA,,Meghalaya,BAGHMARA,ST,INC,,3573,M,1,2,FALSE,FALSE,71.56,2658,53.23,,,2,2
AEAS197408,3,0,1983,WILLIAMSON A. SANGMA,,Meghalaya,BAGHMARA,ST,INC,INC,4970,M,1,2,FALSE,TRUE,74.91,3784,57.03,,,2,2
AEML102,1,0,1972,Y. FULLER LYNGDOH MAWNAI,,Meghalaya,MAIRANG,ST,IND,,2009,M,1,3,FALSE,FALSE,58.22,802,23.24,,,2,3
AEML102,2,0,1978,FULLER LYNGDOH MAWNAI,,Meghalaya,MAIRANG,ST,HPD,IND,3496,M,1,3,FALSE,TRUE,52.75,1668,25.17,,,2,3
AEML102,3,0,1983,FULLER LYNGDOH MAWNAI,,Meghalaya,MAIRANG,ST,HPD,HPD,2179,M,2,3,FALSE,TRUE,23.95,906,9.96,,,2,3
AEML11,1,0,1972,NIHON KSIH,,Meghalaya,RYMBAI,ST,AHL,,2726,M,2,3,FALSE,FALSE,43.4,0,0,,,1,3
AEML11,2,0,1978,NIHON KSIH,,Meghalaya,RYMBAI,ST,INC,AHL,2858,M,2,3,TRUE,FALSE,31.13,1364,14.86,,,1,3
AEML11,3,0,1983,NIHON KSIH,,Meghalaya,RYMBAI,ST,AHL,INC,4157,M,1,3,TRUE,FALSE,37,609,5.42,,,1,3
AEML112,1,0,1972,MAYSALINWAR,,Meghalaya,MAWTHENGKUT,ST,AHL,,1216,M,2,3,FALSE,FALSE,34.74,1180,33.71,,,,3
AEML112,2,0,1978,MAYSALIN WAR,,Meghalaya,MAWTHENGKUT,ST,AHL,AHL,2084,F,2,3,FALSE,FALSE,33.1,14,0.22,,,,3
AEML112,3,0,1983,MAYSALIN WAR,,Meghalaya,MAWTHENGKUT,ST,AHL,AHL,2141,F,3,3,FALSE,FALSE,24.33,782,8.89,,,,3
AEML114,1,0,1972,HUMDHREY NONGRUM,,Meghalaya,LANGRIN,ST,AHL,,1597,M,1,3,FALSE,FALSE,48.59,117,3.56,,,1,3
AEML114,2,0,1978,HUMPHREY NONGRUM,,Meghalaya,LANGRIN,ST,AHL,AHL,1157,M,3,3,FALSE,TRUE,16.79,285,4.14,,,1,3
AEML114,3,0,1983,HUMPHREY NONGRUM,,Meghalaya,LANGRIN,ST,INC,AHL,1364,M,3,3,TRUE,FALSE,16.78,0,0,,,1,3
AEML115,1,0,1972,BALKSTAR WANNIANG,,Meghalaya,LANGRIN,ST,IND,,1480,M,2,3,FALSE,FALSE,45.03,1270,38.64,,,2,3
AEML115,2,0,1978,BAKSTARWELL WANNIANG,,Meghalaya,LANGRIN,ST,HPD,IND,2612,M,1,3,FALSE,FALSE,37.9,475,6.89,,,2,3
AEML115,3,0,1983,BAKSTARWELL WANNIANG,,Meghalaya,LANGRIN,ST,HPD,HPD,4364,M,1,3,FALSE,TRUE,53.7,1965,24.18,,,2,3
AEML1186,1,0,1972,DOMINI ROBLIN NONGKYNRIH,,Meghalaya,NONGKREM,ST,IND,,102,M,3,3,FALSE,FALSE,2.87,0,0,,,2,3
AEML1186,2,0,1978,DOMINIC ROBLIN NONGKHYNRIH,,Meghalaya,NONGKREM,ST,IND,IND,4325,M,1,3,FALSE,FALSE,59.94,2516,34.87,,,2,3
AEML1186,3,0,1983,DOMINIC ROBLIN NONGKYNRIH,,Meghalaya,NONGKREM,ST,PDC,IND,2899,M,1,3,FALSE,TRUE,32.35,524,5.85,,,2,3
AEML121,1,0,1972,MESTONATH KHARCHANDY,,Meghalaya,MAWSYNRAM,ST,IND,,1407,M,2,3,FALSE,FALSE,26.83,71,1.35,,,1,3
AEML121,2,0,1978,MESTONNATH KHARCHANDY,,Meghalaya,MAWSYNRAM,ST,IND,IND,1174,M,4,3,FALSE,FALSE,17.77,48,0.73,,,1,3
AEML121,3,0,1983,MESTONNATH KHARSHANDY,,Meghalaya,MAWSYNRAM,ST,INC,IND,2397,M,1,3,FALSE,FALSE,31.85,411,5.46,,,1,3
AEML13,1,0,1972,BERYL SUTNGA,,Meghalaya,SUTNGA,ST,AHL,,1862,M,2,3,FALSE,FALSE,30.54,39,0.64,,,,3
AEML13,2,0,1978,BERYLE SUTNGA,,Meghalaya,SUTNGA-SHANGPUNG,ST,AHL,AHL,2577,M,2,3,FALSE,FALSE,32.72,562,7.14,,,,3
AEML13,3,0,1983,BERYL SUTNGA,,Meghalaya,SUTNGA-SHANGPUNG,ST,AHL,AHL,2383,M,3,3,FALSE,FALSE,26.3,0,0,,,,3
AEML130,1,0,1972,S P SWER,,Meghalaya,SOHRA,ST,AHL,,2210,M,1,3,FALSE,FALSE,49.06,330,7.33,,,2,3
AEML130,2,0,1978,PHAINDROJEN SWER,,Meghalaya,SOHRA,ST,AHL,AHL,2888,M,1,3,FALSE,TRUE,41.11,746,10.62,,,2,3
AEML130,3,0,1983,S. PHAINDROJEN SWER,,Meghalaya,SOHRA,ST,AHL,AHL,2908,M,2,3,FALSE,TRUE,37.33,1527,19.6,,,2,3
AEML15,1,0,1972,EDWINGSON BAREH,,Meghalaya,NARTIANG,ST,AHL,,3890,M,1,3,FALSE,FALSE,50.76,953,12.43,,,2,3
AEML15,2,0,1978,EDWINGSON BAREH,,Meghalaya,NARTIANG,ST,INC,AHL,2414,M,2,3,TRUE,TRUE,26.75,838,9.29,,,2,3
AEML15,3,0,1983,EDWINGSON BAREH,,Meghalaya,NARTIANG,ST,IND,INC,3244,M,1,3,FALSE,FALSE,30.63,446,4.21,,,2,3
AEML157,1,0,1972,PRITINGTON SANGMA,,Meghalaya,KHARKUTTA,ST,AHL,,760,M,1,3,FALSE,FALSE,53.98,474,33.66,,,3,3
AEML157,2,0,1978,PRITHINGTON SANGMA,,Meghalaya,KHARKUTTA,ST,INC,AHL,2203,M,1,3,TRUE,TRUE,49.82,948,21.44,,,3,3
AEML157,3,0,1983,PRETTINGTONE SANGMA,,Meghalaya,KHARKUTTA,ST,INC,INC,2947,M,1,3,FALSE,TRUE,45.51,1253,19.35,,,3,3
AEML161,1,0,1972,ELWIN SANGMA,,Meghalaya,SONGSAK,ST,AHL,,819,M,1,2,FALSE,FALSE,74.93,643,58.83,,,2,2
AEML161,3,0,1983,ELWIN SANGMA,,Meghalaya,SONGSAK,ST,INC,AHL,2190,M,1,2,TRUE,FALSE,41.51,820,15.54,,,2,2
AEML17,1,0,1972,BRITAINWAR DAN,,Meghalaya,NARTIANG,ST,IND,,837,M,3,3,FALSE,FALSE,10.92,0,0,,,1,3
AEML17,2,0,1978,H.BRITAINWAR DAN,,Meghalaya,NARTIANG,ST,IND,IND,4112,M,1,3,FALSE,FALSE,45.57,1698,18.82,,,1,3
