pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEML1013,4,0,1988,PURNO A. SANGMA,,Meghalaya,TURA,INC,,7003,M,1,2,FALSE,FALSE,48.61,1509,10.47,,2,2
AEML1013,8,0,2008,PURNO AGITOK SANGMA,ST,Meghalaya,TURA,NCP,INC,10881,M,1,2,TRUE,FALSE,35.41,2825,9.19,60,2,2
AEML1041,4,0,1988,GOPINATH SANGMA,,Meghalaya,SALMANPURA,INC,,1262,M,3,5,FALSE,FALSE,13.11,10,0.1,,2,5
AEML1041,5,0,1993,GOPINATH SANGMA,,Meghalaya,SALMANPURA,INC,INC,4898,M,1,5,FALSE,FALSE,40.19,424,3.48,,2,5
AEML1041,6,0,1998,GOPINATH SANGMA,,Meghalaya,SALMANPURA,INC,INC,4146,M,2,5,FALSE,TRUE,32.18,2651,20.58,,2,5
AEML1041,7,0,2003,SHRI. GOPINATH SANGMA,,Meghalaya,SALMANPURA,NCP,INC,6341,M,1,5,TRUE,FALSE,42.04,843,5.59,,2,5
AEML1041,8,0,2008,GOPINATH SANGMA,ST,Meghalaya,SALMANPURA,NCP,NCP,3161,M,3,5,FALSE,TRUE,18.08,1158,6.63,64,2,5
AEML106,6,0,1998,RICHARD SINGH LYNGDOH,,Meghalaya,SUTNGA-SHANGPUNG,PDM,,1336,M,4,2,FALSE,FALSE,7.98,1275,7.61,,,2
AEML106,8,0,2008,RICHARD SINGH LYNGDOH,ST,Meghalaya,SUTNGA-SHANGPUNG,UDP,PDM,7938,M,2,2,TRUE,FALSE,41.24,6442,33.47,44,,2
AEML109,1,0,1972,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,IND,,3630,M,1,8,FALSE,FALSE,82.71,2871,65.41,,1,8
AEML109,2,0,1978,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,INC,IND,2413,M,2,8,FALSE,TRUE,24.93,1425,14.72,,1,8
AEML109,3,0,1983,K. MAWLOT,,Meghalaya,NONGSTOIN,IND,INC,2262,M,2,8,FALSE,FALSE,21,128,1.19,,1,8
AEML109,4,0,1988,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,INC,IND,5487,M,2,8,FALSE,FALSE,42.42,4641,35.88,,1,8
AEML109,5,0,1993,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,IND,INC,5511,M,2,8,FALSE,FALSE,28.77,1188,6.2,,1,8
AEML109,6,0,1998,FRANCIS K. MAWLOT,,Meghalaya,NONGSTOIN,IND,IND,4411,M,3,8,FALSE,FALSE,22.17,2731,13.73,,1,8
AEML109,7,0,2003,SHRI. FRANCIS K.MAWLOT,,Meghalaya,NONGSTOIN,INC,IND,7001,M,2,8,FALSE,FALSE,33.69,5066,24.38,,1,8
AEML109,8,0,2008,FRANCIS K. MAWLOT,ST,Meghalaya,NONGSTOIN,UDP,INC,4855,M,3,8,TRUE,FALSE,17.41,744,2.67,59,1,8
AEML1111,5,0,1993,RAIN AUGUSTINE LYNGDOH,,Meghalaya,SOHIONG,INC,,6780,M,2,4,FALSE,FALSE,38.12,5869,32.99,,1,4
AEML1111,6,0,1998,RAIN AUGUSTINE LYNGDOH,,Meghalaya,SOHIONG,UDP,INC,8506,M,1,4,TRUE,FALSE,47.52,344,1.92,,1,4
AEML1111,7,0,2003,SHRI . RAIN AUGUSTINE LYNGDOH,,Meghalaya,SOHIONG,UDP,UDP,7209,M,2,4,FALSE,TRUE,40.04,6514,36.18,,1,4
AEML1111,8,0,2008,RAIN AUGUSTINE LYNGDOH,ST,Meghalaya,SOHIONG,UDP,UDP,6827,M,2,4,FALSE,FALSE,30.55,4138,18.51,58,1,4
AEML1145,5,0,1993,FRIDAY LYNGDOH,,Meghalaya,MAWKHAR,INC,,2834,M,2,4,FALSE,FALSE,40.81,2130,30.67,,2,4
AEML1145,6,0,1998,FRIDAY LYNGDOH,,Meghalaya,MAWKHAR,INC,INC,3146,M,2,4,FALSE,FALSE,49,3099,48.26,,2,4
AEML1145,7,0,2003,SHRI. FRIDAY LYNGDOH,,Meghalaya,MAWKHAR,INC,INC,3568,M,1,4,FALSE,FALSE,59.04,2418,40.01,,2,4
AEML1145,8,0,2008,DR FRIDAY LYNGDOH,ST,Meghalaya,MAWKHAR,INC,INC,2413,M,1,4,FALSE,TRUE,38.73,577,9.26,79,2,4
AEML1186,1,0,1972,DOMINI ROBLIN NONGKYNRIH,,Meghalaya,NONGKREM,IND,,102,M,3,8,FALSE,FALSE,2.87,0,0,,2,8
AEML1186,2,0,1978,DOMINIC ROBLIN NONGKHYNRIH,,Meghalaya,NONGKREM,IND,IND,4325,M,1,8,FALSE,FALSE,59.94,2516,34.87,,2,8
AEML1186,3,0,1983,DOMINIC ROBLIN NONGKYNRIH,,Meghalaya,NONGKREM,PDC,IND,2899,M,1,8,FALSE,TRUE,32.35,524,5.85,,2,8
AEML1186,4,0,1988,D.ROBLIN NONGKYNRIH,,Meghalaya,NONGKREM,PDC,PDC,3231,M,2,8,FALSE,TRUE,27.61,90,0.77,,2,8
AEML1186,5,0,1993,DOMINIC R. NANGKYNRIH,,Meghalaya,LYNGKYRDEM,INC,PDC,5212,M,2,8,TRUE,FALSE,39.48,0,0,,2,8
AEML1186,6,0,1998,DOMINIC ROBUN NONGKYNRIH,,Meghalaya,NONGKREM,HSP,INC,770,M,8,8,TRUE,FALSE,5.52,358,2.57,,2,8
AEML1186,7,0,2003,SHRI. DOMINIC ROBLIN NONGKYNRIH,,Meghalaya,LYNGKYRDEM,KFDP,HSP,1857,M,3,8,TRUE,FALSE,14.09,255,1.93,,2,8
AEML1186,8,0,2008,DOMINIC ROBLIN NONGKYNRIH,ST,Meghalaya,LYNGKYRDEM,KHNAM,KFDP,6553,M,2,8,TRUE,FALSE,37.3,3012,17.14,59,2,8
AEML1242,5,0,1993,OMILLO K.. SANGMA,,Meghalaya,KHARKUTTA,IND,,2306,M,4,4,FALSE,FALSE,20.4,1990,17.6,,1,4
AEML1242,6,0,1998,OMILLO K. SANGMA,,Meghalaya,KHARKUTTA,IND,IND,2599,M,2,4,FALSE,FALSE,19.9,287,2.2,,1,4
AEML1242,7,0,2003,SHRI OMILLO K SANGMA,,Meghalaya,KHARKUTTA,IND,IND,3034,M,3,4,FALSE,FALSE,19.16,1025,6.47,,1,4
AEML1242,8,0,2008,SHRI.OMILLO K.SANGMA,ST,Meghalaya,KHARKUTTA,NCP,IND,6424,M,1,4,FALSE,FALSE,33.33,307,1.59,47,1,4
AEML1243,5,0,1993,ELSTONE D. MARAK,,Meghalaya,KHARKUTTA,IND,,3207,M,1,4,FALSE,FALSE,28.37,238,2.11,,3,4
AEML1243,6,0,1998,ELSTONE D. MARAK,,Meghalaya,KHARKUTTA,INC,IND,6324,M,1,4,FALSE,TRUE,48.43,3725,28.52,,3,4
AEML1243,7,0,2003,SHRI ELSTONE D. MARAK,,Meghalaya,KHARKUTTA,NCP,INC,6568,M,1,4,TRUE,TRUE,41.49,3338,21.09,,3,4
AEML1243,8,0,2008,SHRI.ELSTONE D.MARAK,ST,Meghalaya,KHARKUTTA,INC,NCP,3018,M,3,4,TRUE,TRUE,15.66,930,4.82,47,3,4
AEML1266,5,0,1993,MANIRUL ISLAM SARKAR,,Meghalaya,PHULBARI,IND,,4175,M,1,4,FALSE,FALSE,26.7,799,5.11,,2,4
AEML1266,6,0,1998,MANIRUL ISLAM SARKER,,Meghalaya,PHULBARI,IND,IND,3393,M,2,4,FALSE,TRUE,19.46,410,2.35,,2,4
AEML1266,7,0,2003,SHRI MANIRUL ISLAM SARKAR,,Meghalaya,PHULBARI,INC,IND,7170,M,1,4,FALSE,FALSE,37.93,1554,8.22,,2,4
