pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEML117,9,1,2015,DIOSSTARNESS JYNDIANG (E),,Meghalaya,NONGSTOIN,HSPDP,,11189,M,1,1,FALSE,FALSE,46.62,2764,11.52,,,1,1
AEML1229,5,0,1993,SENGRAN M. SANGMA,,Meghalaya,BAGHMARA,HPU,,5692,M,2,4,FALSE,FALSE,47.13,0,0,,,1,4
AEML1229,6,0,1998,SENGRAN SANGMA,,Meghalaya,BAGHMARA,UDP,HPU,5744,M,2,4,TRUE,FALSE,44.33,5117,39.49,,,1,4
AEML1229,7,0,2003,SHRI SENGRAN SANGMA,,Meghalaya,BAGHMARA,INC,UDP,7703,M,1,4,TRUE,FALSE,51.98,1648,11.12,,,1,4
AEML1229,9,0,2013,SIRGAN A. SANGMA,ST,Meghalaya,BAGHMARA,IND,INC,4141,M,2,4,FALSE,FALSE,20.43,1116,5.51,34,,1,4
AEML1242,5,0,1993,OMILLO K.. SANGMA,,Meghalaya,KHARKUTTA,IND,,2306,M,4,5,FALSE,FALSE,20.4,1990,17.6,,,1,5
AEML1242,6,0,1998,OMILLO K. SANGMA,,Meghalaya,KHARKUTTA,IND,IND,2599,M,2,5,FALSE,FALSE,19.9,287,2.2,,,1,5
AEML1242,7,0,2003,SHRI OMILLO K SANGMA,,Meghalaya,KHARKUTTA,IND,IND,3034,M,3,5,FALSE,FALSE,19.16,1025,6.47,,,1,5
AEML1242,8,0,2008,SHRI.OMILLO K.SANGMA,ST,Meghalaya,KHARKUTTA,NCP,IND,6424,M,1,5,FALSE,FALSE,33.33,307,1.59,47,,1,5
AEML1242,9,0,2013,OMILLO K SANGMA,ST,Meghalaya,KHARKUTTA,NPP,NCP,6046,M,2,5,TRUE,TRUE,25.28,184,0.77,53,,1,5
AEML1313,5,0,1993,SEMFORD B. SANGMA,,Meghalaya,DALAMGIRI,IND,,3666,M,2,5,FALSE,FALSE,35.06,1525,14.59,,,,5
AEML1313,6,0,1998,SEMFORD SANGMA,,Meghalaya,DALAMGIRI,IND,IND,4062,M,2,5,FALSE,FALSE,36.82,3119,28.27,,,,5
AEML1313,7,0,2003,SHRI SEMFORD B. SANGMA,,Meghalaya,SALMANPURA,INC,IND,2014,M,3,5,FALSE,FALSE,13.35,1136,7.53,,,,5
AEML1313,8,0,2008,SEMFORD B. SANGMA,ST,Meghalaya,SALMANPURA,INC,INC,2003,M,4,5,FALSE,FALSE,11.46,215,1.23,47,,,5
AEML1313,9,0,2013,SEMFORD B. SANGMA,ST,Meghalaya,MAHENDRAGANJ,NPP,INC,1346,M,4,5,TRUE,FALSE,5.83,1048,4.54,51,,,5
AEML133,9,0,2013,ROBINUS SYNGKON,ST,Meghalaya,MOWKAIAW,IND,,7064,M,1,1,FALSE,FALSE,29.67,694,2.91,49,,1,1
AEML1368,6,0,1998,PHINGWELL MUKTIEH,,Meghalaya,MAWHATI,INC,,3941,M,1,4,FALSE,FALSE,28.4,696,5.02,,,2,4
AEML1368,7,0,2003,SHRI. PHINGWELL MUKTIEH,,Meghalaya,MAWHATI,INC,INC,5021,M,1,4,FALSE,TRUE,35.5,751,5.31,,,2,4
AEML1368,8,0,2008,PHINGWEL MUKTIEH,ST,Meghalaya,MAWHATI,INC,INC,5725,M,2,4,FALSE,TRUE,28.85,1335,6.73,56,,2,4
AEML1368,9,0,2013,PHINGWEL MUKTIEH,ST,Meghalaya,MAWHATI,INC,INC,6857,M,3,4,FALSE,FALSE,29.69,6349,27.49,63,,2,4
AEML1372,6,0,1998,STANLY WISS RYMBAI,,Meghalaya,UMROI,PDM,,5529,M,2,5,FALSE,FALSE,32.49,3767,22.13,,,2,4
AEML1372,7,0,2003,SHRI. STANLYWISS RYMBAI,,Meghalaya,UMROI,INC,PDM,8352,M,1,5,TRUE,FALSE,53.5,1093,7,,,2,4
AEML1372,8,0,2008,STANLYWISS RYMBAI,ST,Meghalaya,UMROI,INC,INC,9261,M,2,5,FALSE,TRUE,39.3,7229,30.68,50,,2,4
AEML1372,8,1,2009,S. Rymbai,,Meghalaya,UMROI,INC,INC,11773,,1,5,FALSE,FALSE,49.24,446,1.87,,,2,4
AEML1372,9,0,2013,STANLYWISS RYMBAI,ST,Meghalaya,UMROI,IND,INC,5351,M,2,5,FALSE,TRUE,28.89,2212,11.94,52,,2,4
AEML154,9,0,2013,HOPEFUL BAMON,ST,Meghalaya,SUTNGA SAIPUNG,IND,,14205,M,1,1,FALSE,FALSE,48.92,1462,5.04,46,,1,1
AEML162,6,0,1998,SHITLANG PALE,,Meghalaya,SUTNGA-SHANGPUNG,INC,,5452,M,2,4,FALSE,FALSE,32.55,2835,16.93,,,2,4
AEML162,7,0,2003,SHITLANG PALE,,Meghalaya,SUTNGA-SHANGPUNG,INC,INC,8182,M,1,4,FALSE,FALSE,45.8,2460,13.77,,,2,4
AEML162,8,0,2008,SHITLANG PALE,ST,Meghalaya,SUTNGA-SHANGPUNG,INC,INC,9814,M,1,4,FALSE,TRUE,50.99,1876,9.75,40,,2,4
AEML162,9,0,2013,SHITLANG PALE,ST,Meghalaya,SUTNGA SAIPUNG,INC,INC,12743,M,2,4,FALSE,TRUE,43.89,10655,36.7,45,,2,4
AEML1624,6,0,1998,DIPUL R. MARAK,,Meghalaya,RANGSAKONA,IND,,3382,M,2,2,FALSE,FALSE,28.67,1858,15.75,,,,2
AEML1624,9,0,2013,DIPUL R MARAK,ST,Meghalaya,RANGSAKONA,NPP,IND,4736,M,3,2,FALSE,FALSE,20.02,3850,16.28,45,,,2
AEML164,9,1,2015,GABRIEL,,Meghalaya,NONGSTOIN,INC,,8425,M,2,1,FALSE,FALSE,35.1,5294,22.06,,,,1
AEML1669,7,0,2003,SHRI . HILARIUS DKHAR,,Meghalaya,NARTIANG,NCP,,3559,M,3,2,FALSE,FALSE,19.38,18,0.1,,,,2
AEML1669,9,0,2013,HILARIUS DKHAR,ST,Meghalaya,NARTIANG,IND,NCP,9534,M,2,2,FALSE,FALSE,33.74,9203,32.57,41,,,2
AEML179,9,0,2013,JUSTINE DKHAR,ST,Meghalaya,KHLIEHRIAT,IND,,10807,M,1,1,FALSE,FALSE,36.37,1638,5.51,38,,1,1
AEML1847,7,0,2003,RANGSANDOR SYIEM,,Meghalaya,LANGRIN,HPDP,,494,M,6,3,FALSE,FALSE,3.24,0,0,,,,3
