Party,Expanded_Party_Name
AHL,ALL PARTY HILL LEADER'S CONFERNCE
INC,INDIAN NATIONAL CONGRESS
HPD,HILL STATE PEOPLE'S DEMOCRATIC PARTY
PDC,PUBLIC DEMANDS IMPLEMENTATION CONVENTION
HPU,HILL PEOPLE UNION
AHL(A),ALL PARTY HILL LEADERS CONFERENCE (ARMISON MARAK GRO
HPSD,HILL STATE PEOPLE'S DEMOCRATIC PARTY
AHLC(AM),ALL PARTY HILL LEADER'S CONFERENCE (ARMISON MARAK GR
BJP,BHARTIYA JANTA PARTY
MPP,MEGHALAYA PROGRESSIVE PEOPLE'S PARTY
PDI,PUBLIC DEMANDS IMPLEMENTATION CONVENTION
UDP,UNITED DEMOCRATIC PARTY
HPDP,HILL STATE PEOPLE'S DEMOCRATIC PARTY
PDM,PEOPLE'S DEMOCRATIC MOVEMENT
GNC,GARO NATIONAL COUNCIL
NCP,NATIONALIST CONGRESS PARTY
KHNAM,KHUN HYNNIEUTRIP NATIONAL AWAKANING MOVEMENT
MDP,MEGHALAYA DEMOCRATIC PARTY
HSPDP,HILL STATE PEOPLE'S DEMOCRATIC PARTY
NPP,NATIONAL PEOPLE'S PARTY
NESDP,NORTH EAST SOCIAL DEMOCRATIC PARTY
NPEP,NATIONAL PEOPLES PARTY
PDF,PEOPLE'S DEMOCRATIC FRONT
