pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEMN197746,10,1,2007,Thokehom Lokeshwar Singh,,Manipur,Khundrakpam,INC,,9570,M,1,2,FALSE,FALSE,45.48,2168,10.3,,2,2
AEMN197746,11,0,2012,THOKCHOM LOKESHWAR SINGH,GEN,Manipur,KHUNDRAKPAM,INC,INC,9182,M,1,2,FALSE,TRUE,49.37,5504,29.59,45,2,2
AEMN197752,11,0,2012,NAOROIBAM RATAN (KAPU) MEETEI,GEN,Manipur,HEINGANG,NCP,,9790,M,2,1,FALSE,FALSE,42.47,9186,39.85,32,,1
AEMN197756,11,0,2012,LEISHANGTHEM SHUSINDRO MEITEI @YAIMA,GEN,Manipur,KHURAI,AITC,,6529,M,2,1,FALSE,FALSE,25.24,612,2.37,28,,1
AEMN197757,10,0,2007,DR. NGAIRANGBAM BIJOY SINGH,GEN,Manipur,KHURAI,MPP,,13326,M,1,2,FALSE,FALSE,50.39,5208,19.69,60,2,2
AEMN197757,11,0,2012,DR. NG. BIJOY SINGH,GEN,Manipur,KHURAI,INC,MPP,11618,M,1,2,TRUE,TRUE,44.92,5089,19.68,65,2,2
AEMN197760,10,0,2007,MOHD. AMIN SHAH,GEN,Manipur,KHETRIGAO,INC,,7116,M,2,2,FALSE,FALSE,27.91,1220,4.79,32,1,2
AEMN197760,11,0,2012,MD. AMIN SHAH,GEN,Manipur,KSHETRIGAO,INC,INC,7981,M,1,2,FALSE,FALSE,31.31,2994,11.74,33,1,2
AEMN197766,11,0,2012,THONGAM BISWAJIT SINGH,GEN,Manipur,THONGJU,AITC,,10299,M,1,2,FALSE,FALSE,41.81,603,2.45,36,1,1
AEMN197766,11,1,2015,Thongam Biswajit Singh,,Manipur,THONGJU,BJP,AITC,14606,,1,2,TRUE,TRUE,56.06,3213,12.33,,1,1
AEMN197783,11,0,2012,KHUMUKCHAM JOYKISAN SINGH,GEN,Manipur,THANGMEIBAND,AITC,,7670,M,1,2,FALSE,FALSE,36.01,984,4.62,46,1,1
AEMN197783,11,1,2015,Khumukcham Joykishan(E),,Manipur,THANGMEIBAND,BJP,AITC,12104,,1,2,TRUE,TRUE,54.14,1907,8.53,,1,1
AEMN197784,10,0,2007,JYOTIN WAIKHOM,GEN,Manipur,THANGMEIBAND,INC,,5945,M,2,3,FALSE,FALSE,29.53,1578,7.84,43,,2
AEMN197784,11,0,2012,JYOTIN WAIKHOM,GEN,Manipur,THANGMEIBAND,INC,INC,6686,M,2,3,FALSE,FALSE,31.39,2814,13.21,48,,2
AEMN197784,11,1,2015,Jyotin Waikhom,,Manipur,THANGMEIBAND,INC,INC,10197,,2,3,FALSE,FALSE,45.61,10142,45.37,,,2
AEMN197791,9,0,2002,DR. KHWAIRAKPAM LOKEN SINGH,,Manipur,SAGOLBAND,INC,,4572,M,2,3,FALSE,FALSE,29.08,978,6.22,,1,3
AEMN197791,10,0,2007,DR. KHWAIRAKPAM LOKEN SINGH,GEN,Manipur,SAGOLBAND,INC,INC,8792,M,1,3,FALSE,FALSE,51.23,1486,8.66,44,1,3
AEMN197791,11,0,2012,DR. KHWAIRAKPAM LOKEN SINGH,GEN,Manipur,SAGOLBAND,INC,INC,8731,M,2,3,FALSE,TRUE,48.25,8648,47.79,50,1,3
AEMN197794,9,0,2002,LANGPOKLAKPAM JAYANTAKUMAR SINGH,,Manipur,KEISAMTHONG,INC,,6392,M,2,3,FALSE,FALSE,30.44,2819,13.43,,1,3
AEMN197794,10,0,2007,SHRI LANGPOKLAKPAM JAYENTAKUMAR SINGH,GEN,Manipur,KEISHAMTHONG,INC,INC,11266,M,1,3,FALSE,FALSE,50.63,835,3.75,43,1,3
AEMN197794,11,0,2012,LANGPOKLAKPAM JAYANTAKUMAR SINGH,GEN,Manipur,KEISHAMTHONG,INC,INC,8336,M,2,3,FALSE,TRUE,39.79,5806,27.71,53,1,3
AEMN197801,11,0,2012,CHANGAMAYUM GANESHLAL SINGH,GEN,Manipur,KEISHAMTHONG,MSCP,,81,M,5,1,FALSE,FALSE,0.39,51,0.24,50,,1
AEMN197802,11,0,2012,YUMNAM KHEMCHAND SINGH,GEN,Manipur,SINGJAMEI,AITC,,7818,M,2,1,FALSE,FALSE,48.64,7537,46.89,51,,1
AEMN197812,4,0,1980,YUMKHAM IRABOT,,Manipur,WANGKHEI,JNP,,4052,M,1,7,FALSE,FALSE,32.12,1138,9.02,,6,7
AEMN197812,5,0,1984,YUMKHAM ERABOT,,Manipur,WANGKHEI,INC,JNP,7901,M,1,7,TRUE,TRUE,48.94,1302,8.06,,6,7
AEMN197812,6,0,1990,YUMKHAM ERABOT,,Manipur,WANGKHEI,INC,INC,8758,M,2,7,FALSE,TRUE,42.74,8626,42.09,,6,7
AEMN197812,7,0,1995,YUMKHAM ERABOT,,Manipur,WANGKHEI,INC,INC,7977,M,1,7,FALSE,FALSE,36.81,1702,7.85,,6,7
AEMN197812,9,0,2002,ERABOT YUMKHAM,,Manipur,WANGKHEI,MSCP,INC,7999,M,1,7,TRUE,FALSE,35.47,499,2.21,,6,7
AEMN197812,10,0,2007,YUMKHAM ERABOT SINGH,GEN,Manipur,WANGKHEI,INC,MSCP,7917,M,1,7,TRUE,TRUE,31.49,1236,4.92,65,6,7
AEMN197812,11,0,2012,YUMKHAM ERABOT SINGH,GEN,Manipur,WANGKHEI,INC,INC,10981,M,1,7,FALSE,TRUE,44.72,1576,6.42,72,6,7
AEMN197814,11,0,2012,HEIKHAM DINGO SINGH,SC,Manipur,SEKMAI,AITC,,5242,M,2,1,FALSE,FALSE,25.28,259,1.25,33,,1
AEMN197816,7,0,1995,SOROKHAIBAM RAJEN SINGH,,Manipur,LAMSANG,INC,,4184,M,1,4,FALSE,FALSE,22.13,327,1.73,,1,4
AEMN197816,9,0,2002,SOROKHAIBAM RAJEN SINGH,,Manipur,LAMSANG,FPM,INC,9579,M,2,4,TRUE,FALSE,44.27,9424,43.55,,1,4
AEMN197816,10,0,2007,SOROKHAIBAM RAJEN SINGH,GEN,Manipur,LAMSANG,MPP,FPM,11624,M,2,4,TRUE,FALSE,46.33,0,0,43,1,4
AEMN197816,11,0,2012,SOROKHAIBAM RAJEN SINGH,GEN,Manipur,LAMSANG,NCP,MPP,6909,M,2,4,TRUE,FALSE,27.75,409,1.64,53,1,4
AEMN197820,10,0,2007,KONTHOUJAM SHARAT SINGH,GEN,Manipur,KONTHOUJAM,NPP,,5391,M,2,2,FALSE,FALSE,23.51,1535,6.7,42,1,2
AEMN197820,11,0,2012,KONTHOUJAM SHARAT SINGH,GEN,Manipur,KONTHOUJAM,AITC,NPP,10807,M,1,2,TRUE,FALSE,45.87,514,2.18,48,1,2
AEMN197823,10,0,2007,SAPAM KUNJAKESWOR (KEBA) SINGH,GEN,Manipur,PATSOI,IND,,8936,M,1,2,FALSE,FALSE,34.19,1644,6.29,48,1,2
AEMN197823,11,0,2012,SAPAM KUNJAKESWOR SINGH,GEN,Manipur,PATSOI,AITC,IND,8710,M,2,2,FALSE,TRUE,32.17,6195,22.88,54,1,2
AEMN197827,9,0,2002,KARAM SHYAM,,Manipur,LANGTHABAL,DRPP,,2302,M,5,3,FALSE,FALSE,12.95,439,2.47,,1,3
AEMN197827,10,0,2007,KARAM SHYAM,GEN,Manipur,LANGTHABAL,LJP,DRPP,3837,M,3,3,TRUE,FALSE,18.39,487,2.33,46,1,3
AEMN197827,11,0,2012,KARAM SHYAM,GEN,Manipur,LANGTHABAL,LJP,LJP,7575,M,1,3,FALSE,FALSE,35.78,1035,4.89,49,1,3
AEMN197841,10,0,2007,SALAM JOY SINGH,GEN,Manipur,WANGOI,NCP,,7171,M,1,2,FALSE,FALSE,32.82,2138,9.79,33,1,2
AEMN197841,11,0,2012,SALAM JOY SINGH,GEN,Manipur,WANGOI,NCP,NCP,8972,M,2,2,FALSE,TRUE,37.93,3660,15.47,39,1,2
AEMN197842,9,0,2002,SAGOLSEM ACHOUBA SINGH,,Manipur,WANGOI,INC,,3805,M,3,3,FALSE,FALSE,20.7,3669,19.96,,,3
