pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMN5196807,13,0,2022,THANGJAM SHYAM SINGH,,Manipur,Khundrakpam,GEN,SHS,,2137,M,4,1,FALSE,FALSE,9.24,0,0,60,,,1
AEMN5196808,13,0,2022,ELANGBAM SOVID SINGH,,Manipur,Khundrakpam,GEN,Republican Party of India (Athawale),,7753,M,2,1,FALSE,FALSE,33.51,2489,10.76,45,,,1
AEMN5196809,13,0,2022,THOKCHOM LOKESHWAR SINGH,,Manipur,Khundrakpam,GEN,INC,,5264,M,3,1,FALSE,FALSE,22.75,3127,13.52,55,,,1
AEMN5196810,13,0,2022,THANGJAM MOHENDRO SINGH,,Manipur,Khundrakpam,GEN,BJP,,7980,M,1,1,FALSE,FALSE,34.49,227,0.98,64,,1,1
AEMN5196811,13,0,2022,PANGEIJAM SARATCHANDRA SINGH,,Manipur,Heingang,GEN,INC,,783,M,2,1,FALSE,FALSE,32.48,0,0,57,,,1
AEMN5196812,13,0,2022,NONGTHOMBAM BIREN SINGH,,Manipur,Heingang,GEN,BJP,,1628,M,1,1,FALSE,FALSE,67.52,845,35.05,61,,1,1
AEMN5196813,13,0,2022,HEISNAM SUBHAS SINGH,,Manipur,Khurai,GEN,Lok Janshakti Party(Ram Vilas),,5951,M,4,1,FALSE,FALSE,15.38,972,2.51,56,,,1
AEMN5196814,13,0,2022,TOIJAM LOKENDRO SINGH,,Manipur,Khurai,GEN,JD(U),,7650,M,2,1,FALSE,FALSE,19.78,292,0.75,33,,,1
AEMN5196815,13,0,2022,KHAGOKPAM KHAMBA SINGH,,Manipur,Khurai,GEN,Republican Party of India (Athawale),,7358,M,3,1,FALSE,FALSE,19.02,1407,3.64,64,,,1
AEMN5196816,13,0,2022,LEISHANGTHEM SUSINDRO MEITEI,,Manipur,Khurai,GEN,BJP,,4979,M,5,1,FALSE,FALSE,12.87,1264,3.27,38,,,1
AEMN5196817,13,0,2022,LAITONJAM JAYANANDA SINGH,,Manipur,Khurai,GEN,NPP,,3715,M,6,1,FALSE,FALSE,9.6,3191,8.25,31,,,1
AEMN5196818,13,0,2022,KHURAIJAM RATANKUMAR SINGH,,Manipur,Khurai,GEN,NCP,,8504,M,1,1,FALSE,FALSE,21.98,854,2.21,67,,1,1
AEMN5196819,13,0,2022,R.K. AMUSANA SINGH,,Manipur,Khurai,GEN,CPI,,524,M,7,1,FALSE,FALSE,1.35,0,0,57,,,1
AEMN5196820,13,0,2022,WAHENGBAM ROJIT SINGH @ BULLET,,Manipur,Khetrigao,GEN,JD(U),,5099,M,5,1,FALSE,FALSE,14.14,0,0,41,,,1
AEMN5196821,13,0,2022,SHEIKH NOORUL HASSAN,,Manipur,Khetrigao,GEN,NPP,,8816,M,2,1,FALSE,FALSE,24.44,2371,6.57,36,,,1
AEMN5196822,13,0,2022,PUNNAM RANI WANGKHEM,,Manipur,Khetrigao,GEN,NCP,,9733,F,1,1,FALSE,FALSE,26.98,917,2.54,53,,1,1
AEMN5196823,13,0,2022,NAHAKPAM INDRAJIT SINGH,,Manipur,Khetrigao,GEN,BJP,,6445,M,3,1,FALSE,FALSE,17.87,468,1.3,45,,,1
AEMN5196824,13,0,2022,MOHAMMED AMIN SHAH,,Manipur,Khetrigao,GEN,INC,,5977,M,4,1,FALSE,FALSE,16.57,878,2.43,42,,,1
AEMN5196825,13,0,2022,SANGLAKPAM PRESHYOJIT SHARMA,,Manipur,Thongju,GEN,JD(U),,2463,M,3,1,FALSE,FALSE,14.77,0,0,37,,,1
AEMN5196826,13,0,2022,SERAM NEKEN SINGH,,Manipur,Thongju,GEN,INC,,7837,M,1,1,FALSE,FALSE,46.98,1456,8.73,47,,1,1
AEMN5196827,13,0,2022,THONGAM BISWAJIT SINGH,,Manipur,Thongju,GEN,BJP,,6381,M,2,1,FALSE,FALSE,38.25,3918,23.49,46,,,1
