Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
BJP,BHARATIYA JANATA PARTY
CPI,COMMUNIST PARTY OF INDIA
NCP,NATIONALIST CONGRESS PARTY
NPP,NATIONAL PEOPLE'S PARTY
NPF,NAGA PEOPLES FRONT
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
NPEP,NATIONAL PEOPLE'S PARTY
AITC,ALL INDIA TRINAMOOL CONGRESS
LJP,LOK JAN SHAKTI PARTY
MSCP,MANIPUR STATE CONGRESS PARTY
MPP,MAHABHARATH PEOPLE'S PARTY
RJD,RASHTRIYA JANATA DAL
SAP,SAMATA PARTY
FPM,FEDERAL PARTY OF MANIPUR
DRPP,DEMOCRATIC REVOLUTIONARY PEOPLES PARTY
MNC,MANIPUR NATIONAL CONFERENCE
KNA,KUKI NATIONAL ASSEMBLY
JD,JANATA DAL
ICS,INDIAN CONGRESS (SOCIALIST)
ICS(SCS),INDIAN CONGRESS (SOCIALIST-SARAT CHANDRA SINHA)
MRP,MANIPUR PEOPLE PARTY
JNP,JANTA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
MHU,MANIPUR HILLS UNION
SSP,SANGHATA SOCIALIST PARTY
