pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEMZ1389,2,0,1978,C. SILVARA,,Mizoram,AIZAWL WEST,IND,,1371,M,2,1,FALSE,FALSE,25.11,110,2.01,,,1
AEMZ1561,2,0,1978,M. HIYCHHO,,Mizoram,TUIPANG,IND,,2095,M,2,1,FALSE,FALSE,41.29,0,0,,,1
AEMZ1562,1,0,1972,B. SANGCHEMA,,Mizoram,SANGAU,INC,,316,M,5,2,FALSE,FALSE,7.46,78,1.84,,1,2
AEMZ1562,2,0,1978,K. SANGCHHUM,,Mizoram,SANGAU,IND,INC,1308,M,1,2,FALSE,FALSE,31.68,141,3.41,,1,2
AEMZ1563,2,0,1978,H. SIANGKNARA,,Mizoram,SANGAU,PPC,,1167,M,2,1,FALSE,FALSE,28.26,616,14.92,,,1
AEMZ1570,2,0,1978,ROHNUNA,,Mizoram,SAIHA,IND,,1316,M,2,1,FALSE,FALSE,25.67,204,3.98,,,1
AEMZ1577,2,0,1978,S.P. DEWAN,,Mizoram,CHAWNGTE,IND,,897,M,2,1,FALSE,FALSE,26.24,280,8.19,,,1
AEMZ1582,2,0,1978,LIANBUKA,,Mizoram,DEMAGIRI,IND,,873,M,2,1,FALSE,FALSE,26.67,354,10.82,,,1
AEMZ1583,2,0,1978,JAPANTHANGA,,Mizoram,DEMAGIRI,PPC,,519,M,3,1,FALSE,FALSE,15.86,458,13.99,,,1
AEMZ1589,2,0,1978,LALHMINGTHANGA,,Mizoram,LUNGLEI,PPC,,3761,M,1,1,FALSE,FALSE,65.39,2775,48.24,,1,1
AEMZ1590,2,0,1978,C. LALTHIANGHLIMA,,Mizoram,LUNGLEI,IND,,986,M,2,1,FALSE,FALSE,17.14,60,1.04,,,1
AEMZ1593,2,0,1978,H. KIAUTUMA,,Mizoram,TAWI PUI,PPC,,1316,M,1,1,FALSE,FALSE,31.79,627,15.14,,1,1
AEMZ1601,2,0,1978,THANSIAMA KHIANTLE,,Mizoram,HNAHTHIAL,IND,,1993,M,2,1,FALSE,FALSE,34.66,1587,27.6,,,1
AEMZ1603,2,0,1978,J.H. ROTHUAMA,,Mizoram,N. VANLAIPHAI,PPC,,1220,M,1,1,FALSE,FALSE,38.01,164,5.11,,1,1
AEMZ1604,2,0,1978,NGURCHHINA,,Mizoram,N. VANLAIPHAI,IND,,1056,M,2,1,FALSE,FALSE,32.9,239,7.45,,,1
AEMZ1614,2,0,1978,SAKHAWLIANA,,Mizoram,CHAMPHAI,PPC,,1766,M,2,1,FALSE,FALSE,33.77,383,7.32,,,1
AEMZ1619,2,0,1978,HRANGTHANGA,,Mizoram,KHAWHAI,IND,,1328,M,2,1,FALSE,FALSE,33.97,885,22.64,,,1
AEMZ1625,2,0,1978,K.M. BAIKSAILOVA,,Mizoram,SAITUAL,PPC,,1768,M,1,1,FALSE,FALSE,31.54,257,4.59,,1,1
AEMZ1626,2,0,1978,LIANNELA,,Mizoram,SAITUAL,IND,,1511,M,2,1,FALSE,FALSE,26.96,537,9.58,,,1
AEMZ1632,2,0,1978,VANLALHRUAIA,,Mizoram,NGOPA,IND,,1204,M,2,1,FALSE,FALSE,25.72,76,1.62,,,1
AEMZ1640,2,0,1978,D. HNUNLIANA,,Mizoram,RATU,IND,,901,M,2,1,FALSE,FALSE,19.75,50,1.1,,,1
AEMZ1645,2,0,1978,ROBERT LALCHHUANA,,Mizoram,AAWNTUI,IND,,2007,M,2,1,FALSE,FALSE,32.9,1015,16.64,,,1
AEMZ1649,2,0,1978,CHAWNGKUNGA,,Mizoram,KOLASIT,PPC,,2155,M,1,1,FALSE,FALSE,42.21,819,16.04,,1,1
AEMZ1663,2,0,1978,TIANGCHHUNGA,,Mizoram,SAIRANG,PPC,,1797,M,1,1,FALSE,FALSE,40.29,473,10.61,,1,1
AEMZ1669,2,0,1978,RUALZAPA,,Mizoram,PHULDUNGSEI,IND,,891,M,2,1,FALSE,FALSE,26.07,570,16.68,,,1
AEMZ1682,2,0,1978,THANMAWII,,Mizoram,SERCHHIP,PPC,,1824,F,1,1,FALSE,FALSE,41.2,119,2.69,,1,1
AEMZ1692,2,0,1978,LALSAWIA,,Mizoram,TLUNGVEL,PPC,,1741,M,2,1,FALSE,FALSE,39.93,1188,27.25,,,1
AEMZ1701,2,0,1978,LALSANGZUALA,,Mizoram,AIZAWL EAST,IND,,1635,M,2,1,FALSE,FALSE,29.23,437,7.81,,,1
AEMZ1710,2,0,1978,DR. THANTLUANGA,,Mizoram,AIZAWL SOUTH,PPC,,2073,M,2,1,FALSE,FALSE,32.05,1171,18.1,,,1
AEMZ1737,1,0,1972,HARI KRISTO CHAKMA,,Mizoram,DEMAGIRI,INC,,2126,M,1,2,FALSE,FALSE,89.29,1871,78.58,,2,2
AEMZ1737,2,0,1978,HARIKRISTO,,Mizoram,DEMAGIRI,IND,INC,1766,M,1,2,FALSE,TRUE,53.96,893,27.28,,2,2
AEMZ1785,1,0,1972,J. THANKUNGH,,Mizoram,RATU,IND,,1322,M,2,2,FALSE,FALSE,30.79,546,12.72,,1,2
AEMZ1785,2,0,1978,J. THANKUNGA,,Mizoram,RATU,PPC,IND,1758,M,1,2,FALSE,FALSE,38.53,857,18.78,,1,2
AEMZ1844,1,0,1972,VANLALHRVAIA,,Mizoram,AIZAWAL NORTH,IND,,1292,M,3,2,FALSE,FALSE,22.98,1068,18.99,,1,2
AEMZ1844,2,0,1978,VANLALHRUAIA,,Mizoram,KHAWHAI,PPC,IND,1418,M,1,2,FALSE,FALSE,36.28,90,2.3,,1,2
AEMZ300005,2,0,1978,LALTHANZAUVA,,Mizoram,SATEEK,PPC,,1335,M,1,1,FALSE,FALSE,30.21,98,2.22,,1,1
AEMZ5195377,2,0,1978,K. CHAWNGLIANA,ST,Mizoram,AAWNTUI,PPC,,2102,M,1,1,FALSE,FALSE,34.46,95,1.56,,1,1
AEMZ5195659,2,0,1978,SANGHLIRA COLBERT,,Mizoram,TAWI PUI,IND,,689,M,2,1,FALSE,FALSE,16.64,52,1.26,,,1
AEMZ5195703,2,0,1978,P.C. BAWITLUNGA,,Mizoram,AIZAWL NORTH,IND,,2308,M,2,1,FALSE,FALSE,35.97,1571,24.49,,,1
