pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMZ1298,3,0,1979,B. LALCHUNGUNGA,,Mizoram,TAWIPUI,GEN,PPC,,1995,M,1,1,FALSE,FALSE,43.02,138,2.98,,,1,1
AEMZ1397,3,0,1979,THAWLA,,Mizoram,TUIPANG,GEN,IND,,1724,M,2,1,FALSE,FALSE,32.62,630,11.92,,,,1
AEMZ1401,2,0,1978,PIANGLAWMA,,Mizoram,SANGAU,ST,IND,,334,M,5,2,FALSE,FALSE,8.09,103,2.49,,,,2
AEMZ1401,3,0,1979,PIANGLAWMA,,Mizoram,SANGAU,GEN,INC(I),IND,163,M,3,2,FALSE,FALSE,3.8,159,3.71,,,,2
AEMZ1407,3,0,1979,MADAN KUMAR,,Mizoram,CHAWNGTE,GEN,IND,,926,M,2,1,FALSE,FALSE,20.35,385,8.46,,,,1
AEMZ1417,3,0,1979,S. P. DEWAN,,Mizoram,DEMAGIRI,GEN,JNP,,73,M,4,1,FALSE,FALSE,2.04,0,0,,,,1
AEMZ1420,3,0,1979,THANCHUNGNUNGA,,Mizoram,BUARPUI,GEN,JNP,,223,M,3,1,FALSE,FALSE,8.02,0,0,,,,1
AEMZ1423,3,0,1979,THANSIAMA KHIANGTE,,Mizoram,LUNGLEI,GEN,JNP,,524,M,3,1,FALSE,FALSE,7.92,0,0,,,,1
AEMZ1427,3,0,1979,ELLIS SAIDENGA,,Mizoram,HNAHTHIAAL,GEN,PPC,,3648,M,1,1,FALSE,FALSE,52.38,1163,16.7,,,1,1
AEMZ1428,3,0,1979,K. L. ROICHAMA,,Mizoram,HNAHTHIAAL,GEN,INC(I),,2485,M,2,1,FALSE,FALSE,35.68,1674,24.03,,,,1
AEMZ1429,3,0,1979,C. LALTHIANGHLIMA,,Mizoram,HNAHTHIAAL,GEN,JNP,,811,M,3,1,FALSE,FALSE,11.64,790,11.34,,,,1
AEMZ1432,3,0,1979,LALNGHENGA,,Mizoram,N. VANLAIPHAI,GEN,PPC,,737,M,2,1,FALSE,FALSE,20.5,105,2.92,,,,1
AEMZ1435,3,0,1979,F. BIALZAUVA,,Mizoram,N. VANLAIPHAI,GEN,JNP,,560,M,5,1,FALSE,FALSE,15.58,356,9.9,,,,1
AEMZ1436,3,0,1979,F. ROCHHUNGA,,Mizoram,N. VANLAIPHAI,GEN,INC(I),,204,M,6,1,FALSE,FALSE,5.67,0,0,,,,1
AEMZ1437,3,1,1982,LAINGHENGA,,Mizoram,N.VANLAIPHAI,GEN,PPC,,1924,,1,1,FALSE,FALSE,54.12,974,27.4,,,1,1
AEMZ1440,3,0,1979,J. NGURDAWLA,,Mizoram,KHAWBUNG,GEN,PPC,,1188,M,1,1,FALSE,FALSE,26.41,45,1,,,1,1
AEMZ1448,3,0,1979,T. B. C. LIANDALA,,Mizoram,CHAMPHAI,GEN,PPC,,1239,M,4,1,FALSE,FALSE,20.24,984,16.08,,,,1
AEMZ1453,3,0,1979,KAWLNIA,,Mizoram,KHAWHAI,GEN,INC(I),,862,M,4,1,FALSE,FALSE,19.96,248,5.74,,,,1
AEMZ1458,3,0,1979,L. PIANDENGA,,Mizoram,SAITUAL,GEN,PPC,,1625,M,1,1,FALSE,FALSE,26.23,237,3.83,,,1,1
AEMZ1461,3,0,1979,V. L. THANGRUMA,,Mizoram,SAITUAL,GEN,INC(I),,1096,M,4,1,FALSE,FALSE,17.69,158,2.55,,,,1
AEMZ1462,3,0,1979,VANHELA,,Mizoram,SAITUAL,GEN,JNP,,938,M,5,1,FALSE,FALSE,15.14,923,14.9,,,,1
AEMZ1466,3,0,1979,SATINKHAMA,,Mizoram,NGOPA,GEN,JNP,,924,M,3,1,FALSE,FALSE,17.79,785,15.12,,,,1
AEMZ1472,3,0,1979,ZAKHAWLA,,Mizoram,SUANPUILAWN,GEN,JNP,,196,M,5,1,FALSE,FALSE,3,0,0,,,,1
AEMZ1475,3,0,1979,VANLAL RUATA RALTE,,Mizoram,RATU,GEN,JNP,,956,M,3,1,FALSE,FALSE,17,110,1.96,,,,1
AEMZ1479,3,0,1979,ROBERT LALCHHUANA,,Mizoram,KAWNPUI,GEN,INC(I),,2184,M,2,1,FALSE,FALSE,31.52,882,12.73,,,,1
AEMZ1481,3,0,1979,LALKUNGA,,Mizoram,KAWNPUI,GEN,JNP,,708,M,4,1,FALSE,FALSE,10.22,308,4.44,,,,1
