pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEMZ1047,5,0,1987,K. THANGKIMA,,Mizoram,BILKHAWTHLIR,PPC,,843,M,3,1,FALSE,FALSE,19.72,448,10.48,,,,1
AEMZ1090,5,0,1987,JOHN LALSANGZUALA,,Mizoram,AIZAWL SOUTH - II,INC,,2213,M,2,1,FALSE,FALSE,31.94,1403,20.25,,,,1
AEMZ1092,5,0,1987,AICHHINGA,,Mizoram,KOLASIB,IND,,2609,M,1,1,FALSE,FALSE,46.93,1124,20.22,,,1,1
AEMZ1115,5,0,1987,LAWBEI,,Mizoram,TUIPANG,IND,,2095,M,2,1,FALSE,FALSE,38.22,0,0,,,,1
AEMZ1116,1,0,1972,S. HIATO,ST,Mizoram,TUIPANG,IND,,1015,M,3,2,FALSE,FALSE,28.84,0,0,,,1,2
AEMZ1116,5,0,1987,S. HIATO,ST,Mizoram,SAIHA,INC,IND,3579,M,1,2,FALSE,FALSE,55.88,753,11.76,,,1,2
AEMZ1117,5,0,1987,ZAKHU,,Mizoram,SAIHA,IND,,2826,M,2,1,FALSE,FALSE,44.12,0,0,,,,1
AEMZ1122,5,0,1987,V. LUNGMUANA,,Mizoram,LAWNGTLAI,IND,,2461,M,2,1,FALSE,FALSE,29.8,12,0.15,,,,1
AEMZ1123,5,0,1987,C. THANGHLUNA,,Mizoram,LAWNGTLAI,PPC,,2449,M,3,1,FALSE,FALSE,29.66,2014,24.39,,,,1
AEMZ1126,5,0,1987,NIRUPAM CHAKMA,ST,Mizoram,CHAWNGTE,INC,,0,M,1,1,FALSE,FALSE,,0,,,,1,1
AEMZ1131,5,0,1987,P. LALBIAKA,,Mizoram,BUARPUI,INC,,1908,M,1,1,FALSE,FALSE,37.18,255,4.97,,,1,1
AEMZ1136,5,0,1987,K. MUANKIMA,,Mizoram,LUNGLEI SOUTH,INC,,1071,M,3,1,FALSE,FALSE,21.2,0,0,,,,1
AEMZ1137,5,0,1987,L. NGURCHHINA,,Mizoram,LUNGLEI NORTH,IND,,2514,M,1,1,FALSE,FALSE,44.08,711,12.47,,,1,1
AEMZ1139,5,0,1987,RODINGLIANA,,Mizoram,LUNGLEI NORTH,INC,,1206,M,3,1,FALSE,FALSE,21.15,1026,17.99,,,,1
