pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
,13,0,2018,H KHEHOVI,ST,Nagaland,SURUHOTO,BJP,,10860,M,1,2,FALSE,FALSE,82.2,8559,64.78,52,1,1
,13,0,2018,DR. KAITO JAKHALU,ST,Nagaland,SURUHOTO,NPF,BJP,2301,M,2,2,TRUE,FALSE,17.42,2250,17.03,36,1,1
AENL100,12,0,2013,KHRIEHU LIEZIETSU,ST,Nagaland,NORTHERN ANGAMI-I,NPF,,8232,M,1,2,FALSE,FALSE,57.55,2160,15.1,47,2,2
AENL100,13,0,2018,KHRIEHU LIEZIETSU,ST,Nagaland,NORTHERN ANGAMI-I,NPF,NPF,7782,M,1,2,FALSE,TRUE,59.32,2516,19.18,51,2,2
AENL103,13,0,2018,DR.KEKHRIELHOULIE YHOME,ST,Nagaland,NORTHERN ANGAMI-I,NDPP,,5266,M,2,1,FALSE,FALSE,40.14,5196,39.61,41,,1
AENL104,6,0,1987,NEIPHIU RIO,,Nagaland,NORTHERN ANGAMI-II,IND,,1928,M,2,8,FALSE,FALSE,21.93,80,0.91,,7,8
AENL104,7,0,1989,NEIPHIU RIO,,Nagaland,NORTHERN ANGAMI-II,INC,IND,4366,M,1,8,FALSE,FALSE,51.8,303,3.59,,7,8
AENL104,8,0,1993,NEIPHIU,,Nagaland,NORTHERN ANGAMI-II,INC,INC,5411,M,1,8,FALSE,TRUE,45.17,1100,9.18,,7,8
AENL104,9,0,1998,NEIPHIU RIO,,Nagaland,NORTHERN ANGAMI-II,INC,INC,0,M,1,8,FALSE,TRUE,,0,,,7,8
AENL104,10,0,2003,SHRI: NEIPHI-U RIO,,Nagaland,NORTHERN ANGAMI-II,NPF,INC,9882,M,1,8,TRUE,TRUE,67.6,6067,41.5,,7,8
AENL104,11,0,2008,NEIPHIU RIO,ST,Nagaland,NORTHERN ANGAMI-II,NPF,NPF,13641,M,1,8,FALSE,TRUE,82.57,10761,65.14,57,7,8
AENL104,12,0,2013,NEIPHIU RIO,ST,Nagaland,NORTHERN ANGAMI-II,NPF,NPF,15305,M,1,8,FALSE,TRUE,85.32,12671,70.63,62,7,8
AENL104,13,0,2018,NEIPHIU RIO,ST,Nagaland,NORTHERN ANGAMI-II,NDPP,NPF,0,M,1,8,TRUE,FALSE,,0,,67,7,8
AENL1056,6,0,1987,PHONGCHEKPHOM,,Nagaland,TAMLU,NPP,,43,M,3,6,FALSE,FALSE,0.65,0,0,,2,6
AENL1056,8,0,1993,B. PHONGSHAK PHOM,,Nagaland,TAMLU,INC,NPP,14000,M,1,6,TRUE,FALSE,68.5,7561,36.99,,2,6
AENL1056,9,0,1998,B.PHONGSHAK PHOM,,Nagaland,TAMLU,INC,INC,15120,M,1,6,FALSE,TRUE,56.1,3288,12.2,,2,6
AENL1056,10,0,2003,SHRI: PHONGSHAK,,Nagaland,TAMLU,JD(U),INC,6464,M,3,6,TRUE,TRUE,21.48,1776,5.9,,2,6
AENL1056,12,0,2013,B. PHONGSAK,ST,Nagaland,TAMLU,IND,JD(U),17,M,5,6,FALSE,FALSE,0.12,0,0,61,2,6
AENL1056,13,0,2018,B. PHONGSHAK PHOM,ST,Nagaland,TAMLU,NDPP,IND,5624,M,2,6,FALSE,FALSE,36.3,2462,15.89,59,2,6
AENL1060,6,0,1987,Y. B. ANGAM,,Nagaland,LONGLENG,NPP,,1955,M,4,4,FALSE,FALSE,21.7,0,0,,,4
AENL1060,10,0,2003,Y.B. ANGAM PHOM,,Nagaland,LONGLENG,BJP,NPP,7518,M,3,4,TRUE,FALSE,24.07,289,0.93,,,4
AENL1060,11,0,2008,Y.B. ANGAM,ST,Nagaland,LONGLENG,BJP,BJP,766,M,7,4,FALSE,FALSE,2.09,0,0,61,,4
AENL1060,13,0,2018,Y. B ANGAM PHOM,ST,Nagaland,LONGLENG,NPEP,BJP,8981,M,2,4,TRUE,FALSE,37.68,4342,18.22,61,,4
AENL107,13,0,2018,LOGUSENG SEMP,ST,Nagaland,TSEMINYU,NPF,,6871,M,3,1,FALSE,FALSE,31.26,6766,30.78,41,,1
AENL108,10,0,2003,SHRI: R. KHING,,Nagaland,TSEMINYU,JD(U),,8327,M,1,4,FALSE,FALSE,38.91,1715,8.01,,3,4
AENL108,11,0,2008,R. KHING,ST,Nagaland,TSEMINYU,NPF,JD(U),8216,M,1,4,TRUE,TRUE,33.71,66,0.27,58,3,4
AENL108,12,0,2013,R. KHING,ST,Nagaland,TSEMINYU,NPF,NPF,8444,M,2,4,FALSE,TRUE,34.48,1666,6.8,62,3,4
AENL108,13,0,2018,R. KHING,ST,Nagaland,TSEMINYU,NDPP,NPF,7925,M,1,4,TRUE,FALSE,36.05,863,3.93,67,3,4
AENL109,11,0,2008,ER. LEVI RENGMA,ST,Nagaland,TSEMINYU,IND,,8150,M,2,3,FALSE,FALSE,33.44,144,0.59,50,1,3
AENL109,12,0,2013,ER. LEVI RENGMA,ST,Nagaland,TSEMINYU,IND,IND,9212,M,1,3,FALSE,FALSE,37.62,768,3.14,54,1,3
AENL109,13,0,2018,ER. LEVI RENGMA,ST,Nagaland,TSEMINYU,NPEP,IND,7062,M,2,3,FALSE,TRUE,32.12,191,0.87,59,1,3
AENL111,13,0,2018,THAPIMO SEMY,ST,Nagaland,TSEMINYU,JD(U),,105,M,4,1,FALSE,FALSE,0.48,85,0.39,58,,1
AENL114,13,0,2018,DR. SUKHATO A. SEMA,ST,Nagaland,PUGHOBOTO,BJP,,6188,M,2,1,FALSE,FALSE,49.43,6132,48.98,60,,1
AENL117,11,0,2008,Y. VIKHEHO SWU,ST,Nagaland,PUGHOBOTO,NPF,,6421,M,2,3,FALSE,FALSE,41.46,4206,27.15,41,2,3
AENL117,12,0,2013,Y. VIKHEHO SWU,ST,Nagaland,PUGHOBOTO,NPF,NPF,7208,M,1,3,FALSE,FALSE,59.42,2286,18.85,47,2,3
AENL117,13,0,2018,Y. VIKHEHO SWU,ST,Nagaland,PUGHOBOTO,NPF,NPF,6258,M,1,3,FALSE,TRUE,49.99,70,0.56,52,2,3
AENL120,13,0,2018,KHRIELEZO BIO,ST,Nagaland,SOUTHERN ANGAMI-I,NPF,,1366,M,3,1,FALSE,FALSE,12.02,1029,9.05,55,,1
AENL125,11,0,2008,VIKHO-O YHOSHU,ST,Nagaland,SOUTHERN ANGAMI-I,NPF,,6774,M,1,3,FALSE,FALSE,57.5,1768,15.01,56,3,3
AENL125,12,0,2013,VIKHO-O YHOSHU,ST,Nagaland,SOUTHERN ANGAMI-I,NPF,NPF,8413,M,1,3,FALSE,TRUE,68.21,4492,36.42,61,3,3
AENL125,13,0,2018,VIKHO-O YHOSHÜ,ST,Nagaland,SOUTHERN ANGAMI-I,NDPP,NPF,5821,M,1,3,TRUE,TRUE,51.21,2082,18.31,66,3,3
AENL129,13,0,2018,ZALE NEIKHA,ST,Nagaland,SOUTHERN ANGAMI-II,NDPP,,7563,M,1,1,FALSE,FALSE,52.55,771,5.36,41,1,1
AENL133,5,0,1982,THINUCO,,Nagaland,PFUTSERO,NND,,2310,M,1,8,FALSE,FALSE,39.98,377,6.52,,4,8
AENL133,6,0,1987,JHENUCHO,,Nagaland,PFUTSERO,NND,NND,3543,M,1,8,FALSE,TRUE,51.84,252,3.69,,4,8
AENL133,7,0,1989,THENUCHO,,Nagaland,PFUTSERO,NPC,NND,3821,M,1,8,TRUE,TRUE,50.59,89,1.18,,4,8
AENL133,8,0,1993,THENUCHO,,Nagaland,PFUTSERO,NPC,NPC,5425,M,2,8,FALSE,TRUE,42.06,0,0,,4,8
AENL133,10,0,2003,SHRI: THENUCHO,,Nagaland,CHAZOUBA,NPF,NPC,6166,M,1,8,TRUE,FALSE,35.85,1871,10.88,,4,8
AENL133,11,0,2008,THENUCHO,ST,Nagaland,CHAZOUBA,NPF,NPF,7152,M,3,8,FALSE,TRUE,30.68,0,0,55,4,8
AENL133,12,0,2013,THENUCHO,ST,Nagaland,PFUTSERO,UNDP,NPF,4071,M,3,8,TRUE,FALSE,19.77,138,0.67,60,4,8
AENL133,13,0,2018,THENUCHO,ST,Nagaland,PFUTSERO,NPF,UNDP,4914,M,2,8,TRUE,FALSE,29.09,1129,6.68,65,4,8
AENL135,12,0,2013,NEIBA KRONU,ST,Nagaland,PFUTSERO,NPF,,6636,M,1,2,FALSE,FALSE,32.23,687,3.34,45,2,2
AENL135,13,0,2018,NEIBA KRONU,ST,Nagaland,PFUTSERO,NDPP,NPF,6228,M,1,2,TRUE,TRUE,36.87,1314,7.78,50,2,2
AENL138,12,0,2013,VIVOLIE KEZO,ST,Nagaland,PFUTSERO,IND,,3933,M,4,2,FALSE,FALSE,19.1,0,0,38,,2
