pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AENL1,1,0,1964,SHRI GOVINDA CH. PAIRA,,Nagaland,DIMAPUR TOWN,GEN,IND,,2226,M,1,2,FALSE,FALSE,56.38,504,12.77,,,2,2
AENL1,2,0,1969,GOBINDA CH . PAIRA,,Nagaland,DIMAPUR TOWN,GEN,NNO,IND,2672,M,1,2,FALSE,TRUE,58.91,808,17.81,,,2,2
AENL101,2,0,1969,MEZHUVILIE,,Nagaland,NORTHERN ANGAMI I,GEN,NNO,,724,M,2,1,FALSE,FALSE,23.61,120,3.91,,,,1
AENL105,2,0,1969,ZAKIEO METHA,,Nagaland,NORTHERN ANGAMI I I,GEN,UFN,,780,M,3,1,FALSE,FALSE,20.64,241,6.38,,,,1
AENL110,2,0,1969,HOSHETO SEMA,,Nagaland,PUGHOBOTO,GEN,IND,,1724,M,1,1,FALSE,FALSE,41.13,324,7.73,,,1,1
AENL1121,1,1,1966,K.V.KEDITSU,,Nagaland,NORTHERN ANGAMI (II),GEN,IND,,788,,1,2,FALSE,FALSE,56.41,179,12.81,,,2,2
AENL1121,2,0,1969,K . VITSORE KEDITSU,,Nagaland,NORTHERN ANGAMI I I,GEN,NNO,IND,1115,M,1,2,FALSE,TRUE,29.51,234,6.19,,,2,2
AENL113,2,0,1969,INAHO,,Nagaland,PUGHOBOTO,GEN,UFN,,430,M,4,1,FALSE,FALSE,10.26,0,0,,,,1
AENL119,2,0,1969,WEPRENYI KAPFO,,Nagaland,PFUTSERO,GEN,IND,,1489,M,1,1,FALSE,FALSE,48.05,487,15.71,,,1,1
AENL124,2,0,1969,PUNUHU,,Nagaland,CHAZOUBA I I,GEN,IND,,860,M,1,1,FALSE,FALSE,24.2,18,0.51,,,1,1
AENL127,2,0,1969,YEFUTSO,,Nagaland,CHAZOUBA I I,GEN,IND,,749,M,4,2,FALSE,FALSE,21.08,418,11.76,,,,1
AENL127,2,1,1971,YEFUTSO,,Nagaland,CHAZOUBA,GEN,IND,IND,1269,,2,2,FALSE,FALSE,28.24,17,0.38,,,,1
AENL132,2,0,1969,ZACHIRE,,Nagaland,PHEK,GEN,NNO,,521,M,4,1,FALSE,FALSE,12.74,45,1.1,,,,1
AENL134,2,0,1969,TAZUHU,,Nagaland,PHEK,GEN,UFN,,392,M,6,1,FALSE,FALSE,9.58,0,0,,,,1
AENL136,2,0,1969,SOYIE,,Nagaland,CHIZAMI,GEN,IND,,618,M,2,1,FALSE,FALSE,22.11,203,7.26,,,,1
AENL141,2,0,1969,MARHUTHO,,Nagaland,MELURI,GEN,UFN,,1072,M,1,1,FALSE,FALSE,35.1,264,8.64,,,1,1
AENL142,2,0,1969,MOSES,,Nagaland,MELURI,GEN,IND,,808,M,2,1,FALSE,FALSE,26.46,152,4.98,,,,1
AENL143,2,0,1969,THUNGCHAMO,,Nagaland,MELURI,GEN,NNO,,656,M,3,1,FALSE,FALSE,21.48,138,4.52,,,,1
AENL146,2,0,1969,LAKATO,,Nagaland,TULI,GEN,UFN,,1146,M,2,1,FALSE,FALSE,40.1,843,29.5,,,,1
AENL155,2,0,1969,TAKOMEREN,,Nagaland,MONGOYA,GEN,UFN,,984,M,1,1,FALSE,FALSE,36.94,23,0.86,,,1,1
