pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AENL1,1,0,1964,SHRI GOVINDA CH. PAIRA,,Nagaland,DIMAPUR TOWN,IND,,2226,M,1,3,FALSE,FALSE,56.38,504,12.77,,,2,3
AENL1,2,0,1969,GOBINDA CH . PAIRA,,Nagaland,DIMAPUR TOWN,NNO,IND,2672,M,1,3,FALSE,TRUE,58.91,808,17.81,,,2,3
AENL1,3,0,1974,GOBINDA CH. PAIRA,,Nagaland,DIMAPUR-I,UDF,NNO,1940,M,2,3,TRUE,TRUE,35,0,0,,,2,3
AENL101,2,0,1969,MEZHUVILIE,,Nagaland,NORTHERN ANGAMI I,NNO,,724,M,2,2,FALSE,FALSE,23.61,120,3.91,,,,2
AENL101,3,0,1974,MEZHU VILIE,,Nagaland,NORTHERN ANGAMI-I,NNO,NNO,1152,M,2,2,FALSE,FALSE,30.41,842,22.23,,,,2
AENL105,2,0,1969,ZAKIEO METHA,,Nagaland,NORTHERN ANGAMI I I,UFN,,780,M,3,2,FALSE,FALSE,20.64,241,6.38,,,,2
AENL105,3,0,1974,ZAKIEO METHA,,Nagaland,NORTHERN ANGAMI-II,NNO,UFN,1931,M,2,2,TRUE,FALSE,29.04,854,12.84,,,,2
AENL110,2,0,1969,HOSHETO SEMA,,Nagaland,PUGHOBOTO,IND,,1724,M,1,2,FALSE,FALSE,41.13,324,7.73,,,1,2
AENL110,3,0,1974,HOSHETO SEMA,,Nagaland,PUGHOBOTO,NNO,IND,1544,M,2,2,FALSE,TRUE,31.3,691,14.01,,,1,2
AENL1117,1,0,1964,SHRI VIZOL,,Nagaland,SOUTHERN ANGAMI I I,IND,,1696,M,1,2,FALSE,FALSE,60.18,574,20.37,,,2,2
AENL1117,3,0,1974,VIZOL,,Nagaland,SOUTHERN ANGAMI-II,UDF,IND,2410,M,1,2,FALSE,FALSE,63.57,1476,38.93,,,2,2
AENL1121,1,1,1966,K.V.KEDITSU,,Nagaland,NORTHERN ANGAMI (II),IND,,788,,1,3,FALSE,FALSE,56.41,179,12.81,,,3,3
AENL1121,2,0,1969,K . VITSORE KEDITSU,,Nagaland,NORTHERN ANGAMI I I,NNO,IND,1115,M,1,3,FALSE,TRUE,29.51,234,6.19,,,3,3
AENL1121,3,0,1974,K. V. KEDITSU,,Nagaland,NORTHERN ANGAMI-II,UDF,NNO,2201,M,1,3,TRUE,TRUE,33.1,270,4.06,,,3,3
AENL119,2,0,1969,WEPRENYI KAPFO,,Nagaland,PFUTSERO,IND,,1489,M,1,2,FALSE,FALSE,48.05,487,15.71,,,2,2
AENL119,3,0,1974,WEPRENYI KAPFO,,Nagaland,PFUTSERO,UDF,IND,1969,M,1,2,FALSE,TRUE,40.38,548,11.24,,,2,2
AENL12,1,0,1964,SHRI LONGBE,,Nagaland,PEREN,IND,,1624,M,1,2,FALSE,FALSE,74.46,1067,48.92,,,1,2
AENL12,3,0,1974,LONGBE,,Nagaland,PEREN,IND,IND,1456,M,2,2,FALSE,FALSE,32.73,697,15.67,,,1,2
AENL121,2,0,1969,VEPARI,,Nagaland,PFUTSERO,IND,,608,M,3,2,FALSE,FALSE,19.62,0,0,,,,2
AENL121,3,0,1974,VEPRARI,,Nagaland,PFUTSERO,IND,IND,1421,M,2,2,FALSE,FALSE,29.14,665,13.64,,,,2
AENL1311,3,0,1974,LIMATEMJEN,,Nagaland,MOKOKCHUNG TOWN,IND,,379,M,2,1,FALSE,FALSE,24.92,76,5,,,,1
AENL1312,2,0,1969,TSUKJEMWATI,,Nagaland,ARKAKONG,IND,,1012,M,3,2,FALSE,FALSE,25.29,515,12.87,,,,2
AENL1312,3,0,1974,TSUKJUMWATI,,Nagaland,ARKAKONG,UDF,IND,3374,M,2,2,FALSE,FALSE,48.93,0,0,,,,2
AENL136,2,0,1969,SOYIE,,Nagaland,CHIZAMI,IND,,618,M,2,2,FALSE,FALSE,22.11,203,7.26,,,,2
AENL136,3,0,1974,SOYIE,,Nagaland,CHIZAMI,IND,IND,1241,M,2,2,FALSE,FALSE,22.78,520,9.55,,,,2
AENL141,2,0,1969,MARHUTHO,,Nagaland,MELURI,UFN,,1072,M,1,2,FALSE,FALSE,35.1,264,8.64,,,1,2
AENL141,3,0,1974,MARHUTHO,,Nagaland,MELURI,NNO,UFN,1180,M,2,2,TRUE,TRUE,24.97,20,0.42,,,1,2
AENL158,2,0,1969,ASSAMWATI,,Nagaland,MOKOKCHUNG TOWN,NNO,,1492,M,1,2,FALSE,FALSE,57.19,741,28.4,,,1,2
AENL158,3,0,1974,ASSAMWATI,,Nagaland,MOKOKCHUNG TOWN,UDF,NNO,303,M,3,2,TRUE,TRUE,19.92,147,9.66,,,1,2
AENL16,1,0,1964,SHRI JASOKIE,,Nagaland,KOHIMA TOWN,IND,,2182,M,1,3,FALSE,FALSE,81.97,1740,65.36,,,3,3
AENL16,2,0,1969,JOHN BOSCO JASOKIE,,Nagaland,KOHIMA TOWN,NNO,IND,2253,M,1,3,FALSE,TRUE,65.38,1484,43.06,,,3,3
AENL16,3,0,1974,JOHN BOSCO JASOKIE,,Nagaland,KOHIMA TOWN,NNO,NNO,2776,M,1,3,FALSE,TRUE,65.47,1951,46.01,,,3,3
AENL162,2,0,1969,KILANGMEREN,,Nagaland,ANUGLENDEN,IND,,995,M,2,2,FALSE,FALSE,26.43,168,4.46,,,,2
AENL162,3,0,1974,KILANGMEREN,,Nagaland,AONGLENDEN,NNO,IND,1040,M,3,2,FALSE,FALSE,22.59,0,0,,,,2
AENL1661,3,0,1974,CHINGWANG,,Nagaland,WAKCHING,NNO,,2814,M,1,1,FALSE,FALSE,62.91,1563,34.94,,,1,1
AENL171,2,0,1969,M . KORAMOA JAMIR,,Nagaland,IMPUR,NNO,,2231,M,1,2,FALSE,FALSE,51.88,162,3.77,,,2,2
AENL171,3,0,1974,KORAMOA JAMIR,,Nagaland,IMPUR,NNO,NNO,2962,M,1,2,FALSE,TRUE,38.15,1016,13.08,,,2,2
AENL173,2,0,1969,I . ARIENBA,,Nagaland,JANGPETKONG,IND,,1513,M,1,2,FALSE,FALSE,40.86,90,2.43,,,1,2
AENL173,3,0,1974,ARIENBA,,Nagaland,JANGPETKONG,UDF,IND,1559,M,2,2,FALSE,TRUE,22.6,398,5.77,,,1,2
AENL187,2,0,1969,N . YESHITO SEMA,,Nagaland,ATOIZU,IND,,871,M,3,2,FALSE,FALSE,19.19,78,1.72,,,1,2
AENL187,3,0,1974,N. YESHITO CHISHI,,Nagaland,ATOIZU,IND,IND,2185,M,1,2,FALSE,FALSE,39.68,130,2.36,,,1,2
AENL214,2,0,1969,T . NCHIBEMO NGULLIE,,Nagaland,SANIS,UFN,,1147,M,2,2,FALSE,FALSE,39.52,591,20.37,,,,2
AENL214,3,0,1974,T. N. NGULLIE,,Nagaland,SANIS,IND,UFN,1243,M,2,2,FALSE,FALSE,24.16,430,8.36,,,,2
AENL2149,3,0,1974,ATOVI,,Nagaland,PUGHOBOTO,UDF,,853,M,3,1,FALSE,FALSE,17.29,0,0,,,,1
AENL2156,3,0,1974,HUSKA SUMI,,Nagaland,PUGHOBOTO,IND,,2536,M,1,1,FALSE,FALSE,51.41,992,20.11,,,1,1
