Party,Expanded_Party_Name
NNO,NAGALAND NATIONALIST ORGANISATION
UFN,UNITED FRONT OF NAGALAND
UDF,UNITED DEMOCRATIC FRONT
INC,INDIAN NATIONAL CONGRESS
NCN,NATIONAL CONVENTION OF NAGALAND
NND,NAGA NATIONAL DEMOCRATIC PARTY
NPP,NAGALAND PEOPLES PARTY
BJP,BHARATIYA JANATA PARTY
NPC,NAGALAND PEOPLES CONFERENCE
DLP,DEMOCRATIC LABOUR PARTY
NPF,NAGA PEOPLE'S FRONT
JD(U),JANATA DAL (UNITED)
NDM,NATIONALIST DEMOCRATIC MOVEMEN
NCP,NATIONALIST CONGRESS PARTY
SAP,SAMATA PARTY
NDPP,NATIONALIST DEMOCRATIC PROGRESSIVE PARTY
NPEP,NATIONAL PEOPLE'S PARTY
