pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEOD00000183,11,0,1995,SUNIL CHANDRA NAYAK,,Odisha,KOKSARA,INC,,24796,M,2,1,FALSE,FALSE,26.14,10988,11.58,,,1
AEOD000006,8,0,1980,LALIT KUMAR LENKA,,Odisha,BALIKUDA,BJP,,3229,M,3,2,FALSE,FALSE,5.14,1145,1.82,,,2
AEOD000006,11,0,1995,LALIT KUMAR LEWKA,,Odisha,BALIKUDA,BJP,BJP,2370,M,3,2,FALSE,FALSE,2.15,1678,1.52,,,2
AEOD000088,11,0,1995,KARTIK SAMANTRAY,,Odisha,JALESWAR,BJP,,4937,M,4,1,FALSE,FALSE,3.4,3229,2.23,,,1
AEOD000104,11,0,1995,RABINDRA KU. BEHERA,,Odisha,SALEPUR,INC,,44299,M,1,1,FALSE,FALSE,43.64,2093,2.06,,1,1
AEOD10001,5,0,1971,ARUN DEY,,Odisha,BALASORE,CPI,,4136,M,5,7,FALSE,FALSE,11.35,1480,4.06,,4,7
AEOD10001,6,0,1974,ARUN DEY,,Odisha,BALASORE,CPI,CPI,12620,M,1,7,FALSE,FALSE,24.73,692,1.36,,4,7
AEOD10001,7,0,1977,ARUN DEY,,Odisha,BALASORE,CPI,CPI,10509,M,2,7,FALSE,TRUE,25.12,1544,3.69,,4,7
AEOD10001,8,0,1980,ARUN DEY,,Odisha,BALASORE,CPI,CPI,21182,M,1,7,FALSE,FALSE,39.33,2617,4.86,,4,7
AEOD10001,9,0,1985,ARUN DAY,,Odisha,BALASORE,CPI,CPI,35761,M,2,7,FALSE,TRUE,47.29,33555,44.37,,4,7
AEOD10001,10,0,1990,ARUN DEY,,Odisha,BALASORE,CPI,CPI,77904,M,1,7,FALSE,FALSE,86.56,70691,78.54,,4,7
