pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEOD00000183,11,0,1995,SUNIL CHANDRA NAYAK,,Odisha,KOKSARA,INC,,24796,M,2,2,FALSE,FALSE,26.14,10988,11.58,,,,2
AEOD00000183,12,0,2000,SUNIL CHANDRA NAYAK,,Odisha,KOKSARA,INC,INC,16864,M,2,2,FALSE,FALSE,23.09,4531,6.2,,,,2
AEOD000056,12,0,2000,LAXMAN SOREN,,Odisha,BAHALDA,BJP,,23305,M,1,1,FALSE,FALSE,32.47,2060,2.87,,,1,1
AEOD000065,12,0,2000,DR. DHARANIDHAR NAYAK,,Odisha,HINDOL,AITC,,624,M,8,1,FALSE,FALSE,0.89,0,0,,,,1
AEOD000066,12,0,2000,KRUSHNA CHANDRA PATRA,,Odisha,DHENKANAL,BJP,,29762,M,1,1,FALSE,FALSE,34.59,4048,4.7,,,1,1
AEOD000097,12,1,2001,SANATAN BISI,,Odisha,RAIRAKHOL(SC),BJD,,45925,M,1,1,FALSE,FALSE,50.48,14581,16.03,,,1,1
AEOD10001,5,0,1971,ARUN DEY,,Odisha,BALASORE,CPI,,4136,M,5,8,FALSE,FALSE,11.35,1480,4.06,,,4,8
AEOD10001,6,0,1974,ARUN DEY,,Odisha,BALASORE,CPI,CPI,12620,M,1,8,FALSE,FALSE,24.73,692,1.36,,,4,8
AEOD10001,7,0,1977,ARUN DEY,,Odisha,BALASORE,CPI,CPI,10509,M,2,8,FALSE,TRUE,25.12,1544,3.69,,,4,8
AEOD10001,8,0,1980,ARUN DEY,,Odisha,BALASORE,CPI,CPI,21182,M,1,8,FALSE,FALSE,39.33,2617,4.86,,,4,8
AEOD10001,9,0,1985,ARUN DAY,,Odisha,BALASORE,CPI,CPI,35761,M,2,8,FALSE,TRUE,47.29,33555,44.37,,,4,8
AEOD10001,10,0,1990,ARUN DEY,,Odisha,BALASORE,CPI,CPI,77904,M,1,8,FALSE,FALSE,86.56,70691,78.54,,,4,8
AEOD10001,11,0,1995,ARUN DEY,,Odisha,BALASORE,IND,CPI,65426,M,1,8,FALSE,TRUE,46.37,16473,11.67,,,4,8
AEOD10001,12,0,2000,ARUN DEY,,Odisha,BALASORE,IND,IND,39604,M,2,8,FALSE,TRUE,30.45,6441,4.95,,,4,8
AEOD10073,5,0,1971,BIRAJAPRASAD MALLIK,,Odisha,BINJHARPUR,UTC,,8766,M,2,3,FALSE,FALSE,23.23,794,2.1,,,,3
AEOD10073,6,0,1974,BIRAJA PRASAD MALIK,,Odisha,BINJHARPUR,UTC,UTC,17888,M,2,3,FALSE,FALSE,43.17,15916,38.41,,,,3
AEOD10073,12,0,2000,BIRAJA PRASAD MALLIK,,Odisha,BINJHARPUR,JD(S),UTC,1488,M,5,3,TRUE,FALSE,1.68,703,0.8,,,,3
AEOD10077,5,0,1971,PRAFULLA CHANDRA GHADE,,Odisha,JAJPUR WEST,INC,,15016,M,1,8,FALSE,FALSE,35.35,2910,6.85,,,4,8
AEOD10077,6,0,1974,PRAFULLA CHANDRA GHADAI,,Odisha,KORAI,INC,INC,17753,M,2,8,FALSE,TRUE,32.97,14047,26.09,,,4,8
AEOD10077,7,0,1977,PRAFULLA CHANDRA CHARAI,,Odisha,KORAI,INC,INC,18996,M,2,8,FALSE,FALSE,39.45,0,0,,,4,8
AEOD10077,8,0,1980,PRAFULLA CHANDRA GHADEI,,Odisha,SUKINDA,IND,INC,8385,M,3,8,FALSE,FALSE,15.71,4782,8.96,,,4,8
AEOD10077,9,0,1985,PRAFULLA CHANDRA GHADAI,,Odisha,SUKINDA,JNP,IND,21489,M,2,8,FALSE,FALSE,30.97,7254,10.46,,,4,8
AEOD10077,10,0,1990,PRAFULLA CHANDRA GHADAI,,Odisha,SUKINDA,JD,JNP,54530,M,1,8,TRUE,FALSE,54.5,21976,21.96,,,4,8
AEOD10077,11,0,1995,PRAFULLACHANDRA GHADAI,,Odisha,SUKINDA,JD,JD,57812,M,1,8,FALSE,TRUE,45.81,6135,4.86,,,4,8
AEOD10077,12,0,2000,PRAFULLA CHANDRA GHADAI,,Odisha,SUKINDA,BJD,JD,75874,M,1,8,TRUE,TRUE,63.04,33189,27.58,,,4,8
AEOD10078,5,0,1971,ASHOK KUMAR DAS,,Odisha,JAJPUR WEST,SWA,,12106,M,2,8,FALSE,FALSE,28.5,1548,3.64,,,6,8
AEOD10078,6,0,1974,ASHOK KUMAR DAS,,Odisha,KORAI,UTC,SWA,29129,M,1,8,TRUE,FALSE,54.09,11376,21.13,,,6,8
