Party,Expanded_Party_Name
SWA,SWATANTRA PARTY
INC,INDIAN NATIONAL CONGRESS
JAC,JAN CONGRESS
PSP,PRAJA SOCIALIST PARTY
CPI,COMMUNIST PARTY OF INDIA
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
SSP,SANGHATA SOCIALIST PARTY
JKP,ALL INDIA JHARKHAND PARTY
UTC,UTKAL CONGRESS
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
JKD,JHARKHAND PARTY
JNP,JANTA PARTY
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
INC(I),INDIAN NATIONAL CONGRESS (I)
INC(U),INDIAN NATIONAL CONGRESS (U)
BJP,BHARATIYA JANATA PARTY
JNP(JP),JANATA PARTY (JP)
JMM,JHARKHAND MUKTI MORCHA
JD,JANATA DAL
JPP,JHARKHAND PEOPLE'S PARTY
BJD,BIJU JANATA DAL
AITC,ALL INDIA TRINAMOOL CONGRESS
JD(S),JANATA DAL (SECULAR)
NCP,NATIONALIST CONGRESS PARTY
OGP,ORISSA GANA PARISHAD
SKD,SAMATA KRANTI DAL
