Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
CPI,COMMUNIST PARTY OF INDIA
JS,JAN SANGH
PSP,PRAJA SOCIALIST PARTY
AD,AKALI DAL
SWA,SWATANTRA
HLS,HARIYANA LOK SAMITI
SOC,SOCIALIST
ADS,AKALI DAS SANT FATEH SINGH GROUP
BJS,BHARATIYA JAN SANGH
RPI,REPUBLIC PARTY OF INDIA
ADM,AKALI DAL MASTER TARA SINGH GROUP
CPM,COMMUNIST PARTY OF INDIA  (MARXIST)
SSP,SAMYUKTA SOCIALIST PARTY
SAD,SHIROMANI AKALI DAL
PJP,PUNJAB JANTA PARTY
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
BJP,BHARATIYA JANATA PARTY
BSP,BAHUJAN SAMAJ PARTY
JD,JANATA DAL
UCPI,UNITED COMMUNIST PARTY OF INDIA
IPF,INDIAN PEOPLES FRONT
SAD(M),SHIROMANI AKALI DAL (AMRITSAR)(SIMRANJIT SINGH MANN)
AAAP,AAM AADMI PARTY
LIP,LOK INSAAF PARTY
