pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEPY83301,1,0,1964,PERUMAL RAJA G.,,Puducherry,OUPALOM,IND,,3098,M,1,2,FALSE,FALSE,55.47,611,10.94,,2,2
AEPY83301,2,0,1969,G. PERUMAL RAJA,,Puducherry,COUROUSSOUCOUPOM,DMK,IND,4068,M,1,2,FALSE,TRUE,59.89,2518,37.07,,2,2
AEPY83396,1,0,1964,"RANGANATHAN, N.",,Puducherry,NELLITOPE,PF,,3627,M,1,2,FALSE,FALSE,50.11,16,0.22,,2,2
AEPY83396,2,0,1969,N.RANGANATHAN,,Puducherry,NELLITOPE,CPI,PF,4372,M,1,2,TRUE,TRUE,57.11,1613,21.07,,2,2
AEPY83549,2,0,1969,D. RAMACHANDRAN,,Puducherry,NETTAPACOM,DMK,,3545,M,1,1,FALSE,FALSE,51.1,152,2.19,,1,1
AEPY83727,2,0,1969,M. THANGAPRAGASAM,,Puducherry,MOUTTALPETH,INC,,2636,M,2,1,FALSE,FALSE,44.48,0,0,,,1
AEPY83729,2,0,1969,N. GOVINDARAJ,,Puducherry,COUROUSSOUCOUPOM,INC,,1550,M,2,1,FALSE,FALSE,22.82,375,5.52,,,1
AEPY83731,2,0,1969,P. ANSARI DORASAMY,,Puducherry,CASSICADE,INC,,2721,M,1,1,FALSE,FALSE,60.33,1312,29.09,,1,1
AEPY83732,2,0,1969,R. AZHWAR,,Puducherry,CASSICADE,CPI,,1409,M,2,1,FALSE,FALSE,31.24,1029,22.82,,,1
AEPY83734,2,0,1969,D. KANTHARAJ,,Puducherry,RAJ NIVAS,INC,,1766,M,1,1,FALSE,FALSE,51.62,111,3.24,,1,1
AEPY83735,2,0,1969,S. SADAGOPAN,,Puducherry,RAJ NIVAS,DMK,,1655,M,2,1,FALSE,FALSE,48.38,0,0,,,1
AEPY83737,2,0,1969,M.J. VINCENT,,Puducherry,BUSSY,INC,,740,M,2,1,FALSE,FALSE,24.06,0,0,,,1
AEPY83738,2,0,1969,S. GOVINDARAJALU,,Puducherry,OUPALOM,DMK,,2676,M,1,1,FALSE,FALSE,46.59,946,16.47,,1,1
AEPY83739,2,0,1969,K. KARUNAKARAN,,Puducherry,OUPALOM,IND,,1730,M,2,1,FALSE,FALSE,30.12,392,6.82,,,1
AEPY83740,2,0,1969,N. RANGARAJAH,,Puducherry,OUPALOM,INC,,1338,M,3,1,FALSE,FALSE,23.29,0,0,,,1
AEPY83742,2,0,1969,B. CHANDRASEKARAN,,Puducherry,NELLITOPE,INC,,2759,M,2,1,FALSE,FALSE,36.04,2235,29.2,,,1
AEPY83744,2,0,1969,Y. KAILASA SURBIAN,,Puducherry,MODELIARPETH,CPI,,4748,M,1,1,FALSE,FALSE,62.01,1839,24.02,,1,1
AEPY83745,2,0,1969,A.S. JANAKIPAMAN,,Puducherry,MODELIARPETH,INC,,2909,M,2,1,FALSE,FALSE,37.99,0,0,,,1
AEPY83746,2,0,1969,S. PERUMAL,,Puducherry,ARIANCOUPOM,DMK,,3774,M,1,1,FALSE,FALSE,50.11,16,0.21,,1,1
