pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEPY81971,3,0,1974,"PETHAPERUMAL, V.",,Puducherry,THATTANCHAVADY,GEN,NCO,,3468,M,1,3,FALSE,FALSE,46.85,758,10.24,,,3,3
AEPY81971,4,0,1977,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,GEN,JNP,NCO,4669,M,1,3,TRUE,TRUE,54.46,2664,31.07,,,3,3
AEPY81971,5,0,1980,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,GEN,JNP,JNP,4824,M,1,3,FALSE,TRUE,48.85,2270,22.99,,,3,3
AEPY82399,5,0,1980,V. VAITHILINGAM,,Puducherry,NETTAPAKKAM,GEN,INC(I),,4076,M,2,1,FALSE,FALSE,48.4,3932,46.69,,,,1
AEPY82766,4,0,1977,G. PANJAVARNAM,,Puducherry,COTCHERY,GEN,IND,,1674,M,2,2,FALSE,FALSE,20.83,507,6.31,,,1,2
AEPY82766,5,0,1980,G. PANJAVARNAM,,Puducherry,COTCHERY,GEN,DMK,IND,4133,M,1,2,FALSE,FALSE,49.93,1629,19.68,,,1,2
AEPY82799,5,0,1980,A. V. SREEDHARAN,,Puducherry,PALLOOR,GEN,INC(U),,2467,M,2,1,FALSE,FALSE,44.1,1927,34.45,,,,1
AEPY82920,5,0,1980,A. RAMAMURTHY,,Puducherry,BAHOUR,SC,CPI,,2562,M,2,1,FALSE,FALSE,31.7,1649,20.4,,,,1
AEPY83001,3,0,1974,A. SOUNDARARENGAN,,Puducherry,TIRUNALLAR,GEN,DMK,,3742,M,1,3,FALSE,FALSE,49.31,1031,13.59,,,1,3
AEPY83001,4,0,1977,A. SOUNDARANGAN,,Puducherry,TIRUNALLAR,GEN,ADK,DMK,2376,M,2,3,TRUE,TRUE,30.49,565,7.25,,,1,3
AEPY83001,5,0,1980,A. SOUNDARARENGAM,,Puducherry,TIRUNALLAR,GEN,ADK,ADK,3400,M,2,3,FALSE,FALSE,42.29,2771,34.47,,,1,3
AEPY83213,5,0,1980,M. CHANDIRAKASU,,Puducherry,NEDUNCADU,SC,INC(I),,4981,M,1,1,FALSE,FALSE,65.23,3230,42.3,,,1,1
AEPY83256,5,0,1980,P. K. LOGANATHAN,,Puducherry,ORLEAMPETH,GEN,ADK,,2820,M,2,1,FALSE,FALSE,29.43,2247,23.45,,,,1
AEPY83291,5,0,1980,P. CATTAVARAYANE,,Puducherry,THIRUBUVANAI,SC,INC(I),,6001,M,1,1,FALSE,FALSE,72.08,3732,44.83,,,1,1
AEPY83301,1,0,1964,PERUMAL RAJA G.,,Puducherry,OUPALOM,GEN,IND,,3098,M,1,5,FALSE,FALSE,55.47,611,10.94,,,4,5
AEPY83301,2,0,1969,G. PERUMAL RAJA,,Puducherry,COUROUSSOUCOUPOM,GEN,DMK,IND,4068,M,1,5,FALSE,TRUE,59.89,2518,37.07,,,4,5
AEPY83301,3,0,1974,"PERUMAL RAJA, G.",,Puducherry,REDDIAPALAYAM,GEN,DMK,DMK,1365,M,3,5,FALSE,TRUE,17.99,0,0,,,4,5
AEPY83301,4,0,1977,G. PERUMAL RAJA,,Puducherry,OZHUKARAI,GEN,DMK,DMK,2477,M,1,5,FALSE,FALSE,31.68,261,3.34,,,4,5
AEPY83301,5,0,1980,G. PERUMAL RAJA,,Puducherry,OZHUKARAI,GEN,DMK,DMK,5493,M,1,5,FALSE,TRUE,66.06,2808,33.77,,,4,5
AEPY83320,5,0,1980,V. M. SALIH MARICAR,,Puducherry,KARAIKAL,GEN,IND,,4778,M,1,1,FALSE,FALSE,55.25,2584,29.88,,,1,1
AEPY83356,5,0,1980,A. V. VAITHILINGAM,,Puducherry,MUTHIALPET,GEN,ADK,,3456,M,2,1,FALSE,FALSE,29.77,2851,24.56,,,,1
AEPY83359,5,0,1980,V. KATHIRVELU,,Puducherry,CASSICADE,GEN,INC(I),,3948,M,1,1,FALSE,FALSE,51.63,2232,29.19,,,1,1
AEPY83369,5,0,1980,L. JOSEPH MARIADASS,,Puducherry,RAJ BHAVAN,GEN,DMK,,1880,M,1,1,FALSE,FALSE,45.92,798,19.49,,,1,1
AEPY83377,5,0,1980,R. P. JOSEPH,,Puducherry,BUSSY,GEN,ADK,,716,M,2,1,FALSE,FALSE,17.14,247,5.91,,,,1
AEPY83382,3,0,1974,"PARTHASARATHY, C. N.",,Puducherry,OUPALAM,GEN,ADK,,3198,M,1,3,FALSE,FALSE,46.84,1086,15.91,,,2,3
AEPY83382,4,0,1977,C. N. PATHASARATHY,,Puducherry,OUPALAM,GEN,ADK,ADK,2551,M,1,3,FALSE,TRUE,36.69,247,3.55,,,2,3
AEPY83382,5,0,1980,C. N. PARTHASARATHY,,Puducherry,OUPALAM,GEN,ADK,ADK,2177,M,2,3,FALSE,TRUE,28.14,2125,27.47,,,2,3
AEPY83394,5,0,1980,P. RAMALINGAM,,Puducherry,NELLITHOPE,GEN,DMK,,4019,M,1,1,FALSE,FALSE,53.8,1909,25.56,,,1,1
AEPY83395,5,0,1980,B. MANIMARAN,,Puducherry,NELLITHOPE,GEN,ADK,,2110,M,2,1,FALSE,FALSE,28.25,1100,14.73,,,,1
AEPY83402,5,0,1980,D. B. GOVINDAN,,Puducherry,MODELIARPETH,GEN,CPM,,2306,M,3,1,FALSE,FALSE,21.22,1953,17.97,,,,1
AEPY83410,5,0,1980,N. RAMAJAYAM,,Puducherry,EMBALOM,SC,ADK,,1773,M,2,1,FALSE,FALSE,24.06,1286,17.45,,,,1
AEPY83421,5,0,1980,D. BREM JEYANDAN,,Puducherry,BAHOUR,SC,DMK,,913,M,3,1,FALSE,FALSE,11.3,460,5.69,,,,1
AEPY83424,5,0,1980,D. ANNAMALAI,,Puducherry,THIRUBUVANAI,SC,ADK,,2269,M,2,1,FALSE,FALSE,27.26,2214,26.59,,,,1
AEPY83427,5,0,1980,S. MANICKAVACHAKAN,,Puducherry,MANNADIPETH,GEN,ADK,,3566,M,2,1,FALSE,FALSE,38.91,0,0,,,,1
AEPY83428,5,0,1980,P. MURTHY,,Puducherry,OSSUDU,SC,DMK,,5122,M,1,1,FALSE,FALSE,66.48,2748,35.67,,,1,1
AEPY83429,5,0,1980,K. DHAKSHINAMURTHY,,Puducherry,OSSUDU,SC,ADK,,2374,M,2,1,FALSE,FALSE,30.82,2166,28.12,,,,1
AEPY83431,5,0,1980,M. VENUGOPAL,,Puducherry,VILLENOUR,GEN,DMK,,3810,M,1,1,FALSE,FALSE,44.23,745,8.65,,,1,1
AEPY83432,5,0,1980,S. SELLAPPAN ALIAS MEENAKSHISUNDARAM,,Puducherry,VILLENOUR,GEN,ADK,,3065,M,2,1,FALSE,FALSE,35.58,1326,15.39,,,,1
AEPY83435,5,0,1980,R. SOMASIMDARA,,Puducherry,OZHUKARAI,GEN,ADK,,2685,M,2,1,FALSE,FALSE,32.29,2588,31.12,,,,1
AEPY83440,5,0,1980,N. KANDEBAN,,Puducherry,THATTANCHAVADY,GEN,CPI,,2554,M,2,1,FALSE,FALSE,25.86,57,0.58,,,,1
AEPY83441,5,0,1980,A. R. SOOSAIRAJ,,Puducherry,THATTANCHAVADY,GEN,INC(I),,2497,M,3,1,FALSE,FALSE,25.29,0,0,,,,1
AEPY83442,5,0,1980,RENUKA APPADURAI,,Puducherry,REDDIARPALAYAM,GEN,INC(I),,5409,F,1,1,FALSE,FALSE,52.49,2893,28.07,,,1,1
