pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEPY81947,7,0,1990,P. ANANDA BASKARAN,,Puducherry,VILLENOUR,INC,,8442,M,1,1,FALSE,FALSE,54.3,3736,24.03,,,1,1
AEPY81971,3,0,1974,"PETHAPERUMAL, V.",,Puducherry,THATTANCHAVADY,NCO,,3468,M,1,5,FALSE,FALSE,46.85,758,10.24,,,5,5
AEPY81971,4,0,1977,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,JNP,NCO,4669,M,1,5,TRUE,TRUE,54.46,2664,31.07,,,5,5
AEPY81971,5,0,1980,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,JNP,JNP,4824,M,1,5,FALSE,TRUE,48.85,2270,22.99,,,5,5
AEPY81971,6,0,1985,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,JNP,JNP,6228,M,1,5,FALSE,TRUE,44.66,2302,16.51,,,5,5
AEPY81971,7,0,1990,V. PETHAPERUMAL,,Puducherry,THATTANCHAVADY,JD,JNP,9503,M,1,5,TRUE,TRUE,51.31,982,5.3,,,5,5
AEPY82045,6,0,1985,R.V.JANAKIRAMAN,,Puducherry,NELLITHOPE,DMK,,5526,M,1,2,FALSE,FALSE,51.78,1036,9.71,,,2,2
AEPY82045,7,0,1990,R. V. JANKIRAMAN,,Puducherry,NELLITHOPE,DMK,DMK,6601,M,1,2,FALSE,TRUE,41.58,530,3.34,,,2,2
AEPY82257,7,0,1990,R. VISWANATHAN,,Puducherry,REDDIARPALAYAM,CPI,,11153,M,1,1,FALSE,FALSE,50.82,2671,12.17,,,1,1
AEPY82354,6,0,1985,S. BABU ANSARDEEN,,Puducherry,BUSSY,DMK,,1516,M,2,2,FALSE,FALSE,36.42,1252,30.08,,,,2
AEPY82354,7,0,1990,S. BABU ANSARDEEN,,Puducherry,BUSSY,DMK,DMK,2463,M,2,2,FALSE,FALSE,44.2,2233,40.07,,,,2
AEPY82399,5,0,1980,V. VAITHILINGAM,,Puducherry,NETTAPAKKAM,INC(I),,4076,M,2,3,FALSE,FALSE,48.4,3932,46.69,,,2,3
AEPY82399,6,0,1985,V. VAITHILINGAM,,Puducherry,NETTAPAKKAM,INC,INC(I),6946,M,1,3,TRUE,FALSE,72.94,4369,45.88,,,2,3
AEPY82399,7,0,1990,V. VAITHILINGAM,,Puducherry,NETTAPAKKAM,INC,INC,7332,M,1,3,FALSE,TRUE,55.34,4139,31.24,,,2,3
AEPY82503,6,0,1985,R. KAMALAKKANNAN,,Puducherry,TIRUNALLAR,DMK,,3475,M,2,2,FALSE,FALSE,36.99,2150,22.88,,,1,2
AEPY82503,7,0,1990,R. KAMALAKKANNAN,,Puducherry,TIRUNALLAR,IND,DMK,4124,M,1,2,FALSE,FALSE,35.7,426,3.69,,,1,2
AEPY82766,4,0,1977,G. PANJAVARNAM,,Puducherry,COTCHERY,IND,,1674,M,2,4,FALSE,FALSE,20.83,507,6.31,,,1,4
AEPY82766,5,0,1980,G. PANJAVARNAM,,Puducherry,COTCHERY,DMK,IND,4133,M,1,4,FALSE,FALSE,49.93,1629,19.68,,,1,4
AEPY82766,6,0,1985,G. PANJAVARNAM,,Puducherry,COTCHERY,DMK,DMK,4441,M,2,4,FALSE,TRUE,43.02,4334,41.99,,,1,4
