Party,Expanded_Party_Name
CONG,CONGRESS
PF,PEOPLES FRONT
INC,INDIAN NATIONAL CONGRESS
DMK,DRAVIDA MUNNETRA KAZHAGAM
CPI,COMMUNIST PARTY OF INDIA
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
BJP,BHARATIYA JANATA PARTY
PMK,PATTALI MAKKAL KATCHI
JD,JANATA DAL
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
MDMK,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
TMC(M),TAMIL MAANILA CONGRESS (MOOPANAR)
PMC,PUDHUCHERRY MAKKAL CONGRESS
AINRC,ALL INDIA N.R. CONGRESS
