pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AERJ1004,4,0,1967,M. SINGH,,Rajasthan,SADULPUR,GEN,CPM,,10620,M,2,5,FALSE,FALSE,23.09,618,1.34,,,,5
AERJ1004,5,0,1972,MOHAR SINGH,,Rajasthan,SADULPUR,GEN,CPM,CPM,6571,M,3,5,FALSE,FALSE,11.73,3585,6.4,,,,5
AERJ1004,6,0,1977,MOHAR SINGH,,Rajasthan,SADULPUR,GEN,CPM,CPM,2980,M,4,5,FALSE,FALSE,6.46,2217,4.8,,,,5
AERJ1004,7,0,1980,MOHAR SINGH,,Rajasthan,SADULPUR,GEN,CPM,CPM,1885,M,4,5,FALSE,FALSE,3.26,1144,1.98,,,,5
AERJ1004,8,0,1985,MOHAR SINGH,,Rajasthan,SADULPUR,GEN,LKD,CPM,2989,M,4,5,TRUE,FALSE,4.65,2722,4.23,,,,5
AERJ1011,4,0,1967,SURAJMAL,,Rajasthan,SURAJGARH,SC,SWA,,15589,M,1,4,FALSE,FALSE,40.02,1239,3.18,,,1,4
AERJ1011,5,0,1972,SURAJ MAL,,Rajasthan,SURAJGARH,SC,IND,SWA,9451,M,2,4,FALSE,TRUE,23.55,4944,12.32,,,1,4
AERJ1011,7,0,1980,SURAJ MAL,,Rajasthan,SURAJGARH,SC,JNP(SC),IND,17292,M,2,4,FALSE,FALSE,32.81,12122,23,,,1,4
AERJ1011,8,0,1985,SURAJ MAL,,Rajasthan,SURAJGARH,SC,LKD,JNP(SC),31645,M,2,4,TRUE,FALSE,41.96,29943,39.7,,,1,4
AERJ1018,3,0,1962,SHISI RAM OLA,,Rajasthan,KHETRI,GEN,INC,,10626,M,1,6,FALSE,FALSE,33.31,64,0.2,,,5,6
AERJ1018,4,0,1967,S.R. OLA,,Rajasthan,KHETRI,GEN,INC,INC,17447,M,2,6,FALSE,TRUE,40.52,16479,38.27,,,5,6
AERJ1018,5,0,1972,SHEESH RAM OLA,,Rajasthan,PILANI,GEN,INC,INC,22596,M,1,6,FALSE,FALSE,45.5,109,0.22,,,5,6
AERJ1018,6,0,1977,SHEESH RAM OLA,,Rajasthan,PILANI,GEN,INC,INC,22820,M,1,6,FALSE,TRUE,43.25,3180,6.03,,,5,6
AERJ1018,7,0,1980,SHISH RAM OLA,,Rajasthan,JHUNJHUNU,GEN,INC(I),INC,31192,M,1,6,FALSE,TRUE,52.44,7430,12.49,,,5,6
AERJ1018,8,0,1985,SHISH RAM OLA,,Rajasthan,JHUNJHUNU,GEN,INC,INC(I),47039,M,1,6,FALSE,TRUE,63.11,24465,32.83,,,5,6
AERJ1046,3,0,1962,TRILOK SINGH,,Rajasthan,LACHHMANGARH,GEN,CPI,,9410,M,2,6,FALSE,FALSE,26.84,811,2.31,,,1,6
AERJ1046,4,0,1967,T. SINGH,,Rajasthan,FATEHPUR,GEN,CPM,CPI,3404,M,4,6,TRUE,FALSE,7.34,2446,5.28,,,1,6
AERJ1046,5,0,1972,TRILOK SINGH,,Rajasthan,FATEHPUR,GEN,CPM,CPM,3267,M,3,6,FALSE,FALSE,6.34,970,1.88,,,1,6
AERJ1046,6,0,1977,TRILOK SINGH,,Rajasthan,FATEHPUR,GEN,CPM,CPM,2946,M,4,6,FALSE,FALSE,6.11,24,0.05,,,1,6
AERJ1046,7,0,1980,TRILOK SINGH,,Rajasthan,FATEHPUR,GEN,CPM,CPM,18463,M,1,6,FALSE,FALSE,31.85,8996,15.52,,,1,6
AERJ1046,8,0,1985,TRILOK SINGH,,Rajasthan,FATEHPUR,GEN,CPM,CPM,1756,M,4,6,FALSE,TRUE,2.32,1114,1.47,,,1,6
AERJ1154,4,0,1967,S. RAM,,Rajasthan,KOTPUTLI,GEN,SWA,,14602,M,1,4,FALSE,FALSE,36.54,3645,9.12,,,2,4
AERJ1154,5,0,1972,SHRIRAM,,Rajasthan,KOTPUTLI,GEN,INC,SWA,11659,M,2,4,TRUE,TRUE,29.02,638,1.59,,,2,4
AERJ1154,7,0,1980,SHRIRAM,,Rajasthan,KOTPUTLI,GEN,INC(I),INC,13389,M,1,4,FALSE,FALSE,24.27,161,0.29,,,2,4
AERJ1154,8,0,1985,SHRI RAM,,Rajasthan,KOTPUTLI,GEN,INC,INC(I),12400,M,3,4,FALSE,TRUE,17.62,6122,8.7,,,2,4
AERJ1186,4,0,1967,S. RAM,,Rajasthan,KHAIRTHAL,SC,CPI,,6290,M,3,5,FALSE,FALSE,18.59,2659,7.86,,,3,5
AERJ1186,5,0,1972,SAMPAT RAM,,Rajasthan,KHAIRTHAL,SC,INC,CPI,31076,M,1,5,TRUE,FALSE,64.67,22632,47.1,,,3,5
AERJ1186,6,0,1977,SAMPAT RAM,,Rajasthan,KHAIRTHAL,SC,JNP,INC,16479,M,1,5,TRUE,TRUE,49.92,7379,22.35,,,3,5
AERJ1186,7,0,1980,SAMPAT RAM,,Rajasthan,KHAIRTHAL,SC,INC(U),JNP,21099,M,1,5,TRUE,TRUE,52.09,4399,10.86,,,3,5
AERJ1186,8,0,1985,SAMPAT RAM,,Rajasthan,KHAIRTHAL,SC,BJP,INC(U),21785,M,2,5,TRUE,TRUE,43.82,19437,39.09,,,3,5
AERJ11913,7,0,1980,AMRA RAM,,Rajasthan,PACHPADRA,GEN,INC(I),,31677,M,1,2,FALSE,FALSE,59.32,9953,18.64,,,1,2
AERJ11913,8,0,1985,AMRA RAM,,Rajasthan,PACHPADRA,GEN,INC,INC(I),31885,M,2,2,FALSE,TRUE,46.02,29034,41.91,,,1,2
AERJ1220,4,0,1967,S. LAL,,Rajasthan,RAJGARH,ST,SWA,,20537,M,1,5,FALSE,FALSE,55.03,5534,14.83,,,3,5
AERJ1220,5,0,1972,SAMRATH LAL,,Rajasthan,RAJGARH,ST,INC,SWA,20675,M,2,5,TRUE,TRUE,42.63,17346,35.77,,,3,5
AERJ1220,6,0,1977,SAMARTH LAL,,Rajasthan,RAJGARH,ST,IND,INC,17545,M,1,5,FALSE,FALSE,40.09,5346,12.22,,,3,5
AERJ1220,7,0,1980,SAMRATH LAL,,Rajasthan,RAJGARH,ST,BJP,IND,23379,M,1,5,FALSE,TRUE,48.1,150,0.31,,,3,5
AERJ1220,8,0,1985,SAMRATH LAL,,Rajasthan,RAJGARH,ST,BJP,BJP,18925,M,2,5,FALSE,TRUE,34.15,17584,31.73,,,3,5
AERJ12403,8,0,1985,ASK ALI,,Rajasthan,FATEHPUR,GEN,INC,,36143,M,1,1,FALSE,FALSE,47.83,4800,6.35,,,1,1
AERJ12476,5,0,1972,KESHAR DEO,,Rajasthan,LACHHMANGARH,SC,SWA,,19031,M,1,3,FALSE,FALSE,49.74,684,1.79,,,2,3
AERJ12476,6,0,1977,KEHSWAR DEV,,Rajasthan,NAWALGARH,GEN,IND,SWA,15972,M,2,3,FALSE,TRUE,31.42,7574,14.9,,,2,3
AERJ12476,8,0,1985,KESHAR DEO,,Rajasthan,LACHHMANGARH,SC,LKD,IND,39069,M,1,3,FALSE,FALSE,49.34,2595,3.28,,,2,3
AERJ12541,8,0,1985,SAHDEV SHARMA,,Rajasthan,JAIPUR RURAL,GEN,INC,,20199,M,2,1,FALSE,FALSE,40.28,19567,39.02,,,,1
AERJ1286,4,0,1967,BANWARILAL,,Rajasthan,DHOLPUR,GEN,INC,,20717,M,1,5,FALSE,FALSE,45.97,501,1.11,,,3,5
AERJ1286,5,0,1972,BANWARI LAL,,Rajasthan,DHOLPUR,GEN,INC,INC,32572,M,1,5,FALSE,TRUE,55.84,10075,17.27,,,3,5
AERJ1286,6,0,1977,BANWARI LAL,,Rajasthan,DHOLPUR,GEN,INC,INC,18935,M,2,5,FALSE,TRUE,36.19,12620,24.12,,,3,5
AERJ1286,7,0,1980,BANWARI LAL,,Rajasthan,DHOLPUR,GEN,INC(I),INC,27069,M,1,5,FALSE,FALSE,43.06,2775,4.41,,,3,5
AERJ1286,8,0,1985,BANWARI LAL,,Rajasthan,DHOLPUR,GEN,INC,INC(I),26494,M,2,5,FALSE,TRUE,33.68,25269,32.12,,,3,5
AERJ13006,7,0,1980,KIRORI LAL,,Rajasthan,MAHUWA,GEN,BJP,,18689,M,2,2,FALSE,FALSE,36.01,14381,27.71,,,1,2
AERJ13006,8,0,1985,KIRODI LAL,,Rajasthan,MAHUWA,GEN,BJP,BJP,37101,M,1,2,FALSE,FALSE,50.07,1632,2.2,,,1,2
AERJ13079,8,0,1985,LALIT BHATI,,Rajasthan,KEKRI,SC,INC,,23586,M,1,1,FALSE,FALSE,46.85,3049,6.06,,,1,1
AERJ13086,8,0,1985,NEELIMA,,Rajasthan,BHINAI,GEN,INC,,19581,F,1,1,FALSE,FALSE,47.56,8713,21.16,,,1,1
AERJ1313,4,0,1967,C. LAL,,Rajasthan,KHANDAR,SC,SWA,,15974,M,1,5,FALSE,FALSE,57.19,6512,23.31,,,3,5
AERJ1313,5,0,1972,CHUNI LAL,,Rajasthan,KHANDAR,SC,SWA,SWA,6593,M,2,5,FALSE,TRUE,24.47,2330,8.65,,,3,5
AERJ1313,6,0,1977,CHUNNI LAL,,Rajasthan,KHANDAR,SC,JNP,SWA,23187,M,1,5,TRUE,FALSE,64.16,12801,35.42,,,3,5
AERJ1313,7,0,1980,CHUNNI LAL,,Rajasthan,KHANDAR,SC,BJP,JNP,15035,M,1,5,TRUE,TRUE,42.92,3370,9.62,,,3,5
AERJ1313,8,0,1985,CHUNNI LAL JALIYA,,Rajasthan,KHANDAR,SC,BJP,BJP,21345,M,2,5,FALSE,TRUE,46.75,20381,44.64,,,3,5
AERJ1425,4,0,1967,N. LAL,,Rajasthan,PATAN,SC,INC,,11630,M,1,3,FALSE,FALSE,44.39,139,0.53,,,2,3
AERJ1425,5,0,1972,NAND LAL BAIRWA,,Rajasthan,PATAN,SC,INC,INC,23577,M,1,3,FALSE,TRUE,67.64,13346,38.29,,,2,3
AERJ1425,8,0,1985,NAND LAL,,Rajasthan,PATAN,SC,INC,INC,19108,M,2,3,FALSE,FALSE,45.23,18494,43.77,,,2,3
AERJ1426,4,0,1967,M. LAL,,Rajasthan,PATAN,SC,BJS,,11491,M,2,3,FALSE,FALSE,43.86,9835,37.54,,,1,3
AERJ1426,6,0,1977,MANGI LAL,,Rajasthan,PATAN,SC,IND,BJS,663,M,3,3,FALSE,FALSE,2.17,0,0,,,1,3
AERJ1426,8,0,1985,MANGI LAL,,Rajasthan,PATAN,SC,BJP,IND,21211,M,1,3,FALSE,FALSE,50.2,2103,4.98,,,1,3
AERJ1454,4,0,1967,H. SAHAI,,Rajasthan,KISHANGANJ,ST,IND,,1102,M,4,5,FALSE,FALSE,4.18,699,2.65,,,2,4
AERJ1454,6,0,1977,HAR SAHAI,,Rajasthan,KISHANGANJ,ST,INC,IND,11878,M,2,5,FALSE,FALSE,37.79,10384,33.03,,,2,4
AERJ1454,7,0,1980,HAR SAHAI,,Rajasthan,KISHANGANJ,ST,INC(I),INC,18931,M,1,5,FALSE,FALSE,56.98,6776,20.39,,,2,4
AERJ1454,8,0,1985,HEERA LAL,,Rajasthan,KISHANGANJ,ST,IND,INC(I),19832,M,1,5,FALSE,TRUE,43.6,6336,13.93,,,2,4
AERJ1454,8,0,1985,HARSAHAYA,,Rajasthan,KISHANGANJ,ST,INC,IND,11829,M,3,5,FALSE,TRUE,26.01,11504,25.29,,,2,4
AERJ1484,4,0,1967,K. LAL,,Rajasthan,PIRAWA,GEN,SWA,,10817,M,1,4,FALSE,FALSE,35,520,1.68,,,1,4
AERJ1484,5,0,1972,KANHAIYA LAL,,Rajasthan,PIRAWA,GEN,IND,SWA,13473,M,2,4,FALSE,TRUE,37.74,9933,27.83,,,1,4
AERJ1484,6,0,1977,KANHIYA LAL PATAL,,Rajasthan,PIRAWA,GEN,IND,IND,9949,M,3,4,FALSE,FALSE,22.37,8948,20.12,,,1,4
AERJ1484,8,0,1985,KANHIAYA LAL,,Rajasthan,PIRAWA,GEN,BJP,IND,15696,M,2,4,FALSE,FALSE,31.62,5120,10.32,,,1,4
AERJ15220,7,0,1980,HET RAM BANIWAL,,Rajasthan,SANGARIA,GEN,CPM,,20031,M,2,2,FALSE,FALSE,29.66,8192,12.13,,,,2
AERJ15220,8,0,1985,HET RMA BENIWAL,,Rajasthan,SANGARIA,GEN,CPM,CPM,31754,M,2,2,FALSE,FALSE,40.14,23000,29.07,,,,2
AERJ1548,4,0,1967,KAMLA,,Rajasthan,LASADIA,ST,IND,,1117,M,3,3,FALSE,FALSE,3.25,0,0,,,2,3
AERJ1548,7,0,1980,KAMLA,,Rajasthan,LASADIA,ST,INC(I),IND,17498,M,1,3,FALSE,FALSE,58.61,11610,38.89,,,2,3
AERJ1548,8,0,1985,KAMLA,,Rajasthan,LASADIA,ST,INC,INC(I),18951,M,1,3,FALSE,TRUE,64.97,11190,38.36,,,2,3
AERJ15485,5,0,1972,SUNDER LAL,,Rajasthan,SURAJGARH,SC,INC,,18632,M,1,4,FALSE,FALSE,46.43,9181,22.88,,,3,4
AERJ15485,6,0,1977,SUNDER LAL,,Rajasthan,SURAJGARH,SC,INC,INC,18233,M,2,4,FALSE,TRUE,40.76,16777,37.5,,,3,4
AERJ15485,7,0,1980,SUNDAR LAL,,Rajasthan,SURAJGARH,SC,IND,INC,23010,M,1,4,FALSE,FALSE,43.66,5718,10.85,,,3,4
AERJ15485,8,0,1985,SUNDER LAL,,Rajasthan,SURAJGARH,SC,INC,IND,40061,M,1,4,FALSE,TRUE,53.12,8416,11.16,,,3,4
AERJ1549,4,0,1967,G. SINGH,,Rajasthan,VALLABHNAGAR,GEN,INC,,20057,M,1,5,FALSE,FALSE,49.33,1229,3.02,,,3,5
AERJ1549,5,0,1972,GULAB SINGH,,Rajasthan,VALLABHNAGAR,GEN,INC,INC,22999,M,1,5,FALSE,TRUE,49.34,875,1.88,,,3,5
AERJ1549,6,0,1977,GULAB SNGH SHAKTAWAT,,Rajasthan,VALLABHNAGAR,GEN,INC,INC,11261,M,2,5,FALSE,TRUE,23.46,10507,21.89,,,3,5
AERJ1549,7,0,1980,GULAB SINGH SHAKTAWAT,,Rajasthan,VALLABHNAGAR,GEN,INC(I),INC,24719,M,2,5,FALSE,FALSE,46.9,23502,44.59,,,3,5
AERJ1549,8,0,1985,GULAB SINGH,,Rajasthan,VALLABHNAGAR,GEN,INC,INC(I),37175,M,1,5,FALSE,FALSE,57.49,14661,22.67,,,3,5
AERJ1550,4,0,1967,K. SINGH,,Rajasthan,VALLABHNAGAR,GEN,BJS,,18828,M,2,5,FALSE,FALSE,46.31,17379,42.74,,,2,5
AERJ1550,5,0,1972,KAMLENDRA SINGH,,Rajasthan,VALLABHNAGAR,GEN,BJS,BJS,22124,M,2,5,FALSE,FALSE,47.47,21114,45.3,,,2,5
AERJ1550,6,0,1977,KAMLENDRA SINGH,,Rajasthan,VALLABHNAGAR,GEN,JNP,BJS,35984,M,1,5,TRUE,FALSE,74.97,24723,51.51,,,2,5
AERJ1550,7,0,1980,KAMLENDRA SINGH,,Rajasthan,VALLABHNAGAR,GEN,JNP(JP),JNP,26768,M,1,5,FALSE,TRUE,50.79,2049,3.89,,,2,5
AERJ1550,8,0,1985,KAMLENDRA SINGH,,Rajasthan,VALLABHNAGAR,GEN,JNP,JNP(JP),22514,M,2,5,FALSE,TRUE,34.82,20679,31.98,,,2,5
AERJ15610,8,0,1985,PEMA RAM,,Rajasthan,LACHHMANGARH,SC,CPM,,710,M,4,1,FALSE,FALSE,0.9,126,0.16,,,,1
AERJ16231,8,0,1985,NIRBHAY,,Rajasthan,RUPBAS,SC,JNP,,9491,M,3,1,FALSE,FALSE,26.43,8966,24.97,,,,1
AERJ1638,4,0,1967,DAULATRAM,,Rajasthan,DESURI,SC,SWA,,18177,M,1,3,FALSE,FALSE,50.95,2916,8.17,,,1,3
AERJ1638,6,0,1977,DAULAT RAM,,Rajasthan,DESURI,SC,IND,SWA,1355,M,4,3,FALSE,FALSE,3.45,661,1.68,,,1,3
AERJ1638,8,0,1985,DAULAT RAM,,Rajasthan,DESURI,SC,LKD,IND,526,M,5,3,FALSE,FALSE,1.23,93,0.22,,,1,3
AERJ16641,6,0,1977,HIRA SINGH,,Rajasthan,RAIPUR,GEN,IND,,6795,M,3,3,FALSE,FALSE,18.67,5863,16.1,,,1,3
AERJ16641,7,0,1980,HEERA SINGH CHAUHAN,,Rajasthan,RAIPUR,GEN,BJP,IND,12555,M,2,3,FALSE,FALSE,33.07,9521,25.08,,,1,3
AERJ16641,8,0,1985,HEERA SINGH CHOUHAN,,Rajasthan,RAIPUR,GEN,BJP,BJP,19010,M,1,3,FALSE,FALSE,34.84,291,0.53,,,1,3
AERJ1668,4,0,1967,L. MEHTA,,Rajasthan,SANCHORE,GEN,BJS,,15199,M,2,2,FALSE,FALSE,46.02,14143,42.82,,,,2
