Party,Expanded_Party_Name
INC,INDIAN NATIONAL CONGRESS
BJP,BHARATIYA JANATA PARTY
IND,INDEPENDENT
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
CPI,COMMUNIST PARTY OF INDIA
BSP,BAHUJAN SAMAJ PARTY
NUZP,NATIONAL UNIONIST ZAMINDARA PARTY
RaLtP,RASHTRIYA LOKTANTRIK PARTY
JD(U),JANATA DAL (UNITED)
SP,SAMAJWADI PARTY
RLD,RASHTRIYA LOK DAL
BTP,BHARTIYA TRIBAL PARTY
NPEP,NATIONAL PEOPLES PARTY
INLD,INDIAN NATIONAL LOK DAL
LSWP,LOKTANTRIK SAMAJWADI PARTY
RSNM,RAJASTHAN SAMAJIK NYAYA MANCH
LJNSP,LOK JAN SHAKTI PARTY
RJD,RASHTRIYA JANATA DAL
JD,JANATA DAL
SSP,SANGHATA SOCIALIST PARTY
BJS,AKHIL BHARATIYA JANA SANGH
LKD,LOK DAL
JNP(JP),JANATA PARTY (JP)
SOP,SAMYUKTA SOCIALIST PARTY/SOCIALIST PARTY
JNP,JANATA PARTY
INC(I),INDIAN NATIONAL CONGRESS (I)
JNP(SC),JANATA PARTY (SECULAR) - CH. CHARAN SINGH
INC(U),INDIAN NATIONAL CONGRESS (U)
RRP,AKHIL BHARATIYA RAMRAJYA PARISHAD
SWA,SWATANTRA
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
PSP,PRAJA SOCIALIST PARTY
JS,JAN SANGH
SOC,SOCIALIST
