pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AESK100019,2,0,1985,BEDU SINGH CHETTRI,,Sikkim,WAK,SSP,,1704,M,1,1,FALSE,FALSE,69.1,1066,43.23,,,1,1
AESK100022,1,0,1979,ATHUP LEPCHA,,Sikkim,DJONGU,SJP,,865,M,1,2,FALSE,FALSE,45.79,362,19.16,,,1,2
AESK100022,2,0,1985,ATHUP LEPCHA,,Sikkim,DJONGU,INC,SJP,765,M,2,2,TRUE,TRUE,32.72,719,30.75,,,1,2
AESK100023,1,0,1979,BHUWANI PRASAD DAHAL,,Sikkim,RHENOCK,JNP,,358,M,2,2,FALSE,FALSE,16.38,6,0.27,,,,2
AESK100023,2,0,1985,B. P. DAHAL,,Sikkim,RHENOCK,INC,JNP,709,M,2,2,TRUE,FALSE,23.41,478,15.79,,,,2
AESK83114,2,0,1985,PHUCHUNG BHUTIA,,Sikkim,RAKDONG TENTEK,SSP,,1829,M,1,1,FALSE,FALSE,62.53,1263,43.18,,,1,1
AESK83171,2,0,1985,MAN BAHADUR DAHAL,,Sikkim,GEYZING,SSP,,1702,M,1,1,FALSE,FALSE,54.99,1013,32.73,,,1,1
AESK83199,2,0,1985,PAWAN KUMAR CHAMLING,,Sikkim,DAMTHANG,SSP,,2281,M,1,1,FALSE,FALSE,73.79,1762,57,,,1,1
AESK83373,1,0,1979,KHARANANDA UPRETI,,Sikkim,RHENOCK,SCR,,504,M,1,2,FALSE,FALSE,23.06,146,6.68,,,2,2
AESK83373,2,0,1985,K. N. UPRETTI,,Sikkim,RHENOCK,SSP,SCR,1809,M,1,2,TRUE,TRUE,59.74,1100,36.33,,,2,2
AESK83383,2,0,1985,BIRKHAMAN RAMUKAMI,,Sikkim,KHAMDONG,SSP,,2834,M,1,1,FALSE,FALSE,80.76,2243,63.92,,,1,1
AESK83387,2,0,1985,SONAM CHODA LEPCHA,,Sikkim,DJONGU,SSP,,1469,M,1,1,FALSE,FALSE,62.83,704,30.11,,,1,1
AESK83434,2,0,1985,TARAMAN RAI,,Sikkim,CHAKUNG,SSP,,1944,M,1,1,FALSE,FALSE,57.18,669,19.68,,,1,1
AESK83442,2,0,1985,BHIM RAJ RAI,,Sikkim,JORTHANG-NAYABAZAR,SSP,,2648,M,1,1,FALSE,FALSE,68.89,2075,53.98,,,1,1
AESK83455,2,0,1985,GRISH CHANDRA RAI,,Sikkim,MELLI,INC,,814,M,2,1,FALSE,FALSE,23.43,625,17.99,,,,1
AESK83458,2,0,1985,CHANDRA KUMAR MIHORA,,Sikkim,RATEYPANI - WEST PENDAM,SSP,,2373,M,1,1,FALSE,FALSE,68.45,1789,51.6,,,1,1
AESK83475,1,0,1979,RAM LEPCHA,,Sikkim,PATHING,SCR,,713,M,1,2,FALSE,FALSE,30.65,188,8.08,,,2,2
AESK83475,2,0,1985,RAM LEPCHA,,Sikkim,PATHING,SSP,SCR,2407,M,1,2,TRUE,TRUE,72.72,1567,47.34,,,2,2
AESK83505,2,0,1985,SONAM DAPDEN LEPCHA,,Sikkim,ASSAM-LINGJEY,SSP,,1341,M,1,1,FALSE,FALSE,55.88,517,21.54,,,1,1
AESK83536,1,0,1979,PADAM LAL GURUNG,,Sikkim,DENTAM,SCR,,949,M,1,2,FALSE,FALSE,43.23,570,25.97,,,2,2
AESK83536,2,0,1985,PADAM LALL GURUNG,,Sikkim,DENTAM,SSP,SCR,2355,M,1,2,TRUE,TRUE,77.19,1840,60.31,,,2,2
AESK83554,1,0,1979,NAR BAHADUR BHANDARI,,Sikkim,SOREONG,SJP,,1833,M,1,2,FALSE,FALSE,70.26,1458,55.88,,,2,2
AESK83554,2,0,1985,NAR BAHADUR BHANDARI,,Sikkim,SOREONG,SSP,SJP,2964,M,1,2,TRUE,TRUE,80.48,2331,63.29,,,2,2
AESK83621,1,0,1979,SANGEY DORJEE BHUTIA,,Sikkim,PATHING,JNP,,358,M,3,2,FALSE,FALSE,15.39,155,6.66,,,,2
AESK83621,2,0,1985,SANGAY DORJEE BHUTIA,,Sikkim,PATHING,INC,JNP,840,M,2,2,TRUE,FALSE,25.38,807,24.38,,,,2
AESK83674,1,0,1979,SHERAB PALDEN,,Sikkim,ASSAM LINGJEY,SJP,,1120,M,1,2,FALSE,FALSE,63.82,715,40.74,,,1,2
AESK83674,2,0,1985,SHERAB PALDEN,,Sikkim,ASSAM-LINGJEY,INC,SJP,824,M,2,2,TRUE,TRUE,34.33,652,27.17,,,1,2
AESK83678,2,0,1985,RINZING ONGMO,,Sikkim,RUMTEK,INC,,634,F,2,1,FALSE,FALSE,20.15,220,6.99,,,,1
AESK83708,2,0,1985,UGEN PINTSO BHUTIA,,Sikkim,TASHIDING,SSP,,1586,M,1,1,FALSE,FALSE,65.95,943,39.21,,,1,1
AESK83716,2,0,1985,LAXMI PRASAD SUBBA,,Sikkim,DENTAM,INC,,515,M,2,1,FALSE,FALSE,16.88,459,15.04,,,,1
AESK83761,2,0,1985,SUKUMAR PRADHAN,,Sikkim,CENTRAL PENDAM-EAST PENDAM,SSP,,2742,M,1,1,FALSE,FALSE,63.44,1336,30.91,,,1,1
AESK83769,1,0,1979,KARNA BAHADUR,,Sikkim,REGU,IND,,560,M,2,2,FALSE,FALSE,23.26,185,7.68,,,,2
AESK83769,2,0,1985,KARNA BAHADUR,,Sikkim,REGU,INC,IND,913,M,2,2,FALSE,FALSE,28.58,534,16.71,,,,2
AESK83816,2,0,1985,NAMKHA GYALTSEN,,Sikkim,SANGHA,SSP,,383,M,1,1,FALSE,FALSE,52.32,34,4.64,,,1,1
AESK83823,2,0,1985,SHRIJETHA SUBBA,,Sikkim,YOKSAM,INC,,546,M,2,1,FALSE,FALSE,17.56,120,3.86,,,,1
AESK83831,1,0,1979,DAWGYAL PENTSO BHUTIA,,Sikkim,TASHIDING,SJP,,729,M,1,2,FALSE,FALSE,47.12,227,14.67,,,1,2
AESK83831,2,0,1985,DAWGYAL PINTSO BHUTIA,,Sikkim,TASHIDING,INC,SJP,643,M,2,2,TRUE,TRUE,26.74,524,21.79,,,1,2
AESK83837,2,0,1985,DAWA NORBU KAZI,,Sikkim,GEYZING,IND,,689,M,2,1,FALSE,FALSE,22.26,187,6.04,,,,1
AESK83852,2,0,1985,BIRBAL SUBBA,,Sikkim,BARMIOK,SSP,,1287,M,1,1,FALSE,FALSE,43.79,71,2.42,,,1,1
AESK83860,2,0,1985,ONGDI BHUTIA,,Sikkim,RINCHENPONG,SSP,,1418,M,1,1,FALSE,FALSE,45.93,760,24.62,,,1,1
AESK83861,1,0,1979,DEGEY BHUTIA,,Sikkim,RINCHENPONG,JNP,,480,M,2,2,FALSE,FALSE,22.38,23,1.07,,,,2
AESK83861,2,0,1985,DEGAY BHUTIA,,Sikkim,RINCHENPONG,IND,JNP,658,M,2,2,FALSE,FALSE,21.32,274,8.88,,,,2
AESK83862,2,0,1985,PHUR TSKERING LEPVHA,,Sikkim,RINCHENPONG,INC,,384,M,3,1,FALSE,FALSE,12.44,54,1.75,,,,1
AESK83876,1,0,1979,PADAM BAHADUR GURUNG,,Sikkim,DARAMDIN,SJP,,1770,M,1,2,FALSE,FALSE,68.31,1447,55.85,,,2,2
AESK83876,2,0,1985,PADAM BAHADUR GURUNG,,Sikkim,DARAMDIN,SSP,SJP,2131,M,1,2,TRUE,TRUE,63.71,1080,32.29,,,2,2
