pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AESK100013,8,0,2014,MECHUNG BHUTIA,ST,Sikkim,MARTAM-RUMTEK,SKM,,6055,M,1,1,FALSE,FALSE,50.24,479,3.97,36,1,1
AESK83021,8,0,2014,SONAM DADUL BHUTIA,ST,Sikkim,YOKSAM-TASHIDING,SDF,,6777,M,1,1,FALSE,FALSE,68.33,4218,42.53,43,1,1
AESK83024,8,0,2014,CHANDRA MAYA LIMBOO (SUBBA),ST,Sikkim,YANGTHANG,SDF,,5211,F,1,1,FALSE,FALSE,56,1639,17.61,38,1,1
AESK83025,8,0,2014,KHARKA BDR. SUBBA,ST,Sikkim,YANGTHANG,SKM,,3572,M,2,1,FALSE,FALSE,38.39,3349,35.99,31,,1
AESK83033,8,0,2014,LOK NATH SHARMA,GEN,Sikkim,GYALSHING-BARNYAK,SKM,,3890,M,2,1,FALSE,FALSE,43.68,3742,42.02,41,,1
AESK83037,8,0,2014,KARMA SONAM LEPCHA,ST,Sikkim,RINCHENPONG,SDF,,7347,M,1,1,FALSE,FALSE,68.37,4456,41.47,49,1,1
AESK83043,8,0,2014,MINGMA NORBU SHERPA,ST,Sikkim,DARAMDIN,SKM,,4646,M,2,1,FALSE,FALSE,40.8,4340,38.11,43,,1
AESK83046,8,0,2014,BHARATI SHARMA,GEN,Sikkim,SOREONG-CHAKUNG,SKM,,4667,F,2,1,FALSE,FALSE,39.2,4433,37.23,43,,1
AESK83049,8,0,2014,ARJUN KUMAR GHATANI,SC,Sikkim,SALGHARI-ZOO,SDF,,4250,M,1,1,FALSE,FALSE,52.63,779,9.65,34,1,1
AESK83050,8,0,2014,BHANU PRATAP RASAILY,SC,Sikkim,SALGHARI-ZOO,SKM,,3471,M,2,1,FALSE,FALSE,42.98,3309,40.97,35,,1
AESK83053,1,0,1979,DOJEE DAZOM BHUTIA,,Sikkim,WAK,IND,,14,M,9,6,FALSE,FALSE,0.95,5,0.34,,4,6
AESK83053,3,0,1989,DORJEE DOZOM BHUTIA,,Sikkim,RALONG BL,INC,IND,291,M,2,6,FALSE,FALSE,9,250,7.73,,4,6
AESK83053,4,0,1994,DORJEE DAZOM BHUTIA,,Sikkim,RALONG,SDF,INC,2017,M,1,6,TRUE,FALSE,45.73,882,20,,4,6
AESK83053,5,0,1999,DORJI DAZOM BHUTIA,,Sikkim,RALONG,SDF,SDF,2671,M,1,6,FALSE,TRUE,54.31,1380,28.06,,4,6
AESK83053,6,0,2004,DORJEE DAZOM BHUTIA,BL,Sikkim,RALANG,SDF,SDF,4131,M,1,6,FALSE,TRUE,77.32,2919,54.63,57,4,6
AESK83053,8,0,2014,DORJEE DAZOM BHUTIA,ST,Sikkim,BARFUNG,SDF,SDF,6639,M,1,6,FALSE,FALSE,63.79,3179,30.54,63,4,6
AESK83054,8,0,2014,PEMA WANGYAL BHUTIA,ST,Sikkim,BARFUNG,SKM,,3460,M,2,1,FALSE,FALSE,33.24,3263,31.35,55,,1
AESK83060,8,0,2014,MILAN RAI,GEN,Sikkim,NAMCHI-SINGHITHANG,SKM,,3690,M,2,1,FALSE,FALSE,42.57,3578,41.28,45,,1
AESK83062,7,0,2009,TULSHI DEVI RAI,GEN,Sikkim,MELLI,SDF,,6307,F,1,2,FALSE,FALSE,67.48,3853,41.22,36,2,2
AESK83062,8,0,2014,TULSHI DEVI RAI,GEN,Sikkim,MELLI,SDF,SDF,7655,F,1,2,FALSE,TRUE,67.32,4249,37.37,39,2,2
AESK83063,8,0,2014,PREM BAHADUR KARKI,GEN,Sikkim,MELLI,SKM,,3406,M,2,1,FALSE,FALSE,29.95,3228,28.39,40,,1
AESK83070,7,0,2009,LALIT SHARMA,GEN,Sikkim,TEMI-NAMPHING,INC,,2837,M,2,2,FALSE,FALSE,32.32,1852,21.1,37,,2
AESK83070,8,0,2014,LALIT SHARMA,GEN,Sikkim,TEMI-NAMPHING,SKM,INC,4268,M,2,2,TRUE,FALSE,41.78,4088,40.02,41,,2
AESK83073,8,0,2014,BIKASH BASNET,GEN,Sikkim,RANGANG-YANGANG,SKM,,3201,M,2,2,FALSE,FALSE,32.22,2995,30.14,26,,1
AESK83073,8,1,2014,Bikash Basnet,,Sikkim,RANGANG-YANGANG,BJP,SKM,352,M,3,2,TRUE,FALSE,3.77,260,2.78,,,1
AESK83075,8,1,2014,R.N.Chamling,,Sikkim,RANGANG-YANGANG,IND,,4788,M,1,1,FALSE,FALSE,51.26,708,7.58,,1,1
AESK83076,8,1,2014,Kumari Manger,,Sikkim,RANGANG-YANGANG,SDF,,4080,F,2,1,FALSE,FALSE,43.68,3728,39.91,,,1
