pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AETN101101,8,0,2001,RAJENDRAN. C,,Tamil_Nadu,THIRUVONAM,ADMK,,67094,M,1,2,FALSE,FALSE,52.21,11223,8.73,,,1,2
AETN101101,11,0,2016,RAJENDRAN C,GEN,Tamil_Nadu,TAMBARAM,ADMK,ADMK,87390,M,2,2,FALSE,FALSE,37.13,72831,30.95,55,,1,2
AETN186787,8,1,2005,Vijayakumar KS,,Tamil_Nadu,Gummidipundi,ADMK,,83717,M,1,3,FALSE,FALSE,56.94,27163,18.48,,,3,3
AETN186787,9,0,2006,VIJAYAKUMAR.K.S,GEN,Tamil_Nadu,GUMMIDIPUNDI,ADMK,ADMK,63147,M,1,3,FALSE,TRUE,40.41,229,0.15,35,,3,3
AETN186787,11,0,2016,VIJAYAKUMAR K S,GEN,Tamil_Nadu,GUMMIDIPUNDI,ADMK,ADMK,89332,M,1,3,FALSE,FALSE,41.68,23395,10.91,45,,3,3
AETN186788,9,0,2006,SEKAR C.H,GEN,Tamil_Nadu,GUMMIDIPUNDI,DMDK,,21738,M,3,3,FALSE,FALSE,13.91,19591,12.54,27,,1,3
AETN186788,10,0,2011,SEKAR C H,GEN,Tamil_Nadu,GUMMIDIPUNDI,DMDK,DMDK,97708,M,1,3,FALSE,FALSE,54.4,29256,16.29,31,,1,3
AETN186788,11,0,2016,SEKAR C H,GEN,Tamil_Nadu,GUMMIDIPUNDI,DMK,DMDK,65937,M,2,3,TRUE,TRUE,30.76,22882,10.68,37,,1,3
AETN186802,11,0,2016,BALARAMAN P,SC,Tamil_Nadu,PONNERI,ADMK,,95979,M,1,1,FALSE,FALSE,48.56,19336,9.78,55,,1,1
AETN186803,11,0,2016,PARIMALAM K DOCTOR,SC,Tamil_Nadu,PONNERI,DMK,,76643,F,2,1,FALSE,FALSE,38.78,67057,33.93,54,,,1
AETN186817,11,0,2016,CHIDAMBARAM A G,GEN,Tamil_Nadu,TIRUTTANI,INC,,69904,M,2,1,FALSE,FALSE,31.43,40308,18.12,45,,,1
AETN186831,11,0,2016,RAAJENDRAN V G,GEN,Tamil_Nadu,THIRUVALLUR,DMK,,80473,M,1,1,FALSE,FALSE,39.02,5138,2.49,48,,1,1
AETN186832,11,0,2016,BASKARAN A,GEN,Tamil_Nadu,THIRUVALLUR,ADMK,,75335,M,2,1,FALSE,FALSE,36.53,43400,21.04,48,,,1
AETN186852,11,0,2016,ELUMALAI T A,SC,Tamil_Nadu,POONAMALLEE,ADMK,,103952,M,1,1,FALSE,FALSE,43.32,11763,4.9,51,,1,1
AETN186853,11,0,2016,PARANTHAMEN I,SC,Tamil_Nadu,POONAMALLEE,DMK,,92189,M,2,1,FALSE,FALSE,38.41,76362,31.82,39,,,1
AETN186866,11,0,2016,PANDIA RAJAN K,GEN,Tamil_Nadu,AVADI,ADMK,,108064,M,1,1,FALSE,FALSE,39.92,1395,0.52,56,,1,1
AETN186867,11,0,2016,NASAR S M,GEN,Tamil_Nadu,AVADI,DMK,,106669,M,2,1,FALSE,FALSE,39.4,83821,30.96,56,,,1
AETN186887,11,0,2016,BENJAMIN P,GEN,Tamil_Nadu,MADURAVOYAL,ADMK,,99739,M,1,1,FALSE,FALSE,40.12,8402,3.38,46,,1,1
AETN186888,11,0,2016,RAJESH R,GEN,Tamil_Nadu,MADURAVOYAL,INC,,91337,M,2,1,FALSE,FALSE,36.74,71725,28.85,37,,,1
AETN186901,11,0,2016,ALEXANDER V,GEN,Tamil_Nadu,AMBATTUR,ADMK,,94375,M,1,1,FALSE,FALSE,41.1,17498,7.62,44,,1,1
AETN186902,11,0,2016,AASSAN MAULAANA,GEN,Tamil_Nadu,AMBATTUR,INC,,76877,M,2,1,FALSE,FALSE,33.48,60242,26.23,32,,,1
AETN186928,11,0,2016,SUDHARSANAM S,GEN,Tamil_Nadu,MADAVARAM,DMK,,122082,M,1,1,FALSE,FALSE,45.43,15253,5.68,57,,1,1
