pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Terms,Terms_Contested
AEMD272417,2,0,1977,R. NALLAKANNU,,Tamil_Nadu,AMBASAMUDRAM,CPI,,21569,M,2,1,FALSE,FALSE,32.63,9361,14.16,,,1
AEMD84330,2,0,1977,T.N. ANANDANAYAKI,,Tamil_Nadu,DR. RADHAKRISHNAN NAGAR,INC,,9876,F,4,1,FALSE,FALSE,12.36,9753,12.21,,,1
AEMD84399,1,0,1971,S. M. DORAIRAJ,,Tamil_Nadu,TIRUVALLUR,DMK,,36496,M,1,2,FALSE,FALSE,62.81,18737,32.24,,2,2
AEMD84399,2,0,1977,S.M. DORAIRAJ,,Tamil_Nadu,PONNERI,ADK,DMK,31796,M,1,2,TRUE,TRUE,42.64,11272,15.12,,2,2
AEMD84425,2,0,1977,V.K. KOTHANDARAMAN,,Tamil_Nadu,GUDIYATHAM,CPM,,20590,M,1,1,FALSE,FALSE,29.54,2544,3.65,,1,1
AEMD84440,1,0,1971,P. RAJAGOPAL,,Tamil_Nadu,PERNAMBATTU,NCO,,21665,M,2,2,FALSE,FALSE,36.07,19470,32.42,,,2
AEMD84440,2,0,1977,P. RAJAGOPAL,,Tamil_Nadu,PERNAMBUT,JNP,NCO,20873,M,2,2,TRUE,FALSE,31.66,5011,7.6,,,2
AEMD84467,2,0,1977,D. SUBRAMANIAN,,Tamil_Nadu,PERANAMALLUR,JNP,,11685,M,3,1,FALSE,FALSE,16.97,4190,6.09,,,1
AEMD84469,2,0,1977,S.M. ANNAMALAI,,Tamil_Nadu,POLUR,INC,,6373,M,4,1,FALSE,FALSE,9.78,5423,8.33,,,1
AEMD84491,1,0,1971,RAJARAM G.,,Tamil_Nadu,TINDIVANAM,DMK,,33933,M,1,2,FALSE,FALSE,55.83,11885,19.55,,1,2
AEMD84491,2,0,1977,G. RAJARAM,,Tamil_Nadu,TINDIVANAM,ADK,DMK,15117,M,3,2,TRUE,TRUE,23.52,3159,4.92,,1,2
AEMD84505,2,0,1977,C. GOVINDARAJAN,,Tamil_Nadu,NELLIKUPPAM,CPM,,23077,M,1,1,FALSE,FALSE,32.75,4817,6.84,,1,1
AEMD84516,1,0,1971,M. JAYARAMAN,,Tamil_Nadu,KURINJIPADI,NCO,,25939,M,2,2,FALSE,FALSE,48.57,0,0,,,2
AEMD84516,2,0,1977,M. JAYARAMAN,,Tamil_Nadu,ULUNDURPET,JNP,NCO,3502,M,4,2,TRUE,FALSE,4.93,1697,2.39,,,2
AEMD84532,2,0,1977,M. SELVARAJ,,Tamil_Nadu,KURINJIPADI,DMK,,19523,M,1,1,FALSE,FALSE,28.75,2526,3.72,,1,1
AEMD84554,2,0,1977,S.P. PACHAYAPPAN,,Tamil_Nadu,CHINNASALEM,DMK,,21081,M,2,1,FALSE,FALSE,30.86,8443,12.36,,,1
AEMD84629,2,0,1977,M. MUTHUSWAMY,,Tamil_Nadu,VEERAPANDI,DMK,,18144,M,2,1,FALSE,FALSE,25.5,7367,10.36,,,1
