Party,Expanded_Party_Name
DMK,DRAVIDA MUNNETRA KAZHAGAM
NCO,INDIAN NATIONAL CONGRESS (ORGANISATION)
CPM,COMMUNIST PARTY OF INDIA (MARXIST)
SWA,SWATANTRA PARTY
PSP,PRAJA SOCIALIST PARTY
CPI,COMMUNIST PARTY OF INDIA
FBL,ALL INDIA FORWARD BLOC
MUL,INDIAN UNION MUSLIM LEAGUE
ADK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
JNP,JANATA PARTY
INC,INDIAN NATIONAL CONGRESS
JNP(JP),JANATA PARTY (JP)
INC(I),INDIAN NATIONAL CONGRESS (I)
GKC,GANDHI KAMARAJ NATIONAL CONGRESS
BJP,BHARATIYA JANATA PARTY
AKD,AMBEDKAR KRANTI DAL
ADK(JR),ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM(JANAKI RAMACHANDRAN)
ADK(JL),ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM(JAYALALITA GROUP)
ICS(SCS),INDIAN CONGRESS (SOCIALIST - SARAT CHANDRA SINHA
PMK,PATTALI MAKKAL KATCHI
JP,JANATA PARTY
JD,JANATA DAL
TMK,TAMILAR MAKKAL KATCHI
ADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
MDMK,MARUMALARCHI DRAVIDA MUNNETRA KAZHAGAM
TMC(M),TAMIL MAANILA CONGRESS (MOOPANAR)
PT,PUTHIYA TAMILAGAM
MADMK,M.G.R.ANNA D.M.KAZHAGAM
AIADMK,ALL INDIA ANNA DRAVIDA MUNNETRA KAZHAGAM
DMDK,DESIYA MURPOKKU DRAVIDA KAZHAGAM
AIFB,ALL INDIA FORWARD BLOC
VCK,VIDUTHALAI CHIRUTHAIGAL KATCH
MAMAK,MANITHANEYA MAKKAL KATCHI
IUML,INDIAN UNION MUSLIM LEAGUE
