pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AETR101,2,0,1972,CHITTA BIN,,Tripura,BARJALA,GEN,IND,,234,M,3,1,FALSE,FALSE,3.49,65,0.97,,,,1
AETR102,2,0,1972,RASH MOHAN DEBNATH,,Tripura,BARJALA,GEN,IND,,169,M,4,1,FALSE,FALSE,2.52,20,0.3,,,,1
AETR106,2,0,1972,KANU GHOSH,,Tripura,KUNJABAN,GEN,CPM,,5633,M,2,1,FALSE,FALSE,41.95,4872,36.29,,,,1
AETR107,2,0,1972,NEPAL DEY,,Tripura,KUNJABAN,GEN,IND,,761,M,3,1,FALSE,FALSE,5.67,0,0,,,,1
AETR108,2,0,1972,MADHU SUDHAN DAS,,Tripura,PRATAPGARH,SC,INC,,3862,M,1,1,FALSE,FALSE,49,269,3.41,,,1,1
AETR11,1,0,1967,T . M . D . GUPTA,,Tripura,AGARTALA SADAR III,GEN,INC,,8872,M,1,2,FALSE,FALSE,57.18,3589,23.13,,,2,2
AETR11,2,0,1972,TARIT MOHAN DASGUPTA,,Tripura,ANANDANAGAR,GEN,INC,INC,4341,M,1,2,FALSE,TRUE,45.07,182,1.89,,,2,2
AETR110,2,0,1972,AMAL CHANDRA DAS,,Tripura,PRATAPGARH,SC,IND,,426,M,3,1,FALSE,FALSE,5.41,0,0,,,,1
AETR1116,2,0,1972,GOURI BHATTACHARJEE,,Tripura,BARJALA,GEN,CPM,,2307,F,2,1,FALSE,FALSE,34.4,2073,30.91,,,,1
AETR112,2,0,1972,SUPRIYO BHOWMIK,,Tripura,AGARTALA TOWN I I I,GEN,CPM,,2963,M,2,1,FALSE,FALSE,33.18,1915,21.44,,,,1
AETR114,2,0,1972,PROMOD BHATTA CHOUDHURY,,Tripura,AGARTALA TOWN I I I,GEN,IND,,404,M,4,1,FALSE,FALSE,4.52,304,3.4,,,,1
AETR115,2,0,1972,SADHAN CHANDRA DEBNATH,,Tripura,AGARTALA TOWN I I I,GEN,IND,,100,M,5,1,FALSE,FALSE,1.12,0,0,,,,1
AETR120,2,0,1972,RENUKA CHAKRABORTY,,Tripura,AGARTALA TOWN I,GEN,INC,,2742,M,2,1,FALSE,FALSE,36.19,1923,25.38,,,,1
AETR123,2,0,1972,PARIMALENDU BHATTACHARJEE,,Tripura,AGARTALA TOWN I,GEN,BJS,,81,M,5,1,FALSE,FALSE,1.07,42,0.55,,,,1
AETR124,2,0,1972,RAJANI KANTA CHAKRABORTY,,Tripura,AGARTALA TOWN I,GEN,IND,,39,M,6,1,FALSE,FALSE,0.51,0,0,,,,1
AETR126,2,0,1972,ASHOKE CHAKRABORTY,,Tripura,AGARTALA TOWN I I,GEN,CPM,,2322,M,2,1,FALSE,FALSE,37.05,1874,29.9,,,,1
AETR127,2,0,1972,NIREN KUMAR BHATTACHARYYA,,Tripura,AGARTALA TOWN I I,GEN,IND,,448,M,3,1,FALSE,FALSE,7.15,167,2.66,,,,1
AETR128,2,0,1972,NISHITH RANJAH DAS,,Tripura,AGARTALA TOWN I I,GEN,FBL,,281,M,4,1,FALSE,FALSE,4.48,117,1.87,,,,1
AETR129,2,0,1972,JIBAN KUMAR BANDOPADHYAYA,,Tripura,AGARTALA TOWN I I,GEN,BJS,,164,M,5,1,FALSE,FALSE,2.62,121,1.93,,,,1
AETR130,2,0,1972,GANGA PRASAD SHARMA,,Tripura,AGARTALA TOWN I I,GEN,IND,,43,M,6,1,FALSE,FALSE,0.69,0,0,,,,1
AETR132,2,0,1972,JAGADISH CHANDRA DEY,,Tripura,OLD AGARTALA,GEN,CPM,,2217,M,2,1,FALSE,FALSE,24.69,1147,12.77,,,,1
AETR133,2,0,1972,KARTIK K. BHATTACHARJEE,,Tripura,OLD AGARTALA,GEN,IND,,1070,M,3,1,FALSE,FALSE,11.91,550,6.12,,,,1
AETR135,2,0,1972,BISWESHAR NATH,,Tripura,OLD AGARTALA,GEN,IND,,76,M,5,1,FALSE,FALSE,0.85,0,0,,,,1
AETR137,2,0,1972,BHANU GOSH,,Tripura,MAULISHPUR,GEN,CPM,,3073,M,2,1,FALSE,FALSE,45.21,0,0,,,,1
AETR139,2,0,1972,BAGALA PRASAD DEB BARMA,,Tripura,MANDIABAZAR,ST,INC,,1664,M,2,1,FALSE,FALSE,23.38,928,13.04,,,,1
AETR141,2,0,1972,SABHIRAM DEB BARMA,,Tripura,UTTAR DEBENDRA NAGAR,ST,CPM,,4208,M,1,1,FALSE,FALSE,56.51,2259,30.34,,,1,1
AETR142,2,0,1972,RABINDRA K. DEB BARMA,,Tripura,UTTAR DEBENDRA NAGAR,ST,INC,,1949,M,2,1,FALSE,FALSE,26.18,906,12.17,,,,1
AETR143,2,0,1972,CHITTA RANJAN DEB BARMA,,Tripura,UTTAR DEBENDRA NAGAR,ST,CPI,,1043,M,3,1,FALSE,FALSE,14.01,797,10.7,,,,1
AETR144,2,0,1972,FAYA CHANDRA RUPINI,,Tripura,UTTAR DEBENDRA NAGAR,ST,TUS,,246,M,4,1,FALSE,FALSE,3.3,0,0,,,,1
AETR147,2,0,1972,DHIRENDRA KUMAR SARKAR,,Tripura,ISUANCHANDRANAGAR,GEN,IND,,406,M,3,1,FALSE,FALSE,5.65,306,4.26,,,,1
AETR148,2,0,1972,LABANI MOHAN PAUL,,Tripura,ISUANCHANDRANAGAR,GEN,BJS,,100,M,4,1,FALSE,FALSE,1.39,0,0,,,,1
AETR15,1,0,1967,K . BHATTACHARJEE,,Tripura,AGARTALA TOWN,GEN,INC,,6853,M,1,2,FALSE,FALSE,54.26,2603,20.61,,,2,2
AETR15,2,0,1972,KRISHNADAS BHATTACHARJEE,,Tripura,AGARTALA TOWN I I,GEN,INC,INC,3009,M,1,2,FALSE,TRUE,48.01,687,10.96,,,2,2
AETR151,2,0,1972,SIDDI KUMAR JAMATIA,,Tripura,TAKARJALA,ST,IND,,934,M,3,1,FALSE,FALSE,11.17,13,0.16,,,,1
AETR154,2,0,1972,NAGENDRA DEB,,Tripura,KAMALASAGAR,GEN,CPM,,2316,M,2,1,FALSE,FALSE,30.93,1296,17.31,,,,1
AETR155,2,0,1972,SAJAL KANTI LASKAR,,Tripura,KAMALASAGAR,GEN,IND,,1020,M,3,1,FALSE,FALSE,13.62,804,10.74,,,,1
AETR1559,2,0,1972,MATI LAL SARKAR,,Tripura,ISUANCHANDRANAGAR,GEN,CPM,,3328,M,2,1,FALSE,FALSE,46.33,2922,40.68,,,,1
AETR156,2,0,1972,HEMENDRA BIJOY ROY,,Tripura,KAMALASAGAR,GEN,IND,,216,M,4,1,FALSE,FALSE,2.88,0,0,,,,1
AETR157,2,0,1972,SAMIR RANJAN BARMAN,,Tripura,BISHALGARH,GEN,INC,,2777,M,1,1,FALSE,FALSE,32.32,139,1.62,,,1,1
AETR158,2,0,1972,BABUL SENGUPTA,,Tripura,BISHALGARH,GEN,CPM,,2638,M,2,1,FALSE,FALSE,30.7,1123,13.07,,,,1
AETR159,2,0,1972,TUKU MIAN,,Tripura,BISHALGARH,GEN,IND,,1515,M,3,1,FALSE,FALSE,17.63,630,7.33,,,,1
AETR160,2,0,1972,PRAN BALLOV BHOWMIK,,Tripura,BISHALGARH,GEN,IND,,885,M,4,1,FALSE,FALSE,10.3,365,4.25,,,,1
AETR161,2,0,1972,KAMINI KUMAR SAHA,,Tripura,BISHALGARH,GEN,IND,,520,M,5,1,FALSE,FALSE,6.05,347,4.04,,,,1
AETR162,2,0,1972,NILENDRA CHOUDHURY,,Tripura,BISHALGARH,GEN,IND,,173,M,6,1,FALSE,FALSE,2.01,88,1.02,,,,1
AETR163,2,0,1972,SHRISH CHOUDHURY,,Tripura,BISHALGARH,GEN,IND,,85,M,7,1,FALSE,FALSE,0.99,0,0,,,,1
AETR16505,2,0,1972,SUKHAMOY SEN GUPTA,,Tripura,AGARTALA TOWN I I I,GEN,INC,,4415,M,1,1,FALSE,FALSE,49.44,1452,16.26,,,1,1
AETR166,2,0,1972,BARADA KANTA DEB BARMA,,Tripura,CHARILAM,ST,TUS,,1201,M,3,1,FALSE,FALSE,15.75,275,3.61,,,,1
AETR167,2,0,1972,GOURCHAND DEB BARMA,,Tripura,CHARILAM,ST,IND,,926,M,4,1,FALSE,FALSE,12.14,706,9.26,,,,1
AETR172,2,0,1972,NISHI KANT DEB,,Tripura,BISHRAMGONJ,ST,TUS,,974,M,4,1,FALSE,FALSE,12.46,425,5.44,,,,1
AETR175,2,0,1972,PHANI BHUSHAN BHAKTA,,Tripura,BOXANAGAR,GEN,CPM,,2097,M,2,1,FALSE,FALSE,30.29,1057,15.27,,,,1
AETR176,2,0,1972,AMRITA KUMAR ROY,,Tripura,BOXANAGAR,GEN,IND,,1040,M,3,1,FALSE,FALSE,15.02,0,0,,,,1
AETR178,2,0,1972,HARI MADHAB BHOWMIK,,Tripura,NALCHHAR,SC,CPM,,3199,M,2,1,FALSE,FALSE,38.26,2114,25.28,,,,1
AETR182,2,0,1972,ABDUL JABBAR BHUIYA,,Tripura,SONAMURA,GEN,CPM,,1180,M,3,1,FALSE,FALSE,19.59,0,0,,,,1
AETR183,2,0,1972,SAMAR CHOUDHURY,,Tripura,DHANPUR,GEN,CPM,,3530,M,1,1,FALSE,FALSE,48.64,773,10.65,,,1,1
AETR184,2,0,1972,DHIRENDRA KUMAR SENGUPTA,,Tripura,DHANPUR,GEN,INC,,2757,M,2,1,FALSE,FALSE,37.99,1786,24.61,,,,1
AETR187,2,0,1972,ABANI MOHAN BHOWMIK,,Tripura,SALGARH,GEN,CPM,,2907,M,2,1,FALSE,FALSE,35.67,1631,20.01,,,,1
AETR192,2,0,1972,MANIK CHANDRA DAS,,Tripura,KAKRABAN,GEN,IND,,745,M,4,1,FALSE,FALSE,9.5,0,0,,,,1
AETR194,2,0,1972,SUSHIL MUKERJEE,,Tripura,RADHAKISHOREPUR,GEN,CPM,,3509,M,2,1,FALSE,FALSE,34.73,1801,17.82,,,,1
