pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AETR1012,7,1,1998,Bijoy Lakshmi Singha,,Tripura,KAMALPUR,CPM,,13027,F,1,2,FALSE,FALSE,79.68,9704,59.35,,,2,2
AETR1012,8,0,2003,BIJOY LAKSHMI SINGHA,,Tripura,KAMALPUR,CPM,CPM,11208,F,1,2,FALSE,TRUE,54.86,2569,12.57,,,2,2
AETR1024,7,1,2001,Subodh Nath,,Tripura,BAGBASSA,CPM,,9868,M,1,2,FALSE,FALSE,49.38,2555,12.79,,,1,2
AETR1024,8,0,2003,SUBODH NATH,,Tripura,BAGBASSA,CPM,CPM,9795,M,2,2,FALSE,TRUE,42.24,6680,28.81,,,1,2
AETR1038,5,0,1988,DEBASISH SEN (BABU),,Tripura,CHANDIPUR,INC,,8516,M,2,3,FALSE,FALSE,44.89,8268,43.58,,,,3
AETR1038,7,0,1998,DEBASISH SEN,,Tripura,CHANDIPUR,INC,INC,8630,M,2,3,FALSE,FALSE,37.95,7074,31.11,,,,3
AETR1038,8,0,2003,DEBASISH SEN,,Tripura,CHANDIPUR,INC,INC,10277,M,2,3,FALSE,FALSE,40.88,9920,39.46,,,,3
AETR1060,5,0,1988,BIVA RANI NATH,,Tripura,JUBARAJNAGAR,INC,,7591,F,1,4,FALSE,FALSE,46.95,191,1.18,,,1,4
AETR1060,6,0,1993,BIVA NATH,,Tripura,JUBARAJNAGAR,INC,INC,7732,F,2,4,FALSE,TRUE,38.74,6276,31.44,,,1,4
AETR1060,7,0,1998,BIVA RANI NATH,,Tripura,JUBARAJNAGAR,INC,INC,9209,F,2,4,FALSE,FALSE,44.27,7385,35.5,,,1,4
AETR1060,8,0,2003,BIVA RANI NATH,,Tripura,JUBARAJNAGAR,INC,INC,11363,F,2,4,FALSE,FALSE,47.1,10842,44.94,,,1,4
AETR1069,3,1,1981,M.SARKAR,,Tripura,AGARTALA,CPM,,9328,,1,5,FALSE,FALSE,56.8,2990,18.21,,,4,5
AETR1069,4,0,1983,MANIK SARKAR,,Tripura,AGARTALA,CPM,CPM,10623,M,1,5,FALSE,TRUE,52.18,1138,5.59,,,4,5
AETR1069,5,0,1988,MANIK SARKAR,,Tripura,AGARTALA,CPM,CPM,12695,M,2,5,FALSE,TRUE,49.4,12569,48.91,,,4,5
AETR1069,7,0,1998,MANIK SARKAR,,Tripura,SONAMURA,CPM,CPM,12771,M,1,5,FALSE,FALSE,53.9,3103,13.1,,,4,5
AETR1069,8,0,2003,MANIK SARKAR,,Tripura,SONAMURA,CPM,CPM,15613,M,1,5,FALSE,TRUE,55.85,4502,16.1,,,4,5
AETR1114,6,0,1993,SUDIP ROY BARMAN,,Tripura,AGARTALA,INC,,12863,M,2,3,FALSE,FALSE,42.44,11771,38.84,,,2,3
AETR1114,7,0,1998,SUDIP ROY BARMAN,,Tripura,AGARTALA,INC,INC,16098,M,1,3,FALSE,FALSE,49,2062,6.28,,,2,3
AETR1114,8,0,2003,SUDIP ROY BARMAN,,Tripura,AGARTALA,INC,INC,18656,M,1,3,FALSE,TRUE,52.24,2610,7.31,,,2,3
AETR1186,6,0,1993,NARAYAN CH. CHOUDHARY,,Tripura,KAMALASAGAR,CPM,,9339,M,2,3,FALSE,FALSE,45.37,9157,44.48,,,2,3
AETR1186,7,0,1998,NARAYAN CHANDRA CHOWDHURY,,Tripura,KAMALASAGAR,CPM,CPM,10907,M,1,3,FALSE,FALSE,49.82,611,2.79,,,2,3
