pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP10005,0,0,2009,CHITTEM RAM MOHAN REDDY,GEN,Telangana,MAKTHAL,INC,,47560,M,2,1,FALSE,FALSE,36.22,35958,27.38,46,,,1
AEAP10011,0,0,2009,DR. K. LAXMAN,GEN,Telangana,MUSHEERABAD,BJP,,31123,M,2,2,FALSE,FALSE,23.44,9156,6.9,50,,,1
AEAP10011,0,1,2010,K.Laxman,,Telangana,SIRCILLA,IND,BJP,39,M,57,2,FALSE,FALSE,0.03,1,0,,,,1
AEAP10168,0,0,2009,MOHD. MOAZAM KHAN,GEN,Telangana,BAHADURPURA,AIMIM,,65453,M,1,1,FALSE,FALSE,70.8,56735,61.37,39,,1,1
AEAP10171,0,0,2009,DR.KHAYAM KHAN,GEN,Telangana,CHANDRAYANGUTTA,MBT,,30315,M,2,1,FALSE,FALSE,31.05,22433,22.97,47,,,1
AEAP10243,0,1,2010,T.Harish Rao,,Telangana,SIDDIPET,TRS,,108799,,1,1,FALSE,FALSE,82.15,95878,72.39,,,1,1
AEAP10253,0,0,2009,ANJAIAH BYRI,GEN,Telangana,SIDDIPET,INC,,21166,M,2,1,FALSE,FALSE,16.03,11271,8.54,57,,,1
AEAP10258,0,0,2009,SOLIPETA RAMA LINGA REDDY,GEN,Telangana,DUBBAK,TRS,,50349,M,2,1,FALSE,FALSE,35.32,30378,21.31,48,,,1
AEAP10324,0,0,2009,UPPUNUTHULA MURALIDHAR GOUD,GEN,Telangana,KAMAREDDY,BJP,,3082,M,4,1,FALSE,FALSE,2.13,949,0.65,41,,,1
AEAP10329,0,0,2009,EANUGU RAVINDER REDDY,GEN,Telangana,YELLAREDDY,TRS,,77153,M,1,2,FALSE,FALSE,52.41,36859,25.04,44,,1,1
AEAP10329,0,1,2010,Eanugu.Ravinder Reddy,,Telangana,YELLAREDDY,TRS,TRS,72491,M,1,2,FALSE,FALSE,52.3,37662,27.17,,,1,1
AEAP10340,0,0,2009,HANMANTH SHINDE,SC,Telangana,JUKKAL,TDP,,72971,M,1,1,FALSE,FALSE,57.13,34124,26.71,41,,1,1
AEAP10360,0,0,2009,AKULA LALITHA,GEN,Telangana,NIZAMABAD,INC,,43086,F,2,1,FALSE,FALSE,28.57,25145,16.68,40,,,1
AEAP10548,0,0,2009,DUGYALA SRINIVAS RAO,GEN,Telangana,PALAKURTHI,INC,,62617,M,2,1,FALSE,FALSE,39.93,55877,35.63,46,,,1
AEAP10575,0,0,2009,RAJAIAH THATIKONDA,SC,Telangana,GHANPUR,INC,,68162,M,1,1,FALSE,FALSE,39.71,11210,6.53,51,,1,1
AEAP10745,0,0,2009,ALIMINETI UMA MADHAVA REDDY,GEN,Telangana,BHONGIR,TDP,,53073,F,1,1,FALSE,FALSE,35.77,9353,6.3,53,,1,1
