pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEAP1,1,0,2014,KONERU KONAPPA,GEN,Telangana,SIRPUR,GEN,BSP,,49033,M,1,1,FALSE,FALSE,32.41,8837,5.84,58,,1,1
AEAP10005,0,0,2009,CHITTEM RAM MOHAN REDDY,GEN,Telangana,MAKTHAL,GEN,INC,,47560,M,2,2,FALSE,FALSE,36.22,35958,27.38,46,,1,2
AEAP10005,1,0,2014,CHITTEM RAM MOHAN REDDY,GEN,Telangana,MAKTHAL,GEN,INC,INC,51632,M,1,2,FALSE,FALSE,36.45,10027,7.08,51,,1,2
AEAP10011,0,0,2009,DR. K. LAXMAN,GEN,Telangana,MUSHEERABAD,GEN,BJP,,31123,M,2,3,FALSE,FALSE,23.44,9156,6.9,50,,1,2
AEAP10011,0,1,2010,K.Laxman,,Telangana,SIRCILLA,GEN,IND,BJP,39,M,57,3,FALSE,FALSE,0.03,1,0,,,1,2
AEAP10011,1,0,2014,DR.K LAXMAN,GEN,Telangana,MUSHEERABAD,GEN,BJP,IND,65209,M,1,3,FALSE,FALSE,43.22,27386,18.15,58,,1,2
AEAP1003,1,0,2014,KAUSAR MOINUDDIN,GEN,Telangana,KARWAN,GEN,AIMIM,,86391,M,1,1,FALSE,FALSE,53.95,37777,23.59,42,,1,1
AEAP1005,1,0,2014,T. JEEVAN SINGH,GEN,Telangana,KARWAN,GEN,TRS,,10760,M,3,1,FALSE,FALSE,6.72,4248,2.65,49,,,1
AEAP1007,1,0,2014,BALAKAR SRIKANTHLAL,GEN,Telangana,KARWAN,GEN,YSRCP,,2018,M,5,1,FALSE,FALSE,1.26,746,0.47,34,,,1
AEAP1008,1,0,2014,MD AFZAL,GEN,Telangana,KARWAN,GEN,AAAP,,1272,M,6,1,FALSE,FALSE,0.79,294,0.18,45,,,1
AEAP1009,1,0,2014,GUTTAMEDI VITTALAIAH,GEN,Telangana,KARWAN,GEN,CPM,,978,M,7,1,FALSE,FALSE,0.61,391,0.24,48,,,1
AEAP101,1,0,2014,GEDAM TULASI DAS,ST,Telangana,BOATH,ST,YSRCP,,1281,M,5,1,FALSE,FALSE,0.92,274,0.2,62,,,1
AEAP1012,1,0,2014,MEESALA GOPAL SAIBABA,SC,Telangana,KARWAN,GEN,LSP,,496,M,10,1,FALSE,FALSE,0.31,19,0.01,45,,,1
AEAP1013,1,0,2014,MD ABDULLAH REDDY KALLEM,GEN,Telangana,KARWAN,GEN,ESP,,477,M,11,1,FALSE,FALSE,0.3,101,0.06,29,,,1
AEAP1015,1,0,2014,SYED RAHEEMUDDIN,GEN,Telangana,KARWAN,GEN,BSP,,310,M,13,1,FALSE,FALSE,0.19,95,0.06,33,,,1
AEAP10168,0,0,2009,MOHD. MOAZAM KHAN,GEN,Telangana,BAHADURPURA,GEN,AIMIM,,65453,M,1,2,FALSE,FALSE,70.8,56735,61.37,39,,2,2
AEAP10168,1,0,2014,MOHD. MOAZAM KHAN,GEN,Telangana,BAHADURPURA,GEN,AIMIM,AIMIM,106874,M,1,2,FALSE,FALSE,78.46,95045,69.78,44,,2,2
AEAP1017,1,0,2014,POOLA ARUNDHATHI,GEN,Telangana,KARWAN,GEN,PPOI,,200,F,15,1,FALSE,FALSE,0.12,36,0.02,43,,,1
AEAP10171,0,0,2009,DR.KHAYAM KHAN,GEN,Telangana,CHANDRAYANGUTTA,GEN,MBT,,30315,M,2,2,FALSE,FALSE,31.05,22433,22.97,47,,,2
AEAP10171,1,0,2014,DR. KHAYAM KHAN,GEN,Telangana,CHANDRAYANGUTTA,GEN,MBT,MBT,21119,M,2,2,FALSE,FALSE,15.55,3728,2.74,52,,,2
AEAP1019,1,0,2014,MOHD ABDUL AZEEM (JAVEED),GEN,Telangana,KARWAN,GEN,IMPP,,99,M,17,1,FALSE,FALSE,0.06,12,0.01,44,,,1
AEAP102,1,0,2014,MESRAM NANDA KISHORE,ST,Telangana,BOATH,ST,RLD,,1007,M,6,1,FALSE,FALSE,0.73,0,0,27,,,1
AEAP1020,1,0,2014,SADHAN. P,GEN,Telangana,KARWAN,GEN,JAP,,87,M,18,1,FALSE,FALSE,0.05,0,0,26,,,1
AEAP1021,1,0,2014,T. RAJA SINGH,GEN,Telangana,GOSHAMAHAL,GEN,BJP,,92757,M,1,1,FALSE,FALSE,58.51,46793,29.52,36,,1,1
AEAP1024,1,0,2014,PREM KUMAR DHOOT,GEN,Telangana,GOSHAMAHAL,GEN,TRS,,6312,M,4,1,FALSE,FALSE,3.98,4622,2.92,49,,,1
AEAP1025,1,0,2014,BAPUJI,GEN,Telangana,GOSHAMAHAL,GEN,BSP,,1690,M,5,1,FALSE,FALSE,1.07,353,0.22,36,,,1
