pid,Assembly_No,Poll_No,Year,Candidate,Candidate_Type,State_Name,Constituency_Name,Constituency_Type,Party,Last_Party,Votes,Sex,Position,Contested,Turncoat,Incumbent,Vote_Share_Percentage,Margin,Margin_Percentage,Age,Alliance,Terms,Terms_Contested
AEUK100152,3,0,2012,RAJKUMAR,SC,Uttarakhand,PUROLA,SC,IND,,14266,M,2,2,FALSE,FALSE,31.33,3462,7.6,46,,1,2
AEUK100152,4,0,2017,RAJKUMAR,SC,Uttarakhand,PUROLA,SC,INC,IND,17798,M,1,2,FALSE,FALSE,35.93,1013,2.05,51,,1,2
AEUK100153,2,0,2007,MALCHAND,SC,Uttarakhand,PUROLA,SC,IND,,14942,M,2,3,FALSE,FALSE,35.92,7915,19.03,41,,1,3
AEUK100153,3,0,2012,MALCHAND,SC,Uttarakhand,PUROLA,SC,BJP,IND,18098,M,1,3,FALSE,FALSE,39.75,3832,8.42,45,,1,3
AEUK100153,4,0,2017,MALCHAND,SC,Uttarakhand,PUROLA,SC,BJP,BJP,16785,M,2,3,FALSE,TRUE,33.89,3277,6.62,50,,1,3
AEUK100156,1,0,2002,KEDAR SINGH,,Uttarakhand,YAMUNOTRI,GEN,INC,,7013,M,2,3,FALSE,FALSE,19.47,1429,3.97,,,2,3
AEUK100156,2,0,2007,KEDAR SINGH,GEN,Uttarakhand,YAMUNOTRI,GEN,INC,INC,14484,M,1,3,FALSE,FALSE,31.37,3328,7.21,46,,2,3
AEUK100156,4,0,2017,KEDAR SINGH,GEN,Uttarakhand,YAMUNOTRI,GEN,BJP,INC,19800,M,1,3,TRUE,FALSE,42.03,5960,12.65,57,,2,3
AEUK100157,4,0,2017,SANJAY DOBHAL,GEN,Uttarakhand,YAMUNOTRI,GEN,INC,,13840,M,2,1,FALSE,FALSE,29.38,6779,14.39,44,,,1
AEUK100164,2,0,2007,GOPAL SINGH RAWAT,GEN,Uttarakhand,GANGOTRI,GEN,BJP,,24250,M,1,3,FALSE,FALSE,47.63,5546,10.89,46,,2,3
AEUK100164,3,0,2012,GOPAL SINGH RAWAT,GEN,Uttarakhand,GANGOTRI,GEN,BJP,BJP,13223,M,2,3,FALSE,TRUE,26.21,6787,13.45,52,,2,3
AEUK100164,4,0,2017,GOPAL SINGH RAWAT,GEN,Uttarakhand,GANGOTRI,GEN,BJP,BJP,25683,M,1,3,FALSE,FALSE,46.15,9610,17.27,57,,2,3
AEUK100165,1,0,2002,VIJAYPAL SINGH SAJWAN,,Uttarakhand,GANGOTRI,GEN,INC,,7878,M,1,3,FALSE,FALSE,20.91,610,1.62,,,2,3
AEUK100165,3,0,2012,VIJAIPAL SINGH SAJWAN,GEN,Uttarakhand,GANGOTRI,GEN,INC,INC,20246,M,1,3,FALSE,FALSE,40.13,7023,13.92,53,,2,3
AEUK100165,4,0,2017,VIJAYPAL SINGH SAJWAN,GEN,Uttarakhand,GANGOTRI,GEN,INC,INC,16073,M,2,3,FALSE,TRUE,28.88,6582,11.83,57,,2,3
AEUK100173,1,0,2002,MAHENDRA BHATT,,Uttarakhand,NANDPRAYAG,GEN,BJP,,6790,M,1,2,FALSE,FALSE,20.71,1631,4.97,,,2,2
AEUK100173,4,0,2017,MAHENDRA BHATT,GEN,Uttarakhand,BADRINATH,GEN,BJP,BJP,29676,M,1,2,FALSE,FALSE,46.8,5634,8.89,45,,2,2
AEUK100174,3,0,2012,RAJENDRA SINGH BHANDRI,GEN,Uttarakhand,BADRINATH,GEN,INC,,21492,M,1,2,FALSE,FALSE,39.08,10201,18.55,47,,1,2
AEUK100174,4,0,2017,RAJENDRA SINGH BHANDARI,GEN,Uttarakhand,BADRINATH,GEN,INC,INC,24042,M,2,2,FALSE,TRUE,37.92,21662,34.16,52,,1,2
AEUK100182,4,0,2017,MAGAN LAL SHAH,SC,Uttarakhand,THARALI,SC,BJP,,25810,M,1,1,FALSE,FALSE,44.05,4921,8.4,54,,1,1
AEUK100183,3,0,2012,DR JEET RAM,SC,Uttarakhand,THARALI,SC,INC,,17404,M,1,2,FALSE,FALSE,32.86,673,1.27,50,,1,2
AEUK100183,4,0,2017,DR. JEET RAM,SC,Uttarakhand,THARALI,SC,INC,INC,20889,M,2,2,FALSE,TRUE,35.65,13801,23.55,56,,1,2
AEUK100200,4,0,2017,MANOJ RAWAT,GEN,Uttarakhand,KEDARNATH,GEN,INC,,13906,M,1,1,FALSE,FALSE,24.74,869,1.55,47,,1,1
AEUK100201,4,0,2017,KULDEEP SINGH RAWAT,GEN,Uttarakhand,KEDARNATH,GEN,IND,,13037,M,2,1,FALSE,FALSE,23.2,1251,2.23,41,,,1
AEUK100203,1,0,2002,SHAILA RANI RAWAT,,Uttarakhand,KEDARNATH,GEN,INC,,9615,F,2,3,FALSE,FALSE,22.16,4969,11.45,,,1,3
AEUK100203,3,0,2012,SHAILA RANI RAWAT,GEN,Uttarakhand,KEDARNATH,GEN,INC,INC,19960,F,1,3,FALSE,FALSE,42.04,2328,4.9,55,,1,3
AEUK100203,4,0,2017,SHAILA RANI RAWAT,GEN,Uttarakhand,KEDARNATH,GEN,BJP,INC,11472,F,4,3,TRUE,TRUE,20.41,8738,15.55,61,,1,3
AEUK100209,4,0,2017,BHARAT SINGH,GEN,Uttarakhand,RUDRAPRAYAG,GEN,BJP,,29333,M,1,1,FALSE,FALSE,50.42,14632,25.15,57,,1,1
AEUK100210,4,0,2017,LAXMI SINGH RANA,GEN,Uttarakhand,RUDRAPRAYAG,GEN,INC,,14701,F,2,1,FALSE,FALSE,25.27,8883,15.27,51,,,1
AEUK100220,4,0,2017,SHAKTI LAL SHAH,SC,Uttarakhand,GHANSHALI,SC,BJP,,22103,M,1,1,FALSE,FALSE,49.34,11653,26.01,49,,1,1
AEUK100221,4,0,2017,DHANILAL SHAH,SC,Uttarakhand,GHANSHALI,SC,IND,,10450,M,2,1,FALSE,FALSE,23.33,5487,12.25,53,,,1
AEUK100222,2,0,2007,BHIM LAL ARYA,SC,Uttarakhand,GHANSALI,GEN,IND,,2896,M,5,3,FALSE,FALSE,6.75,992,2.31,26,,1,3
AEUK100222,3,0,2012,BHEEM LAL ARYA,SC,Uttarakhand,GHANSHALI,SC,BJP,IND,24254,M,1,3,FALSE,FALSE,58.65,13694,33.11,30,,1,3
AEUK100222,4,0,2017,BHEEM LAL ARYA,SC,Uttarakhand,GHANSHALI,SC,INC,BJP,4963,M,3,3,TRUE,TRUE,11.08,1901,4.24,33,,1,3
AEUK100228,4,0,2017,VINOD KANDARI,GEN,Uttarakhand,DEOPRAYAG,GEN,BJP,,13824,M,1,1,FALSE,FALSE,31.75,3499,8.04,35,,1,1
AEUK100229,1,0,2002,DIWAKAR BHATT,,Uttarakhand,DEOPRAYAG,GEN,UKKD,,5282,M,3,4,FALSE,FALSE,16.07,2424,7.38,,,1,4
AEUK100229,2,0,2007,DIWAKAR BHATT,GEN,Uttarakhand,DEOPRAYAG,GEN,UKKD,UKKD,20980,M,1,4,FALSE,FALSE,51.03,11595,28.2,61,,1,4
AEUK100229,3,0,2012,DIWAKAR BHATT,GEN,Uttarakhand,DEOPRAYAG,GEN,BJP,UKKD,10753,M,2,4,TRUE,TRUE,26.77,4047,10.08,65,,1,4
AEUK100229,4,0,2017,DIWAKAR BHATT,GEN,Uttarakhand,DEOPRAYAG,GEN,IND,BJP,10325,M,2,4,FALSE,FALSE,23.71,1583,3.64,70,,1,4
AEUK100230,1,0,2002,MANTRI PRASAD NAITHANI,,Uttarakhand,DEOPRAYAG,GEN,INC,,9912,M,1,4,FALSE,FALSE,30.16,2252,6.85,,,2,4
AEUK100230,2,0,2007,MANTRI PRASAD NAITHANI,GEN,Uttarakhand,DEOPRAYAG,GEN,INC,INC,9385,M,2,4,FALSE,TRUE,22.83,2870,6.98,48,,2,4
AEUK100230,3,0,2012,MANTRI PRASAD NAITHANI,GEN,Uttarakhand,DEOPRAYAG,GEN,IND,INC,12294,M,1,4,FALSE,FALSE,30.61,1541,3.84,54,,2,4
AEUK100230,4,0,2017,MANTRI PRASAD NAITHANI,GEN,Uttarakhand,DEOPRAYAG,GEN,INC,IND,8742,M,3,4,FALSE,TRUE,20.08,2061,4.73,59,,2,4
AEUK100242,1,0,2002,SUBODH UNIYAL,,Uttarakhand,NARENDRANAGAR,GEN,INC,,9798,M,1,4,FALSE,FALSE,28.84,1531,4.51,,,3,4
AEUK100242,2,0,2007,SUBODH UNIYAL,GEN,Uttarakhand,NARENDRANAGAR,GEN,INC,INC,13725,M,2,4,FALSE,TRUE,28.9,1917,4.04,46,,3,4
AEUK100242,3,0,2012,SUBODH UNIYAL,GEN,Uttarakhand,NARENDRANAGAR,GEN,INC,INC,21220,M,1,4,FALSE,FALSE,43.47,401,0.82,52,,3,4
AEUK100242,4,0,2017,SUBODH UNIYAL,GEN,Uttarakhand,NARENDRANAGAR,GEN,BJP,INC,24104,M,1,4,TRUE,TRUE,45.87,4972,9.46,57,,3,4
AEUK100243,3,0,2012,OM GOPAL RAWAT,GEN,Uttarakhand,NARENDRANAGAR,GEN,BJP,,20819,M,2,2,FALSE,FALSE,42.65,17374,35.59,36,,,2
AEUK100243,4,0,2017,OM GOPAL RAWAT,GEN,Uttarakhand,NARENDRANAGAR,GEN,IND,BJP,19132,M,2,2,FALSE,FALSE,36.41,14804,28.17,40,,,2
AEUK100244,4,0,2017,HIMANSHU BIJALWAN,GEN,Uttarakhand,NARENDRANAGAR,GEN,INC,,4328,M,3,1,FALSE,FALSE,8.24,1014,1.93,39,,,1
AEUK100250,3,0,2012,VIKRAM SINGH NEGI,GEN,Uttarakhand,PRATAPNAGAR,GEN,INC,,12135,M,1,2,FALSE,FALSE,31.38,542,1.4,45,,1,2
AEUK100250,4,0,2017,VIKRAM SINGH NEGI,GEN,Uttarakhand,PRATAPNAGAR,GEN,INC,INC,13119,M,2,2,FALSE,TRUE,31.74,7525,18.21,50,,1,2
AEUK100258,3,0,2012,DHAN SINGH NEGI,GEN,Uttarakhand,TEHRI,GEN,BJP,,9828,M,3,2,FALSE,FALSE,24.33,7591,18.79,41,,1,2
AEUK100258,4,0,2017,DHAN SINGH NEGI,GEN,Uttarakhand,TEHRI,GEN,BJP,BJP,20896,M,1,2,FALSE,FALSE,47.11,6840,15.42,47,,1,2
AEUK100259,2,0,2007,DINESH DHANAI,GEN,Uttarakhand,TEHRI,GEN,IND,,9908,M,3,3,FALSE,FALSE,22.21,7707,17.27,38,,1,3
AEUK100259,3,0,2012,DINESH DHANAI,GEN,Uttarakhand,TEHRI,GEN,IND,IND,12026,M,1,3,FALSE,FALSE,29.77,377,0.93,42,,1,3
AEUK100259,4,0,2017,DINESH DHANAI,GEN,Uttarakhand,TEHRI,GEN,IND,IND,14056,M,2,3,FALSE,TRUE,31.69,9590,21.62,47,,1,3
AEUK100260,4,0,2017,NARENDRA CHAND RAMOLA,GEN,Uttarakhand,TEHRI,GEN,INC,,4466,M,3,1,FALSE,FALSE,10.07,3399,7.66,47,,,1
AEUK100269,1,0,2002,PRITAM SINGH PAWAR,,Uttarakhand,YAMUNOTRI,GEN,UKKD,,9498,M,1,4,FALSE,FALSE,26.37,2485,6.9,,,3,4
AEUK100269,2,0,2007,PRITAM SINGH PANWAR,GEN,Uttarakhand,YAMUNOTRI,GEN,UKKD,UKKD,11156,M,2,4,FALSE,TRUE,24.16,4873,10.55,43,,3,4
AEUK100269,3,0,2012,PRITAM SINGH PANWAR,GEN,Uttarakhand,YAMUNOTRI,GEN,UKDP,UKKD,15909,M,1,4,TRUE,FALSE,36.21,2596,5.91,47,,3,4
